Inclusive electron invariant crossection
----------------------------------------

                    E dsigma^3/dp^3 [mb c^3/GeV^2]
p_T [GeV/c]    value          stat. error        sys. error
-----------------------------------------------------------
0.45	     7.071e-02   3.292e-03		 5.074e-03
0.55	     3.101e-02   1.910e-03		 1.981e-03
0.7	     1.147e-02   7.041e-04		 6.837e-04
0.9	     3.357e-03   3.295e-04		 1.956e-04
1.1	     1.213e-03   1.643e-04		 7.105e-05
1.3	     4.607e-04   6.623e-05		 2.748e-05
1.5	     2.526e-04   2.936e-05		 1.551e-05
1.8	     8.270e-05   7.437e-06		 5.409e-06
2.25	     2.342e-05   2.342e-06		 1.756e-06
2.75	     4.872e-06  +1.057e-06 -8.810e-07	 4.453e-07
3.5	     1.202e-06  +3.290e-07 -2.645e-07	 1.534e-07
4.5	     2.382e-07  +1.621e-07 -1.036e-07	 4.666e-08
