Non-photonic electron invariant crossection
-------------------------------------------

                    E dsigma^3/dp^3 [mb c^3/GeV^2]
p_T [GeV/c]    value          stat. error        sys. error
-----------------------------------------------------------
0.45	     1.453e-02   3.322e-03		 1.140e-02
0.55	     6.142e-03	 1.923e-03		 5.006e-03
0.7	     2.986e-03	 7.183e-04		 1.829e-03
0.9	     8.341e-04	 3.340e-04		 5.339e-04
1.1	     3.441e-04	 1.659e-04		 1.895e-04
1.3	     1.251e-04	 6.671e-05		 7.211e-05
1.5	     1.119e-04	 2.952e-05		 3.735e-05
1.8	     3.875e-05	 7.555e-06		 1.230e-05
2.25	     1.371e-05	 2.380e-06		 3.428e-06
2.75	     2.581e-06	+1.065e-06 -8.910e-07    7.133e-07
3.5	     8.401e-07  +3.345e-07 -2.714e-07    1.779e-07
4.5	     1.895e-07  +1.632e-07 -1.053e-07    3.536e-08
