dAu run3 pi0 cross section
==========================

 pT     cross sec     total error   Sta error     Sys error     Sys Err B     Sys Err C

 1.250  1.218364e+02  1.287867e+01  7.640350e+00  1.036751e+01  8.159115e+00  6.396409e+00 
 1.750  2.185119e+01  1.926502e+00  7.432192e-01  1.777367e+00  1.357570e+00  1.147187e+00 
 2.250  4.902352e+00  4.146335e-01  9.510248e-02  4.035795e-01  3.108622e-01  2.573735e-01 
 2.750  1.324299e+00  1.131561e-01  2.097113e-02  1.111958e-01  8.677955e-02  6.952568e-02 
 3.250  4.113155e-01  3.601475e-02  7.183097e-03  3.529115e-02  2.791347e-02  2.159406e-02 
 3.750  1.423917e-01  1.290463e-02  3.243624e-03  1.249033e-02  1.000622e-02  7.475563e-03 
 4.250  5.372019e-02  5.063404e-03  1.575844e-03  4.811941e-03  3.898798e-03  2.820310e-03 
 4.750  2.186288e-02  2.076123e-03  2.988903e-04  2.054496e-03  1.703967e-03  1.147801e-03 
 5.250  9.434318e-03  9.139304e-04  1.435522e-04  9.025860e-04  7.545447e-04  4.953017e-04 
 5.750  4.517188e-03  4.466838e-04  7.941156e-05  4.395682e-04  3.701067e-04  2.371524e-04 
 6.250  2.333107e-03  2.355146e-04  4.706278e-05  2.307644e-04  1.955731e-04  1.224881e-04 
 6.750  1.229930e-03  1.269255e-04  2.820129e-05  1.237528e-04  1.055713e-04  6.457133e-05 
 7.250  6.940698e-04  7.310666e-05  1.837776e-05  7.075904e-05  6.065530e-05  3.643866e-05 
 7.750  3.831498e-04  4.175776e-05  1.347439e-05  3.952406e-05  3.402240e-05  2.011537e-05 
 8.250  2.418668e-04  2.712511e-05  9.880749e-06  2.526148e-05  2.183811e-05  1.269801e-05 
 8.750  1.337174e-04  1.597535e-05  7.488166e-06  1.411166e-05  1.224159e-05  7.020162e-06 
 9.250  8.200549e-05  1.004062e-05  4.925439e-06  8.749519e-06  7.616993e-06  4.305288e-06 
 9.750  5.550033e-05  7.201070e-06  3.988559e-06  5.995566e-06  5.239921e-06  2.913767e-06 
11.000  2.148487e-05  2.663296e-06  1.155800e-06  2.399432e-06  2.117780e-06  1.127956e-06 
13.000  6.182103e-06  9.130625e-07  5.527463e-07  7.267424e-07  6.502423e-07  3.245604e-07 
15.000  1.798206e-06  3.646154e-07  2.902568e-07  2.206703e-07  1.994566e-07  9.440580e-08 
17.000  2.578469e-07  9.255727e-08  8.685800e-08  3.197712e-08  2.897045e-08  1.353696e-08 

