pp run3 eta cross section
=========================

pT     cross sec     total error   Sta error     Sys error    Sys Err B     Sys Err C

2.75   0.00130392   0.000419926   0.000224509   7.91424e-06    0.000333981   0.00011996 
3.25   0.000378221   6.80628e-05   8.08569e-06   1.37285e-06    5.79342e-05   3.47964e-05 
3.75   0.000137129   2.14531e-05   3.534e-06   4.02554e-07    1.69878e-05   1.26159e-05 
4.25   5.48804e-05   8.19995e-06   1.80478e-06   1.47014e-07    6.204e-06   5.049e-06 
4.75   2.22087e-05   3.34033e-06   1.0346e-06   5.76213e-08    2.43162e-06   2.0432e-06 
5.25   1.07581e-05   1.69517e-06   6.81689e-07   2.83301e-08    1.19553e-06   9.89748e-07 
5.75   5.66265e-06   9.36423e-07   4.39192e-07   1.52212e-08    6.42336e-07   5.20964e-07 
6.5   2.01828e-06   3.47325e-07   1.75061e-07   5.5831e-09    2.35607e-07   1.85682e-07 
7.5   6.99065e-07   1.40072e-07   9.13705e-08   2.00166e-09    8.44702e-08   6.4314e-08 
8.5   1.81258e-07   4.92235e-08   4.04318e-08   5.35224e-10    2.25865e-08   1.66757e-08 
9.5   1.01552e-07   3.22119e-08   2.79467e-08   3.08329e-10    1.30115e-08   9.3428e-09 
11   2.20573e-08   9.23474e-09   8.5175e-09   1.34615e-10    2.93507e-09   2.02927e-09 
