

(Table XV)	Centrality  0- 5%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |   4.371 |  65.303 | \pm  0.148    |  41.22 | 264.10 | \pm 31.75   | 0.54         | 58.0  | \pm 54.10   | \pm  6.72   | \pm 63.09   
 0.678      |   2.149 |  63.638 | \pm  0.144    |  59.73 | 278.66 | \pm 35.51   | 0.58         | 57.8  | \pm 29.67   | \pm 26.46   | \pm 53.31   
 0.656      |   9.451 |  61.463 | \pm  0.141    |  69.96 | 286.25 | \pm 37.82   | 0.66         | 56.4  | \pm 13.85   | \pm 14.18   | \pm 42.69   
 0.634      |   6.740 |  59.282 | \pm  0.138    |  70.46 | 286.18 | \pm 38.62   | 0.63         | 55.4  | \pm 19.09   | \pm 14.98   | \pm 45.61   
 0.613      |   4.027 |  57.142 | \pm  0.135    |  72.37 | 287.35 | \pm 40.79   | 0.62         | 54.7  | \pm 13.54   | \pm 15.22   | \pm 45.60   
 0.591      |   1.331 |  55.050 | \pm  0.133    |  74.07 | 288.55 | \pm 42.84   | 0.64         | 53.6  | \pm 13.41   | \pm 17.15   | \pm 48.06   
 0.569      |   8.629 |  52.910 | \pm  0.130    |  74.10 | 288.36 | \pm 44.31   | 0.64         | 52.7  | \pm 18.44   | \pm 19.49   | \pm 51.80   
 0.547      |   5.925 |  50.747 | \pm  0.127    |  67.65 | 282.90 | \pm 44.42   | 0.64         | 52.2  | \pm 16.76   | \pm 24.95   | \pm 53.63   
 0.525      |   3.249 |  48.612 | \pm  0.124    |  68.12 | 282.88 | \pm 46.12   | 0.68         | 51.2  | \pm 16.19   | \pm 24.02   | \pm 54.46   
 0.503      |   0.566 |  46.465 | \pm  0.121    |  64.03 | 279.07 | \pm 46.64   | 0.65         | 50.2  | \pm 15.42   | \pm 23.48   | \pm 54.45   
 0.481      |   7.877 |  44.295 | \pm  0.118    |  62.25 | 277.19 | \pm 48.15   | 0.65         | 49.0  | \pm 12.93   | \pm 24.16   | \pm 55.40   
 0.459      |   5.171 |  42.098 | \pm  0.115    |  63.40 | 277.12 | \pm 50.80   | 0.66         | 47.9  | \pm 13.82   | \pm 20.65   | \pm 56.55   
 0.438      |   2.479 |  39.900 | \pm  0.112    |  55.07 | 269.86 | \pm 51.95   | 0.64         | 46.5  | \pm  9.95   | \pm 25.57   | \pm 58.75   
 0.416      |   9.791 |  37.710 | \pm  0.109    |  52.80 | 267.18 | \pm 54.68   | 0.66         | 45.2  | \pm 14.68   | \pm 26.89   | \pm 62.68   
 0.394      |   7.118 |  35.547 | \pm  0.106    |  49.73 | 263.69 | \pm 57.42   | 0.64         | 43.6  | \pm 13.29   | \pm 32.16   | \pm 67.14   
 0.372      |   4.456 |  33.395 | \pm  0.103    |  47.01 | 260.24 | \pm 64.15   | 0.65         | 42.1  | \pm  3.82   | \pm 30.09   | \pm 70.96   
 0.350      |   1.832 |  31.335 | \pm  0.070    |  40.53 | 254.77 | \pm 52.65   | 0.67         | 40.6  | \pm 11.74   | \pm 34.67   | \pm 64.13   
 0.328      |   9.229 |  29.465 | \pm  0.068    |  40.79 | 254.20 | \pm 55.01   | 0.65         | 39.4  | \pm  2.10   | \pm 27.89   | \pm 61.72   
 0.306      |   6.653 |  27.626 | \pm  0.065    |  32.14 | 246.66 | \pm 60.16   | 0.68         | 37.9  | \pm 12.90   | \pm 31.13   | \pm 68.95   
 0.284      |   4.073 |  25.755 | \pm  0.062    |  33.98 | 247.30 | \pm 64.64   | 0.69         | 37.0  | \pm  1.38   | \pm 33.33   | \pm 72.74   
 0.263      |   1.493 |  23.870 | \pm  0.060    |  13.43 | 230.73 | \pm 62.92   | 0.69         | 35.2  | \pm  1.26   | \pm 26.90   | \pm 68.44   
 0.241      |   8.903 |  21.959 | \pm  0.057    |  94.86 | 214.95 | \pm 59.84   | 0.68         | 33.5  | \pm  2.22   | \pm 32.24   | \pm 68.01   
 0.219      |   6.305 |  20.020 | \pm  0.044    |  78.11 | 200.81 | \pm 51.12   | 0.69         | 31.9  | \pm  3.21   | \pm 29.02   | \pm 58.87   
