

(Table III)	Centrality  0-10%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |  77.535 |  60.011 | \pm  0.108    | 114.28 |  88.45 | \pm  3.21   | 0.96         | 71.0  | \pm  2.89   | \pm  2.28   | \pm  4.89   
 0.678      |  75.445 |  58.445 | \pm  0.106    | 113.11 |  87.62 | \pm  3.29   | 0.89         | 69.7  | \pm  4.92   | \pm  3.31   | \pm  6.78   
 0.656      |  72.977 |  56.455 | \pm  0.103    | 114.40 |  88.50 | \pm  3.38   | 0.95         | 68.2  | \pm  4.33   | \pm  3.04   | \pm  6.28   
 0.634      |  70.485 |  54.450 | \pm  0.101    | 114.02 |  88.08 | \pm  3.42   | 0.92         | 66.7  | \pm  4.54   | \pm  3.01   | \pm  6.43   
 0.613      |  67.998 |  52.489 | \pm  0.099    | 114.44 |  88.33 | \pm  3.52   | 0.94         | 65.3  | \pm  3.79   | \pm  2.31   | \pm  5.66   
 0.591      |  65.530 |  50.572 | \pm  0.096    | 114.28 |  88.18 | \pm  3.60   | 0.95         | 63.9  | \pm  3.59   | \pm  2.62   | \pm  5.72   
 0.569      |  63.050 |  48.609 | \pm  0.094    | 114.62 |  88.35 | \pm  3.71   | 0.97         | 62.3  | \pm  3.88   | \pm  2.80   | \pm  6.05   
 0.547      |  60.569 |  46.624 | \pm  0.091    | 114.27 |  87.94 | \pm  3.80   | 0.96         | 60.8  | \pm  3.61   | \pm  2.98   | \pm  6.03   
 0.525      |  58.100 |  44.655 | \pm  0.089    | 114.38 |  87.89 | \pm  3.92   | 0.95         | 59.7  | \pm  3.79   | \pm  2.87   | \pm  6.16   
 0.503      |  55.637 |  42.682 | \pm  0.086    | 114.36 |  87.70 | \pm  4.03   | 0.93         | 57.8  | \pm  3.64   | \pm  3.17   | \pm  6.29   
 0.481      |  53.164 |  40.688 | \pm  0.084    | 114.41 |  87.54 | \pm  4.17   | 0.94         | 56.3  | \pm  4.24   | \pm  3.40   | \pm  6.85   
 0.459      |  50.682 |  38.672 | \pm  0.081    | 115.19 |  87.87 | \pm  4.35   | 0.98         | 54.2  | \pm  4.10   | \pm  3.14   | \pm  6.75   
 0.438      |  48.209 |  36.654 | \pm  0.079    | 114.89 |  87.33 | \pm  4.51   | 0.98         | 52.4  | \pm  4.49   | \pm  3.72   | \pm  7.37   
 0.416      |  45.743 |  34.645 | \pm  0.076    | 115.05 |  87.11 | \pm  4.71   | 0.98         | 50.3  | \pm  4.79   | \pm  3.49   | \pm  7.57   
 0.394      |  43.283 |  32.654 | \pm  0.074    | 114.86 |  86.61 | \pm  4.90   | 0.97         | 48.3  | \pm  4.37   | \pm  4.15   | \pm  7.77   
 0.372      |  40.838 |  30.677 | \pm  0.071    | 115.20 |  86.46 | \pm  5.17   | 1.00         | 46.2  | \pm  4.22   | \pm  4.10   | \pm  7.83   
 0.350      |  38.424 |  28.782 | \pm  0.049    | 115.87 |  86.69 | \pm  3.88   | 1.04         | 44.5  | \pm  3.81   | \pm  4.22   | \pm  6.88   
 0.328      |  36.034 |  27.062 | \pm  0.047    | 115.35 |  86.43 | \pm  4.04   | 1.04         | 42.9  | \pm  4.04   | \pm  4.58   | \pm  7.32   
 0.306      |  33.665 |  25.363 | \pm  0.045    | 114.46 |  86.00 | \pm  4.21   | 1.08         | 41.2  | \pm  4.28   | \pm  4.89   | \pm  7.74   
 0.284      |  31.288 |  23.638 | \pm  0.043    | 113.91 |  85.92 | \pm  4.39   | 1.09         | 39.9  | \pm  3.60   | \pm  5.13   | \pm  7.65   
 0.263      |  28.916 |  21.900 | \pm  0.041    | 111.53 |  84.56 | \pm  4.51   | 1.10         | 37.9  | \pm  3.75   | \pm  5.29   | \pm  7.90   
 0.241      |  26.542 |  20.145 | \pm  0.039    | 109.53 |  83.35 | \pm  4.67   | 1.08         | 36.3  | \pm  3.71   | \pm  5.40   | \pm  8.04   
 0.219      |  24.155 |  18.360 | \pm  0.030    | 107.67 |  82.28 | \pm  4.03   | 1.11         | 34.4  | \pm  3.66   | \pm  5.96   | \pm  8.07   
