<pt>        v2/(3*v2i)     err{v2/(3*v2i)}

cent 0-10%:

0.3504       0.17273         0.00375439
0.4491       0.215793        0.00389347
0.5938       0.283286        0.00325875
0.7924       0.355072        0.00403719
1.033        0.448595        0.00450687
1.368        0.563483        0.00579389
1.768        0.698485        0.00898386
2.318        0.78128         0.01192580
3.341        0.884878        0.03668070

cent 10-20%:

0.3504       0.163612        0.00170049
0.4491       0.212676        0.00174520
0.5938       0.279156        0.00144895
0.7924       0.361109        0.00179669
1.033        0.44916         0.00199502
1.368        0.558331        0.00255287
1.768        0.685615        0.00393420
2.318        0.782521        0.00517142
3.341        0.83158         0.01553420

cent 20-30%:

0.3504       0.161465        0.00146650
0.4491       0.21363         0.00149623
0.5938       0.280322        0.00123870
0.7924       0.36187         0.00153502
1.033        0.449286        0.00170411
1.368        0.556789        0.00218070
1.768        0.666837        0.00334770
2.318        0.76907         0.00437969
3.341        0.796205        0.01288230

cent 30-40%:

0.3504       0.161757        0.00172076
0.4491       0.20989         0.00174750
0.5938       0.28158         0.00145064
0.7924       0.363843        0.00180160
1.033        0.452037        0.00200659
1.368        0.564641        0.00257906
1.768        0.669499        0.00396366
2.318        0.749793        0.00515205
3.341        0.805532        0.01489990

