


<pt>        v2/(3.1*v2i)     err{v2/(3.1*v2i)}

cent 0-10%:

0.3487       0.15774        0.00840
0.4482       0.21341        0.00914
0.5926       0.29370        0.00796
0.7919       0.40003        0.01015
1.032        0.46845        0.01126
1.368        0.59254        0.01467
1.768        0.68562        0.02281
2.323        0.75635        0.03010
3.348        0.85336        0.08894


cent 10-20%:

0.3487       0.16063        0.00704
0.4482       0.22690        0.00767
0.5926       0.28478        0.00662
0.7919       0.38157        0.00842
1.032        0.48018        0.00948
1.368        0.59609        0.01237
1.768        0.69129        0.01910
2.323        0.77983        0.02504
3.348        0.83932        0.07196

cent 20-30%:

0.3487       0.15229        0.007363
0.4482       0.21073        0.007994
0.5926       0.29771        0.006995
0.7919       0.38359        0.008870
1.032        0.48843        0.010040
1.368        0.59460        0.013023
1.768        0.72472        0.020342
2.323        0.76751        0.026348
3.348        0.78196        0.074301

cent 30-40%:

0.3487       0.172123       0.009598
0.4482       0.207006       0.010372
0.5926       0.289302       0.009068
0.7919       0.395047       0.011657
1.032        0.487966       0.013192
1.368        0.597271       0.017210
1.768        0.695943       0.026782
2.323        0.772946       0.034715
3.348        0.760849       0.097094



