
Au+Au at 200 GeV , minimum bias

------------------------------------------
<KE_T>/n       v2/n       err v2/n
nq = 3 for baryons and nq=2 for mesons

charged pions: \pi^{+}+\pi{-} PHENIX



<KE_T>/n       v2/n       err v2/n
0.0742491    0.0114309   0.000125796
0.118179     0.0166639   0.000102274
0.164945     0.0222342   0.000100858
0.212844     0.0279703   0.000109233
0.261424     0.0330179   0.000123952
0.310479     0.0380618   0.000142241
0.359676     0.0425348   0.000164323
0.409077     0.0470911   0.000191502
0.47782      0.052808    0.000168446
0.574401     0.0593385   0.000225378
0.675997     0.0648435   0.00029989
0.778789     0.069331    0.000396141
0.878491     0.073041    0.000520635
1.02616      0.07584     0.00053998
1.27467      0.076991    0.00124759
1.52709      0.0708745   0.00284807

---------------------------------------------
charged kaons: K^{+}+K^{-} PHENIX

<KE_T>/n       v2/n       err v2/n

0.0876305    0.0131722   0.00062733
0.12291      0.0174437   0.000494695
0.161324     0.0229502   0.000449242
0.201862     0.0280501   0.000439196
0.244243     0.0330389   0.000450681
0.287961     0.0387154   0.000477167
0.351477     0.0449203   0.000378318
0.441031     0.0531325   0.000454432
0.537064     0.0597135   0.000557265
0.635526     0.064413    0.00068435
0.731575     0.0661325   0.000833855
0.876492     0.071303    0.00081842
1.12079      0.0752865   0.00179306
1.36753      0.076204    0.0038074
----------------------------------------

(anti-)protons: p+\bar{p} PHENIX

<KE_T>/n       v2/n       err v2/n

0.0677369   0.00793623   0.000352823
0.0876416   0.0108813    0.000320063
0.109206    0.0140453    0.000306162
0.132207    0.0174324    0.00030464
0.167152    0.0228386    0.000223459
0.217788    0.0303764    0.000247984
0.273802    0.0362893    0.000288103
0.332643    0.043244     0.00034641
0.391604    0.0485907    0.000426953
0.485681    0.054677     0.000392667
0.641268    0.062961     0.00070791
0.800131    0.0675603    0.0012709


============================================

Lambda: \Lambda+\bar{\Lambda}: STAR

<KE_T>/n       v2/n       err v2/n

0.040073   -0.0000367    0.00381333
0.0698342   0.0066       0.00179667
0.107366    0.0106333    0.00124667
0.150993    0.0201667    0.00106333
0.199117    0.0267667    0.00099
0.250686    0.0352       0.00099
0.30485     0.0407       0.00106333
0.361234    0.0487667    0.00117333
0.419497    0.0539       0.00146667
0.478202    0.0572       0.00165
0.562686    0.0627       0.00165
0.687712    0.0678333    0.00238333
0.812095    0.0766333    0.00385
0.978492    0.0726       0.00513333


---------------------------------------

K0_s:neutral kaons (K0): STAR

<KE_T>/n       v2/n       err v2/n

0.0502328   0.0044       0.00418
0.109574    0.011        0.00176
0.183053    0.0242       0.00132
0.264419    0.0341       0.00121
0.353515    0.0451       0.001265
0.444692    0.0539       0.00143
0.538377    0.05995      0.001705
0.633336    0.06655      0.002145
0.72915     0.0693       0.002695
0.863114    0.0726       0.00297
1.05022     0.0759       0.004565
1.24178     0.07095      0.00825
1.44613     0.07755      0.01177
1.70542     0.0781       0.010725



-------------------------------------
Cascade:\Xi+\bar{\Xi}: STAR

<KE_T>/n       v2/n       err v2/n

0.0926571   0.0124667    0.0113667
0.166162    0.0179667    0.00696667
0.238869    0.0359333    0.00513333
0.331462    0.0443667    0.0044
0.444291    0.0546333    0.0055
0.577176    0.0649       0.0066
0.745155    0.0715       0.0088
============================================
