v2(pt) for charged hadrons from Au+Au at 200 GeV for 
several bins in reaction centrality
=====================================================================
<p_T>         v2(pT)         err v2
---------------------------------------------------------------------
cent 0-10%:   v2_int = 0.0340129  0.000152393

0.3504     0.0176251       0.00037487
0.4491     0.0220192       0.00038484
0.5938     0.0289061       0.00030626
0.7924     0.0362311       0.00037862
1.033      0.045774        0.00041161
1.368      0.0574971       0.00053212
1.768      0.0712725       0.00085928
2.318      0.0797208       0.00116329
3.341      0.0902918       0.00372092

cent 10-20%:  v2_int = 0.0602612  0.000120366  

0.3504     0.0295784       0.00030169
0.4491     0.0384484       0.00030602
0.5938     0.0504668       0.00024178
0.7924     0.0652825       0.00029749
1.033      0.0812008       0.00032214
1.368      0.100937        0.00041515
1.768      0.123948        0.00066676
2.318      0.141467        0.00089118
3.341      0.150336        0.00279222

cent 20-30%:   v2_int =  0.0792108  0.000135428

0.3504     0.0383694       0.00034226
0.4491     0.0507655       0.00034480
0.5938     0.0666135       0.00027143
0.7924     0.085992        0.00033383
1.033      0.106765        0.00036148
1.368      0.132311        0.00046622
1.768      0.158462        0.00074797
2.318      0.182756        0.00099274
3.341      0.189204        0.00304412


cent 30-40%:    v2_int = 0.0905832  0.000181705

0.3504     0.0439573       0.00045923
0.4491     0.0570376       0.00046089
0.5938     0.0765193       0.00036310
0.7924     0.0988741       0.00044761
1.033      0.122841        0.00048644
1.368      0.153441        0.00062966
1.768      0.181936        0.00101341
2.318      0.203756        0.00133908
3.341      0.218903        0.00402516


