v2(pt) for charged hadrons from Cu+Cu at 200 GeV for 
several bins in reaction centrality
=====================================================================
<p_T>         v2(pT)          err v2

cent 0-10%:     v2_int = 0.0432678  0.000467268

0.3487     0.0204749       0.00106791
0.4482     0.0277007       0.00114803
0.5926     0.0381227       0.00094745
0.7919     0.0519246       0.00119176
1.032      0.0608065       0.00130572
1.368      0.0769134       0.00171350
1.768      0.0889959       0.00280092
2.323      0.0981766       0.00376020
3.348      0.110769        0.01148310

cent 10-20%:    v2_int = 0.0532013  0.000480897

0.3487     0.0256376       0.00109950
0.4482     0.0362134       0.00117957
0.5926     0.0454515       0.00097278
0.7919     0.0608998       0.00122597
1.032      0.0766384       0.00134518
1.368      0.0951383       0.00176773
1.768      0.110332        0.00288152
2.323      0.124464        0.00383517
3.348      0.133959        0.01142060

cent 20-30%:   v2_int = 0.0621732  0.000590753

0.3487     0.0284043       0.00134663
0.4482     0.0393049       0.00144359
0.5926     0.0555291       0.00119338
0.7919     0.0715462       0.00150838
1.032      0.0911009       0.00166071
1.368      0.110905        0.00218861
1.768      0.135175        0.00357020
2.323      0.143155        0.00472251
3.348      0.145851        0.01378910

cent 30-40%:  v2_int = 0.0649761  0.000805765

0.3487     0.0335516       0.00182405
0.4482     0.0403513       0.00195881
0.5926     0.0563931       0.00162333
0.7919     0.0770058       0.00206197
1.032      0.0951184       0.00228497
1.368      0.116425        0.00302809
1.768      0.135659        0.00494201
2.323      0.150669        0.00650392
3.348      0.148311        0.0188368




