Au+Au at 200 GeV , minimum bias 


<pt>         v2        err v2
---------------------------------------
charged pions: \pi^{+}+\pi{-} PHENIX
  <pt>         v2          err v2
 0.251999    0.0228618   0.000251591
 0.349059    0.0333278   0.000204549
 0.448233    0.0444684   0.000201717
 0.547757    0.0559406   0.000218467
 0.647548    0.0660357   0.000247903
 0.747611    0.0761236   0.000284483
 0.847506    0.0850695   0.000328647
 0.9475      0.0941822   0.000383004
 1.08628     0.105616    0.000336891
 1.28079     0.118677    0.000450757
 1.48502     0.129687    0.00059978
 1.6914      0.138662    0.000792283
 1.89141     0.146082    0.00104127
 2.18745     0.15168     0.00107996
 2.68529     0.153982    0.00249519
 3.19069     0.141749    0.00569615

------------------------------------------
charged kaons: K^{+}+K^{-} PHENIX

 <pt>         v2          err v2
0.451399    0.0263445   0.00125466
0.550581    0.0348874   0.00098939
0.65013     0.0459004   0.000898484
0.749407    0.0561002   0.000878393
0.849075    0.0660777   0.000901361
0.948855    0.0774307   0.000954334
1.09005     0.0898407   0.000756636
1.28411     0.106265    0.000908864
1.48805     0.119427    0.00111453
1.69427     0.128826    0.0013687
1.89353     0.132265    0.00166771
2.19175     0.142606    0.00163684
2.69034     0.150573    0.00358613
3.19077     0.152408    0.00761481
-----------------------------------------

(anti-)protons: p+\bar{p} PHENIX 
 <pt>         v2          err v2
0.650099   0.0238087   0.00105847
0.750013   0.032644    0.000960189
0.849777   0.0421358   0.000918487
0.949517   0.0522971   0.00091392
1.092      0.0685158   0.000670377
1.28567    0.0911291   0.000743952
1.48866    0.108868    0.000864308
1.69367    0.129732    0.00103923
1.89335    0.145772    0.00128086
2.2039     0.164031    0.001178
2.70391    0.188883    0.00212373
3.20411    0.202681    0.00381271
--------------------------------------

v2(pt) data for Lambda, K0 and Cascade are
published data from the STAR collaboration
Phys. Rev. Lett. 92 (2004) 052302 (Lambda,K0)
http://www.star.bnl.gov/STAR/all/physicsdatabase/22/data.html
Phys. Rev. Lett. 95 (2005) 122301 (Cascade)
http://www.star.bnl.gov/STAR/all/physicsdatabase/54/data.html
Note:  The STAR v2 values were
multiplied by the factor 1.1 to account for a small 
difference between the average centralities for minimum bias
events from the two experiments:
------------------------------------------
Lambda: \Lambda+\bar{\Lambda}: STAR

 <pt>        v2        err v2

0.5317    -0.00011     0.01144
0.7151     0.0198      0.00539
0.9069     0.0319      0.00374
1.1027     0.0605      0.00319
1.2999     0.0803      0.00297
1.4979     0.1056      0.00297
1.6962     0.1221      0.00319
1.8954     0.1463      0.00352
2.0957     0.1617      0.0044
2.2933     0.1716      0.00495
2.5722     0.1881      0.00495
2.9766     0.2035      0.00715
3.3722     0.2299      0.01155
3.8945     0.2178      0.0154




------------------------------------------------------------------
neutral kaons (K0): STAR

 <pt>        v2        err v2

0.3318    0.0088      0.00836
0.5159    0.022       0.00352
0.706     0.0484      0.00264
0.8978    0.0682      0.00242
1.0971    0.0902      0.00253
1.2947    0.1078      0.00286
1.4937    0.1199      0.00341
1.6927    0.1331      0.00429
1.8916    0.1386      0.00539
2.1675    0.1452      0.00594
2.55      0.1518      0.00913
2.9394    0.1419      0.0165
3.3532    0.1551      0.02354
3.8767    0.1562      0.02145

---------------------------------
\Xi+\bar{\Xi}: STAR
 <pt>        v2        err v2
0.9        0.0374      0.0341
1.25       0.0539      0.0209
1.55       0.1078      0.0154
1.9        0.1331      0.0132
2.3        0.1639      0.0165
2.75       0.1947      0.0198
3.3        0.2145      0.0264
--------------------------------------------------------------------
