Au+Au at 200 GeV , minimum bias


<pt>/nq        v2/nq      err v2/nq
nq = 3 for baryons and nq=2 for mesons
----------------------------------------
charged pions: \pi^{+}+\pi{-} PHENIX

0.125999   0.0114309   0.000125796
0.17453    0.0166639   0.000102274
0.224116   0.0222342   0.000100858
0.273879   0.0279703   0.000109233
0.323774   0.0330179   0.000123952
0.373806   0.0380618   0.000142241
0.423753   0.0425348   0.000164323
0.47375    0.0470911   0.000191502
0.54314    0.052808    0.000168446
0.640395   0.0593385   0.000225378
0.74251    0.0648435   0.00029989
0.8457     0.069331    0.000396141
0.945705   0.073041    0.000520635
1.09373    0.07584     0.00053998
1.34265    0.076991    0.00124759
1.59535    0.0708745   0.00284807
-----------------------------------------
charged kaons: K^{+}+K^{-} PHENIX
<pt>/nq      v2/nq      err v2/nq

0.225699   0.0131722   0.00062733
0.27529    0.0174437   0.000494695
0.325065   0.0229502   0.000449242
0.374704   0.0280501   0.000439196
0.424538   0.0330389   0.000450681
0.474428   0.0387154   0.000477167
0.545025   0.0449203   0.000378318
0.642055   0.0531325   0.000454432
0.744025   0.0597135   0.000557265
0.847135   0.064413    0.00068435
0.946765   0.0661325   0.000833855
1.09587    0.071303    0.00081842
1.34517    0.0752865   0.00179306
1.59539    0.076204    0.0038074

-----------------------------------------


(anti-)protons: p+\bar{p} PHENIX

<pt>/nq        v2/nq      err v2/nq

0.2167     0.00793623  0.000352823
0.250004   0.0108813   0.000320063
0.283259   0.0140453   0.000306162
0.316506   0.0174324   0.00030464
0.364      0.0228386   0.000223459
0.428557   0.0303764   0.000247984
0.49622    0.0362893   0.000288103
0.564557   0.043244    0.00034641
0.631117   0.0485907   0.000426953
0.734633   0.054677    0.000392667
0.901303   0.062961    0.00070791
1.06804    0.0675603   0.0012709
--------------------------------------
v2(pt) data for Lambda, K0 and Cascade are
published data from the STAR collaboration
Phys. Rev. Lett. 92 (2004) 052302 (Lambda,K0)
http://www.star.bnl.gov/STAR/all/physicsdatabase/22/data.html
Phys. Rev. Lett. 95 (2005) 122301 (Cascade)
http://www.star.bnl.gov/STAR/all/physicsdatabase/54/data.html
Note:  The STAR v2 values were
multiplied by the factor 1.1 to account for a small
difference between the average centralities for minimum bias
events from the two experiments:


Lambda: \Lambda+\bar{\Lambda}: STAR
<pt>/nq        v2/nq      err v2/nq
0.177233   -0.0000367  0.00381333
0.238367    0.0066     0.00179667
0.3023      0.0106333  0.00124667
0.367567    0.0201667  0.00106333
0.4333      0.0267667  0.00099
0.4993      0.0352     0.00099
0.5654      0.0407     0.00106333
0.6318      0.0487667  0.00117333
0.698567    0.0539     0.00146667
0.764433    0.0572     0.00165
0.8574      0.0627     0.00165
0.9922      0.0678333  0.00238333
1.12407     0.0766333  0.00385
1.29817     0.0726     0.00513333

-------------------------------------------

K0_s:neutral kaons (K0): STAR
<pt>/nq     v2/nq      err v2/nq

0.1659     0.0044      0.00418
0.25795    0.011       0.00176
0.353      0.0242      0.00132
0.4489     0.0341      0.00121
0.54855    0.0451      0.001265
0.64735    0.0539      0.00143
0.74685    0.05995     0.001705
0.84635    0.06655     0.002145
0.9458     0.0693      0.002695
1.08375    0.0726      0.00297
1.275      0.0759      0.004565
1.4697     0.07095     0.00825
1.6766     0.07755     0.01177
1.93835    0.0781      0.010725


------------------------------------------

\Xi+\bar{\Xi}: STAR
<pt>/nq     v2/nq      err v2/nq

0.3         0.0124667   0.0113667
0.416667    0.0179667   0.00696667
0.516667    0.0359333   0.00513333
0.633333    0.0443667   0.0044
0.766667    0.0546333   0.0055
0.916667    0.0649      0.0066
1.1         0.0715      0.0088

