Invariant heavy flavor yield, various centrality bins. 
p_T is in units of GeV/c.
The yield and errors are in units of (GeV/c)^-2.


0-10% centrality

p_T         inv. yield         stat. error (+)    stat error (-)    sys. error (+)    sys. error (-)
0.3         3.351e-01        1.635e-02         1.610e-02        6.704e-02         6.600e-02
0.5         1.624e-01        7.051e-03         6.953e-03        2.727e-02         2.688e-02
0.6         8.746e-02        3.591e-03         3.545e-03        1.296e-02         1.280e-02
0.7         4.833e-02        2.146e-03         2.121e-03        6.868e-03         6.788e-03
0.8         2.960e-02        1.310e-03         1.297e-03        3.741e-03         3.701e-03
0.8         1.832e-02        8.655e-04         8.571e-04        2.166e-03         2.145e-03
0.9         1.293e-02        6.127e-04         6.072e-04        1.368e-03         1.356e-03
1.1         6.775e-03        2.743e-04         2.657e-04        7.051e-04         6.831e-04
1.3         3.248e-03        7.079e-05         6.887e-05        4.007e-04         3.899e-04
1.5         1.499e-03        3.094e-05         3.021e-05        1.909e-04         1.864e-04
1.7         6.616e-04        1.052e-05         1.052e-05        9.800e-05         9.800e-05
1.9         3.323e-04        5.841e-06         5.841e-06        4.682e-05         4.682e-05
2.1         1.704e-04        3.514e-06         3.514e-06        2.338e-05         2.338e-05
2.3         9.525e-05        2.299e-06         2.299e-06        1.255e-05         1.255e-05
2.5         5.447e-05        1.552e-06         1.552e-06        6.895e-06         6.895e-06
2.7         3.315e-05        1.108e-06         1.108e-06        4.057e-06         4.057e-06
2.9         2.025e-05        8.025e-07         8.025e-07        2.430e-06         2.430e-06
3.1         1.114e-05        5.839e-07         5.789e-07        1.379e-06         1.379e-06
3.3         7.733e-06        4.528e-07         4.483e-07        9.142e-07         9.142e-07
3.5         4.962e-06        3.520e-07         3.476e-07        5.871e-07         5.871e-07
3.7         3.651e-06        2.819e-07         2.780e-07        4.083e-07         4.083e-07
3.9         2.558e-06        2.322e-07         2.283e-07        2.837e-07         2.837e-07
4.2         1.080e-06        9.325e-08         9.187e-08        1.280e-07         1.280e-07
4.8         3.760e-07        5.510e-08         5.386e-08        4.880e-08         4.880e-08
5.5         1.216e-07        2.503e-08         2.413e-08        1.716e-08         1.716e-08
6.5         1.209e-08        1.107e-08         8.258e-09        3.205e-09         3.205e-09
7.5         2.375e-08        1.151e-08         7.777e-09        2.658e-09         2.658e-09
8.5         7.781e-09        6.969e-09         3.697e-09        1.250e-09         1.250e-09



10-20% centrality

p_T         inv. yield         stat. error (+)    stat error (-)    sys. error (+)    sys. error (-)
0.3         1.904e-01        1.106e-02         1.091e-02        4.481e-02         4.421e-02
0.5         9.111e-02        4.808e-03         4.749e-03        1.790e-02         1.767e-02
0.6         5.293e-02        2.522e-03         2.494e-03        8.572e-03         8.475e-03
0.7         2.922e-02        1.530e-03         1.514e-03        4.550e-03         4.503e-03
0.8         1.884e-02        9.508e-04         9.417e-04        2.474e-03         2.451e-03
0.8         1.287e-02        6.418e-04         6.361e-04        1.468e-03         1.455e-03
0.9         7.928e-03        4.499e-04         4.462e-04        8.768e-04         8.697e-04
1.1         4.470e-03        2.066e-04         2.006e-04        4.686e-04         4.550e-04
1.3         2.202e-03        5.025e-05         4.897e-05        2.500e-04         2.436e-04
1.5         1.011e-03        2.237e-05         2.187e-05        1.157e-04         1.131e-04
1.7         4.688e-04        7.976e-06         7.976e-06        6.731e-05         6.731e-05
1.9         2.407e-04        4.542e-06         4.542e-06        3.266e-05         3.266e-05
2.1         1.283e-04        2.812e-06         2.812e-06        1.675e-05         1.675e-05
2.3         7.538e-05        1.888e-06         1.888e-06        9.241e-06         9.241e-06
2.5         4.179e-05        1.271e-06         1.271e-06        5.040e-06         5.040e-06
2.7         2.375e-05        8.922e-07         8.922e-07        2.858e-06         2.858e-06
2.9         1.404e-05        6.438e-07         6.438e-07        1.665e-06         1.665e-06
3.1         9.367e-06        4.958e-07         4.914e-07        1.064e-06         1.064e-06
3.3         5.585e-06        3.687e-07         3.646e-07        6.411e-07         6.411e-07
3.5         3.984e-06        2.943e-07         2.905e-07        4.390e-07         4.390e-07
3.7         3.145e-06        2.476e-07         2.439e-07        3.249e-07         3.249e-07
3.9         1.403e-06        1.713e-07         1.678e-07        1.676e-07         1.676e-07
4.2         9.767e-07        8.129e-08         8.007e-08        1.049e-07         1.049e-07
4.8         3.419e-07        4.815e-08         4.701e-08        3.923e-08         3.923e-08
5.5         9.711e-08        2.097e-08         2.021e-08        1.264e-08         1.264e-08
6.5         4.001e-08        1.196e-08         1.131e-08        4.533e-09         4.533e-09
7.5         2.455e-08        1.134e-08         7.399e-09        2.385e-09         2.385e-09
8.5         7.537e-09        6.776e-09         3.298e-09        1.074e-09         1.074e-09



20-40% centrality

p_T         inv. yield         stat. error (+)    stat error (-)    sys. error (+)    sys. error (-)
0.3         7.353e-02        5.149e-03         5.087e-03        2.478e-02         2.448e-02
0.5         4.186e-02        2.301e-03         2.276e-03        9.854e-03         9.745e-03
0.6         2.249e-02        1.203e-03         1.190e-03        4.658e-03         4.610e-03
0.7         1.552e-02        7.546e-04         7.475e-04        2.504e-03         2.481e-03
0.8         8.925e-03        4.634e-04         4.594e-04        1.325e-03         1.314e-03
0.8         6.504e-03        3.156e-04         3.130e-04        7.826e-04         7.763e-04
0.9         3.790e-03        2.208e-04         2.192e-04        4.661e-04         4.626e-04
