Heavy Flavor electron R_AA, various centrality bins. 
p_T is in units of GeV/c.


0-10% centrality

p_T         R_AA         stat. error (+)    stat error (-)    sys. error (+)    sys. error (-)
0.35         1.083e+00        5.295e-01         2.721e-01        4.367e-01         4.031e-01
0.45         1.181e+00        4.647e-01         2.640e-01        4.371e-01         4.072e-01
0.55         1.144e+00        3.356e-01         2.153e-01        3.182e-01         2.978e-01
0.65         1.175e+00        3.360e-01         2.183e-01        2.956e-01         2.774e-01
0.75         1.000e+00        2.172e-01         1.555e-01        1.798e-01         1.701e-01
0.85         1.074e+00        2.404e-01         1.710e-01        1.782e-01         1.691e-01
0.95         1.013e+00        2.031e-01         1.498e-01        1.418e-01         1.353e-01
1.10         9.364e-01        1.316e-01         1.059e-01        1.186e-01         1.138e-01
1.30         1.135e+00        2.289e-01         1.642e-01        1.364e-01         1.299e-01
1.50         1.002e+00        2.349e-01         1.608e-01        1.148e-01         1.100e-01
1.70         8.706e-01        1.385e-02         1.385e-02        1.812e-01         1.648e-01
1.90         8.079e-01        1.420e-02         1.420e-02        1.647e-01         1.491e-01
2.10         7.291e-01        1.504e-02         1.504e-02        1.459e-01         1.315e-01
2.30         6.883e-01        1.662e-02         1.662e-02        1.342e-01         1.203e-01
2.50         6.420e-01        1.829e-02         1.829e-02        1.237e-01         1.105e-01
2.70         6.184e-01        2.067e-02         2.067e-02        1.146e-01         1.013e-01
2.90         5.828e-01        2.310e-02         2.310e-02        1.071e-01         9.442e-02
3.10         4.838e-01        2.536e-02         2.514e-02        9.009e-02         7.975e-02
3.30         4.970e-01        2.910e-02         2.881e-02        9.071e-02         7.985e-02
3.50         4.637e-01        3.289e-02         3.249e-02        8.467e-02         7.453e-02
3.70         4.885e-01        3.772e-02         3.720e-02        8.718e-02         7.622e-02
3.90         4.833e-01        4.387e-02         4.314e-02        8.596e-02         7.508e-02
4.25         3.623e-01        3.128e-02         3.082e-02        6.620e-02         5.829e-02
4.75         2.708e-01        3.970e-02         3.880e-02        5.152e-02         4.587e-02
5.50         2.493e-01        5.129e-02         4.945e-02        4.938e-02         4.441e-02
6.50         8.606e-02        7.878e-02         5.879e-02        2.576e-02         2.466e-02
7.50         5.139e-01        2.491e-01         1.683e-01        9.174e-02         8.021e-02
8.50         4.596e-01        4.117e-01         2.184e-01        9.765e-02         8.917e-02



10-20% centrality

