Phenix J/Psi data tables for plots shown in hep-ex/0611020.


==================================================================================================
hep-ex/0611020: p+p 					
==================================================================================================
	     B*dsigma/dy	syst.		syst.		syst.
rapidity	(nb)	stat	pt2pt uncorrel	pt2pt correl	global
|y|<0.35        44.30	1.40	<---included	5.10		4.50	
1.2<|y|<2.2     27.61	0.37	0.83		2.66		2.89


	     B*dsigma/dy	syst.		syst.		syst.
rapidity	(nb)	stat	pt2pt uncorrel	pt2pt correl	global
-2.075		18.12	0.90	0.76		2.46		1.82
-1.825		23.68	0.73	1.16		3.22		2.38
-1.575		30.21	0.81	1.06		4.11		3.04
-1.325		39.15	1.72	1.38		5.32		3.94
-0.30		46.80	2.60	<---included	5.40		4.73
0.00		43.40	2.00	<---included	5.00		4.38
0.30		42.90	2.70	<---included	4.90		4.33
1.325		44.98	2.39	1.87		6.12		4.53
1.575		33.37	1.09	1.42		4.54		3.36
1.825		24.46	0.89	1.07		3.33		2.46
2.075		20.59	1.23	0.90		2.80		2.07
					

Forward Rapidity: 1.2<|y|<2.2	
	1/(2*pi*pT)*dsig^2/dpTdy		syst.		syst.		syst.
pT		(nb)			stat	pt2pt uncorrel	pt2pt correl	global
0.125		3.15			0.27	0.08		0.31		0.33
0.375		2.85			0.14	0.10		0.28		0.30
0.625		2.78			0.12	0.06		0.27		0.29
0.875		2.28			0.09	0.06		0.22		0.24
1.125		1.68			0.07	0.05		0.16		0.18
1.375		1.49			0.06	0.04		0.14		0.16
1.625		1.06			0.04	0.03		0.10		0.11
1.875		0.876			0.039	0.028		0.084		0.092
2.125		0.555			0.029	0.014		0.054		0.058
2.375		0.368			0.022	0.010		0.036		0.038
2.625		0.255			0.018	0.008		0.025		0.027
2.875		0.187			0.014	0.006		0.019		0.020
3.125		0.130			0.010	0.003		0.013		0.014
3.375		0.102			0.009	0.003		0.010		0.011
3.625		0.0598			0.0063	0.0014		0.0058		0.0062
3.875		0.0535			0.0056	0.0010		0.0052		0.0056
4.5		0.0179			0.0016	0.0005		0.0017		0.0019
5.5		0.00311			0.00064	0.00021		0.00030		0.00032
6.5		0.00161			0.00031	0.00012		0.00018		0.00016


Mid-Rapidity: |y|<0.35
	1/(2*pi*pT)*dsig^2/dpTdy	sqrt(stat^2+pt2pt uncorrel^2)		syst.		syst.
pT		(nb)				up	       dn		pt2pt correl	global
0.125		4.26				0.78	       0.78		0.49		0.43
0.375		4.42				0.43	       0.43		0.50		0.45
0.625		3.29				0.34	       0.34		0.38		0.33
0.875		3.04				0.26	       0.26		0.35		0.31
1.125		2.55				0.22	       0.22		0.29		0.26
1.375		1.99				0.19	       0.19		0.23		0.20
1.625		1.52				0.15	       0.15		0.17		0.15
1.875		1.29				0.14	       0.14		0.15		0.13
2.125		1.18				0.13	       0.13		0.13		0.12
2.375		0.618				0.103	       0.103		0.070		0.062
2.625		0.557				0.091	       0.091		0.064		0.056
2.875		0.443				0.079	       0.079		0.050		0.045
3.125		0.194				0.061	       0.061		0.022		0.020
3.375		0.257				0.059	       0.059		0.029		0.026
3.625		0.145				0.045	       0.045		0.017		0.015
3.875		0.136				0.047	       0.047		0.015		0.014
4.5		0.0356				0.0111335      0.0111		0.0041		0.0036
5.5		0.0000				0.0041884      0.0000		0.0000		0.0000
6.5		0.00445				0.00273	       0.00273		0.00051		0.00045
7.5		0.000377			0.000998       0.000377		0.000043	0.000038
8.5		0.00105				0.00074	       0.00074		0.00012		0.00011

