Invariant mass distribution for  K+K- pairs after subtraction of the combinatorial background.
----------------------------------------------------------------------------------------------

  n       Ncounts     Minv    Error  

 
  12     3.49756     0.9915     24.5425
  13     118.419     0.9925     112.333
  14     325.162     0.9935     142.846
  15     334.234     0.9945     159.599
  16     265.02      0.9955     171.416
  17     579.088     0.9965     181.714
  18     317.438     0.9975     188.813
  19     854.48      0.9985     196.799
  20     429.867     0.9995     201.534
  21     926.348     1.0005     207.889
  22     1078.27     1.0015     212.919
  23     1002.32     1.0025     216.801
  24     1212.28     1.0035     221.018
  25     1107.71     1.0045     224.236
  26     1478.09     1.0055     228.004
  27     1015.38     1.0065     230.009
  28     1499.79     1.0075     233.606
  29     1845.18     1.0085     236.816
  30     2034.45     1.0095     239.392
  31     2615.64     1.0105     242.644
  32     3261.35     1.0115     245.89
  33     4056.2      1.0125     249.228
  34     4994.7      1.0135     252.81
  35     7131.54     1.0145     258.333
  36     10206.6     1.0155     265.64
  37     14396.1     1.0165     274.641
  38     19370.8     1.0175     284.676
  39     21718.5     1.0185     289.827
  40     21001.1     1.0195     289.666
  41     16628.7     1.0205     282.94
  42     13042.1     1.0215     277.471
  43     9036.28     1.0225     271.125
  44     6502.23     1.0235     267.348
  45     4576.34     1.0245     264.487
  46     3851.12     1.0255     263.93
  47     2452.07     1.0265     262.235
  48     2326.42     1.0275     262.672
  49     1627.36     1.0285     262.097
  50     2116.77     1.0295     263.738
  51     1298.33     1.0305     262.939
  52     715.836     1.0315     262.551
  53     1517.18     1.0325     264.603
  54     970.977     1.0335     264.232
  55     593.367     1.0345     264.163
  56     536.727     1.0355     264.608
  57     991.383     1.0365     266.164
  58     580.321     1.0375     265.769
  59     467.181     1.0385     266.134
  60     437.695     1.0395     266.581
  61     754.406     1.0405     267.592
  62     805.586     1.0415     268.172
  63     461.711     1.0425     267.919
  64     1281.08     1.0435     269.879
  65     613.523     1.0445     269.058
  66     158.758     1.0455     268.672
  67     277.531     1.0465     269.202
  68     28.5938     1.0475     269.156
  69     92.3984     1.0485     269.629
  70     79.8831     1.0495     269.413
  71     583.906     1.0505     271.184
  72     388.023     1.0515     270.936
  73     289.273     1.0525     271.064
  74     98.8047     1.0535     271.025
  75     360.602     1.0545     271.789
  76     247.938     1.0555     271.851
  77     235.445     1.0565     271.983
  78     1119.59     1.0575     273.906
  79     324.672     1.0585     272.662
  80     273.391     1.0595     272.817
  81     -18.1875    1.0605     272.367
  82     -271.781    1.0615     272.108
  83     12.0703     1.0625     272.85
  84     -256.602    1.0635     272.571
  85     250.305     1.0645     273.603
  86     174.484     1.0655     273.64
  87     214.445     1.0665     273.966
  88     642.805     1.0675     274.737
  89     131.266     1.0685     273.936
  90     80.1562     1.0695     273.878
  91    -55.6484     1.0705     273.655
  92     58.0938     1.0715     273.679
  93     201.289     1.0725     273.951
  94     -8.625      1.0735     273.346
  95     191.32      1.0745     273.688
=================================================================================
