Fig 1(c)
===============================================================================
v2=${cos(2[phi^{pair}-Phi2])}$ as a function
of invariant mass m_inv of   K+K- pairs <br>( P_{T}^{pair}=1.6-2.7 GeV/c)
for 20-60% central collisions at sqrt(s_NN)=200 GeV.

------------------------------------------------------------------------------


   n     v2cos2phi    Minv       v2err

   6    0.0730885     1.001     0.00197408
   7    0.0716522     1.003     0.00189966
   8    0.0735141     1.005     0.00183737
   9    0.0731609     1.007     0.00179241
   10    0.070034     1.009     0.00174474
   11    0.070649     1.011     0.00169929
   12    0.073069     1.013     0.00165151
   13    0.070362     1.015     0.00158272
   14    0.070316     1.017     0.00148601
   15    0.067732     1.019     0.00144257
   16    0.071362     1.021     0.00148072
   17    0.069608     1.023     0.00153953
   18    0.071616     1.025     0.00156281
   19    0.071728     1.027     0.00157336
   20    0.072046     1.029     0.00157181
   21    0.074465     1.031     0.00157576
   22    0.071701     1.033     0.00156604
   23    0.071246     1.035     0.00156622
   24    0.072647     1.037     0.00156022
   25    0.070936     1.039     0.00155576
   26    0.0727094     1.041     0.00154804
   27    0.0718751     1.043     0.00154492
   28    0.0739975     1.045     0.00154504
   29    0.0730185     1.047     0.00154261
   30    0.0698694     1.049     0.00154444
   31    0.0739584     1.051     0.00153533
   32    0.0716079     1.053     0.00153856
   33    0.0703151     1.055     0.00153553
   34    0.0716366     1.057     0.00153336
   35    0.0733499     1.059     0.0015364
   36    0.0695734     1.061     0.00153587
   37    0.0708315     1.063     0.00153671
   38    0.0710008     1.065     0.00153701
   39    0.068446      1.067     0.00153252
   40    0.0700821     1.069     0.00153901
   41    0.0674955     1.071     0.00154114
   42    0.0707361     1.073     0.00154495
   43    0.0694193     1.075     0.00155157
   44    0.0714339     1.077     0.00155408
   45    0.0710711     1.079     0.00155874
   46    0.0700863     1.081     0.00155976
   47    0.0684026     1.083     0.00155891
   48    0.0672671     1.085     0.00156492
   49    0.0670974     1.087     0.00156913
   50    0.0703217     1.089     0.00156752
   51    0.0674567     1.091     0.0015735
   52    0.0697499     1.093     0.00157887
   53    0.0704239     1.095     0.0015764
   54    0.0671987     1.097     0.00158431
   55    0.0677387     1.099     0.00158847
   56    0.0696785     1.101     0.0015897
   57    0.0678702     1.103     0.00159917
   58    0.0687191     1.105     0.00160253
   59    0.0685563     1.107     0.00160823
   60    0.0674485     1.109     0.00161159
   61    0.0667045     1.111     0.00162078
============================================================================
