Fig.1 (c) - m2 distribution for (anti)deuterons
for pt=1.6-2.0 GeV/c from 20-60% central Au+Au
collisions at 200 GeV
=================================================
m2(signal+background)
------------------------
 
   ch   Ncounts  m2(GeV/c2)^2 
   50   234  2.49
   51   193  2.51
   52   208  2.53
   53   214  2.55
   54   171  2.57
   55   163  2.59
   56   172  2.61
   57   163  2.63
   58   180  2.65
   59   174  2.67
   60   159  2.69
   61   136  2.71
   62   160  2.73
   63   148  2.75
   64   133  2.77
   65   141  2.79
   66   136  2.81
   67   142  2.83
   68   139  2.85
   69   149  2.87
   70   141  2.89
   71   128  2.91
   72   134  2.93
   73   126  2.95
   74   134  2.97
   75   134  2.99
   76   137  3.01
   77   120  3.03
   78   158  3.05
   79   163  3.07
   80   152  3.09
   81   144  3.11
   82   149  3.13
   83   168  3.15
   84   211  3.17
   85   216  3.19
   86   252  3.21
   87   309  3.23
   88   348  3.25
   89   397  3.27
   90   440  3.29
   91   527  3.31
   92   568  3.33
   93   613  3.35
   94   678  3.37
   95   709  3.39
   96   789  3.41
   97   785  3.43
   98   903  3.45
   99   922  3.47
   100   914  3.49
   101   932  3.51
   102   936  3.53
   103   887  3.55
   104   867  3.57
   105   830  3.59
   106   716  3.61
   107   657  3.63
   108   579  3.65
   109   564  3.67
   110   490  3.69
   111   417  3.71
   112   360  3.73
   113   352  3.75
   114   345  3.77
   115   288  3.79
   116   244  3.81
   117   213  3.83
   118   209  3.85
   119   166  3.87
   120   154  3.89
   121   131  3.91
   122   119  3.93
   123   116  3.95
   124   99  3.97
   125   97  3.99
   126   83  4.01
   127   81  4.03
   128   97  4.05
   129   92  4.07
   130   74  4.09
   131   64  4.11
   132   57  4.13
   133   45  4.15
   134   62  4.17
   135   61  4.19
   136   40  4.21
   137   49  4.23
   138   56  4.25
   139   59  4.27
   140   53  4.29
   141   52  4.31
   142   45  4.33
   143   41  4.35
   144   34  4.37
   145   47  4.39
   146   36  4.41
   147   42  4.43
   148   31  4.45
   149   45  4.47
   150   36  4.49
----------------------------------------------------
m2(background)
------------------------
 
   ch   Ncounts  m2(GeV/c2)^2 

   15   199.573    2.5075
   16   191.547    2.5425
   17   183.874    2.5775
   18   176.539    2.6125
   19   169.527    2.6475
   20   162.825    2.6825
   21   156.421    2.7175
   22   150.299    2.7525
   23   144.451    2.7875
   24   138.862    2.8225
   25   133.522    2.8575
   26   128.421    2.8925
   27   123.548    2.9275
   28   118.893    2.9625
   29   114.447    2.9975
   30   110.201    3.0325
   31   106.147    3.0675
   32   102.275    3.1025
   33   98.5777    3.1375
   34   95.0481    3.1725
   35   91.6784    3.2075
   36   88.4617    3.2425
   37   85.3914    3.2775
   38   82.4609    3.3125
   39   79.6641    3.3475
   40   76.9952    3.3825
   41   74.4484    3.4175
   42   72.0184    3.4525
   43   69.7001    3.4875
   44   67.4884    3.5225
   45   65.3786    3.5575
   46   63.3662    3.5925
   47   61.4469    3.6275
   48   59.6164    3.6625
   49   57.8709    3.6975
   50   56.2064    3.7325
   51   54.6194    3.7675
   52   53.1063    3.8025
   53   51.6639    3.8375
   54   50.2891    3.8725
   55   48.9784    3.9075
   56   47.7293    3.9425
   57   46.5389    3.9775
   58   45.4045    4.0125
   59   44.3236    4.0475
   60   43.2937    4.0825
   61   42.3125    4.1175
   62   41.3778    4.1525
   63   40.4874    4.1875
   64   39.6393    4.2225
   65   38.8316    4.2575
   66   38.0624    4.2925
   67   37.3299    4.3275
   68   36.6324    4.3625
   69   35.9683    4.3975
   70   35.3361    4.4325
   71   34.7342    4.4675
   72   34.1612    4.5025


-------------------------------------------------------------
m2(signal)
------------------------
 
ch   Ncounts  m2(GeV/c2)^2 
 1    9.42452e-05   2.5175
 2    0.000284542   2.5525
 3    0.000825708   2.5875
 4    0.00230303   2.6225
 5    0.00617401   2.6575
 6    0.0159085   2.6925
 7    0.0393988   2.7275
 8    0.0937843   2.7625
 9    0.214571   2.7975
 10    0.471852   2.8325
 11    0.997318   2.8675
 12    2.02607   2.9025
 13    3.95612   2.9375
 14    7.42468   2.9725
 15    13.393   3.0075
 16    23.2206   3.0425
 17    38.6957   3.0775
 18    61.979   3.1125
 19    95.4157   3.1475
 20    141.185   3.1825
 21    200.794   3.2175
 22    274.477   3.2525
 23    360.625   3.2875
 24    455.405   3.3225
 25    552.757   3.3575
 26    644.857   3.3925
 27    723.08   3.4275
 28    779.296   3.4625
 29    807.257   3.4975
 30    803.739   3.5325
 31    769.151   3.5675
 32    707.459   3.6025
 33    625.439   3.6375
 34    531.449   3.6725
 35    434.042   3.7075
 36    340.718   3.7425
 37    257.071   3.7775
 38    186.425   3.8125
 39    129.941   3.8475
 40    87.0532   3.8825
 41    56.0551   3.9175
 42    34.6928   3.9525
 43    20.6375   3.9875
 44    11.7996   4.0225
 45    6.48445   4.0575
 46    3.42508   4.0925
 47    1.73885   4.1275
 48    0.848491   4.1625
 49    0.397947   4.1975
 50    0.17939   4.2325
 51    0.0777253   4.2675
 52    0.0323684   4.3025
 53    0.0129561   4.3375
 54    0.00498446   4.3725
 55    0.00184313   4.4075
 56    0.000655073   4.4425
 57    0.000223777   4.4775
 58    7.34741e-05   4.5125
------------------------------------
