Left panel: v2 vs KET for pi,K,p,phi,d 
from 20-60% central Au+Au Collisions at 200 GeV 
================================================
charged pions: \pi^{+}+\pi{-} PHENIX
<KE_T>        v2         err v2

0.146751    0.0260763    0.000349187
0.237232    0.0408742    0.000300015
0.331577    0.0553461    0.000306623
0.427863    0.0698935    0.000337621
0.525246    0.0826627    0.000386339
0.623306    0.0944531    0.000446691
0.771188    0.113176    0.000659756
0.969249    0.131467    0.000891937
1.167911    0.148374    0.00119134
1.36691     0.160356    0.00158361
1.56615     0.174457    0.00208535
1.76555     0.176271    0.00273446
1.95509     0.178067    0.002339
2.11475     0.180366    0.0028236
2.34835     0.183377    0.00568759
2.61397     0.180926    0.00649562
==================================================

charged kaons: K^{+}+K^{-} 
<KE_T>        v2         err v2
0.174318    0.0335426    0.00184097
0.245388    0.0468437    0.00150571
0.322544    0.0608662    0.00139414
0.404219    0.0718873    0.00138526
0.489286    0.0857727    0.00144025
0.576938    0.0965343    0.00154085
0.666589    0.109095    0.00166753
0.757809    0.117963    0.00182448
0.850279    0.127026    0.00200663
0.943757    0.131432    0.00221622
1.03806    0.139816    0.00246221
1.13304    0.15009    0.00274239
1.22859    0.15825    0.00304884
1.32462    0.162211    0.00341834
1.45973    0.165985    0.00298187
1.65384    0.165995    0.0040066
1.84502    0.172835    0.00590231
2.03891    0.173076    0.00911729
2.30028    0.174549    0.00932495
=========================================================
(anti-)protons: p+\bar{p}
<KE_T>        v2         err v2
0.149319    0.024518    0.00160064
0.203154    0.0368565    0.00142661
0.262917    0.0432664    0.00134667
0.327767    0.0559126    0.00132847
0.396964    0.0702839    0.00135378
0.469867    0.083858    0.00140184
0.54593    0.0969046    0.00147748
0.624691    0.114762    0.00157574
0.705764    0.125167    0.00169366
0.788822    0.137192    0.00184597
0.873593    0.146772    0.0020298
0.994719    0.166175    0.00166048
1.17181    0.188878    0.00206261
1.35268    0.202336    0.00258501
1.53834    0.21436    0.00327943
1.72451    0.226594    0.00414695
1.91256    0.233982    0.0052587
2.17164    0.246307    0.00535373
2.55798    0.250603    0.00892407
2.94576    0.239159    0.0144586
=======================================================
phi meson
<KE_T>        v2     err v2
0.617081   0.1      0.017
0.937339   0.12     0.014
1.2105     0.161    0.016
1.54334    0.184    0.023
2.11149    0.163    0.032

=========================================================
(anti-)deuteron d+\bar{d}
<KE_T>        v2     err v2

0.46624   0.0652   0.014
0.71854   0.1082   0.015
1.03751   0.1757   0.016
1.42578   0.2102   0.024
1.97132   0.2718   0.031

===========================================================
