===========================================================

Right panel: v2/nq vs KET/nq for pi,K,p,phi,d
nq = 3 for baryons and nq=2 for mesons
for (anti-)deuterons nq=6 was used 
 
from 20-60% central Au+Au Collisions at 200 GeV 
================================================
charged pions: \pi^{+}+\pi{-} 
<KE_T>/nq        v2/nq    err v2/nq

0.0733756   0.0130382    0.000174593
0.118616    0.0204371    0.000150007
0.165789    0.0276731    0.000153312
0.213931    0.0349467    0.000168811
0.262623    0.0413314    0.000193169
0.311653    0.0472265    0.000223345
0.385594    0.056588     0.000329878
0.484625    0.0657335    0.000445968
0.58395     0.074187     0.00059567
0.683455    0.080178     0.000791805
0.783075    0.0872285    0.00104268
0.882775    0.0881355    0.00136723
0.977543    0.0890335    0.0011695
1.05738     0.090183     0.0014118
1.17417     0.0916885    0.0028438
1.30698     0.090463     0.00324781
---------------------------------------------------
charged kaons: K^{+}+K^{-} 
<KE_T>/nq     v2/nq      err v2/nq
0.0871589   0.0167713    0.000920485
0.122694    0.0234219    0.000752855
0.161272    0.0304331    0.00069707
0.202109    0.0359437    0.00069263
0.244643    0.0428863    0.000720125
0.288469    0.0482672    0.000770425
0.333294    0.0545475    0.000833765
0.378904    0.0589815    0.00091224
0.425139    0.063513     0.00100332
0.471879    0.065716     0.00110811
0.51903     0.069908     0.0012311
0.566521    0.075045     0.00137119
0.614297    0.079125     0.00152442
0.662312    0.0811055    0.00170917
0.729867    0.0829925    0.00149094
0.826919    0.0829975    0.0020033
0.922511    0.0864175    0.00295116
1.01945     0.086538     0.00455865
1.15014     0.0872745    0.00466248

-------------------------------------------------------
(anti-)protons: p+\bar{p}
<KE_T>/nq      v2/nq      err v2/nq
0.049773    0.00817267    0.000533547
0.0677182   0.0122855     0.000475537
0.0876389   0.0144221     0.00044889
0.109256    0.0186375     0.000442823
0.132321    0.023428      0.00045126
0.156622    0.0279527     0.00046728
0.181977    0.0323015     0.000492493
0.20823     0.038254      0.000525247
0.235255    0.0417223     0.000564553
0.262941    0.0457307     0.000615323
0.291198    0.048924      0.0006766
0.331573    0.0553917     0.000553493
0.390604    0.0629593     0.000687537
0.450893    0.0674453     0.00086167
0.512781    0.0714533     0.00109314
0.574837    0.0755313     0.00138232
0.637519    0.077994      0.0017529
0.723881    0.0821023     0.00178458
0.85266     0.0835343     0.00297469
0.98192     0.0797197     0.00481953
-------------------------------------------------------------
phi meson  
<KE_T>/nq      v2/nq      err v2/nq
0.30854       0.05       0.0085        
0.468669      0.06       0.007         
0.605248      0.0805     0.008         
0.771668      0.092      0.0115        
1.05574       0.0815     0.016
-------------------------------------------------------------
(anti-)deuteron d+\bar{d}, nq=2x3   
       
<KE_T>/nq      v2/nq  err v2/nq     
0.0777073   0.0109     0.0023      
0.119757    0.0180     0.0025     
0.172918    0.0293     0.0027     
0.23763     0.0350     0.004    
0.328554    0.0453     0.0051    

================================================================
