Fig.2 : v2 vs pT for pi,K,p,phi,d 
from 20-60% central Au+Au Collisions at 200 GeV 
==========================================================
charged pions: \pi^{+}+\pi{-} 
<pT>        v2            err v2

0.25     0.0260763       0.000349187
0.35     0.0408742       0.000300015
0.45     0.0553461       0.000306623
0.55     0.0698935       0.000337621
0.65     0.0826627       0.000386339
0.75     0.0944531       0.000446691
0.9      0.113176        0.000659756
1.1      0.131467        0.000891937
1.3      0.148374        0.00119134
1.5      0.160356        0.00158361
1.7      0.174457        0.00208535
1.9      0.176271        0.00273446
2.09     0.178067        0.002339
2.25     0.180366        0.0028236
2.49     0.183377        0.00568759
2.75     0.180926        0.00649562

----------------------------------------------------------
charged kaons: K^{+}+K^{-} 
<pT>        v2            err v2

0.45     0.0335426      0.00184097
0.55     0.0468437      0.00150571
0.65     0.0608662      0.00139414
0.75     0.0718873      0.00138526
0.85     0.0857727      0.00144025
0.95     0.0965343      0.00154085
1.05     0.109095       0.00166753
1.15     0.117963       0.00182448
1.25     0.127026       0.00200663
1.35     0.131432       0.00221622
1.45     0.139816       0.00246221
1.55     0.15009        0.00274239
1.65     0.15825        0.00304884
1.75     0.162211       0.00341834
1.89     0.165985       0.00298187
2.09     0.165995       0.0040066
2.29     0.172835       0.00590231
2.49     0.173076       0.00911729
2.75     0.174549       0.00932495

--------------------------------------------------------------
(anti-)protons: p+\bar{p}
<pT>        v2            err v2
0.55     0.024518       0.00160064
0.65     0.0368565      0.00142661
0.75     0.0432664      0.00134667
0.85     0.0559126      0.00132847
0.95     0.0702839      0.00135378
1.05     0.083858       0.00140184
1.15     0.0969046      0.00147748
1.25     0.114762       0.00157574
1.35     0.125167       0.00169366
1.45     0.137192       0.00184597
1.55     0.146772       0.0020298
1.69     0.166175       0.00166048
1.89     0.188878       0.00206261
2.09     0.202336       0.00258501
2.29     0.214361       0.00327943
2.49     0.226594       0.00414695
2.69     0.233982       0.0052587
2.97     0.246307       0.00535373
3.37     0.250603       0.00892407
3.77     0.239159       0.0144586
---------------------------------------------------------------------
phi meson 

<pT>        v2        err v2
1.28     0.100        0.017
1.67     0.120        0.014
1.983    0.161        0.016
2.351    0.184        0.023
2.960    0.163        0.032

------------------------------------------------------------------------
(anti-)deuteron d+\bar{d}
<pT>        v2        err v2
1.403      0.0652323     0.014
1.793      0.1081742     0.015
2.23       0.175692      0.016
2.718      0.2102        0.024
3.36       0.271817      0.031

--------------------------------------------------------------------------















