# Slice along line
#
# x   data   uncertainty
#
5.00  1.7761  1.1102
7.00  1.0085  0.1692
9.00  1.1986  0.0778
11.00  1.2196  0.0434
13.00  1.2010  0.0282
15.00  1.1978  0.0206
17.00  1.1822  0.0164
19.00  1.1799  0.0138
21.00  1.1347  0.0119
23.00  1.1233  0.0106
25.00  1.1110  0.0096
27.00  1.0957  0.0088
29.00  1.0715  0.0081
31.00  1.0477  0.0075
33.00  1.0530  0.0071
35.00  1.0320  0.0066
37.00  1.0285  0.0063
39.00  1.0326  0.0060
41.00  1.0261  0.0058
43.00  1.0096  0.0055
45.00  1.0018  0.0052
47.00  0.9980  0.0050
49.00  1.0053  0.0049
51.00  0.9994  0.0047
53.00  1.0055  0.0046
55.00  1.0034  0.0045
57.00  0.9966  0.0043
59.00  0.9953  0.0042
61.00  0.9985  0.0041
63.00  0.9909  0.0040
65.00  0.9920  0.0039
67.00  0.9902  0.0038
69.00  0.9897  0.0038
71.00  0.9934  0.0037
73.00  0.9992  0.0036
75.00  0.9928  0.0035
77.00  0.9943  0.0035
79.00  0.9860  0.0034
81.00  0.9892  0.0034
83.00  0.9896  0.0033
85.00  0.9901  0.0033
87.00  0.9896  0.0032
89.00  0.9988  0.0032
91.00  0.9995  0.0031
93.00  0.9963  0.0031
95.00  0.9939  0.0031
97.00  0.9965  0.0030
99.00  0.9940  0.0030
