# Slice along line
#
# x   data   uncertainty
#
3.00  1.0403  0.1233
5.00  1.2176  0.0203
7.00  1.1990  0.0095
9.00  1.1701  0.0062
11.00  1.1481  0.0047
13.00  1.1234  0.0038
15.00  1.0960  0.0032
17.00  1.0787  0.0028
19.00  1.0605  0.0025
21.00  1.0507  0.0023
23.00  1.0416  0.0021
25.00  1.0302  0.0020
27.00  1.0246  0.0018
29.00  1.0157  0.0017
31.00  1.0143  0.0016
33.00  1.0131  0.0016
35.00  1.0097  0.0015
37.00  1.0084  0.0014
39.00  1.0021  0.0014
41.00  1.0045  0.0013
43.00  1.0041  0.0013
45.00  1.0013  0.0013
47.00  1.0017  0.0012
49.00  1.0000  0.0012
51.00  0.9989  0.0012
53.00  0.9995  0.0012
55.00  0.9999  0.0011
57.00  0.9985  0.0011
59.00  0.9996  0.0011
61.00  0.9977  0.0011
63.00  0.9992  0.0011
65.00  1.0003  0.0011
67.00  1.0000  0.0010
69.00  0.9977  0.0010
71.00  0.9987  0.0010
73.00  0.9990  0.0010
75.00  0.9981  0.0010
77.00  0.9998  0.0010
79.00  0.9990  0.0010
81.00  0.9997  0.0010
83.00  1.0008  0.0010
85.00  0.9995  0.0010
87.00  0.9997  0.0010
89.00  0.9984  0.0010
91.00  1.0010  0.0010
93.00  1.0006  0.0010
95.00  0.9998  0.0010
97.00  1.0007  0.0010
99.00  1.0018  0.0010
