# Slice along  line
# 
# x     data      uncertainty
#             
1 0.500539 0.0183751
3 0.605714 0.0145667
5 0.801077 0.00746156
7 0.95191 0.00194009
9 1.0497 0.00188323
11 1.10934 0.00422635
13 1.14275 0.00568465
15 1.15813 0.00651837
17 1.16118 0.00691787
19 1.15599 0.00701899
21 1.14555 0.00692082
23 1.13207 0.00669648
25 1.11714 0.00639988
27 1.10189 0.00607008
29 1.08712 0.00573442
31 1.0733 0.00541094
33 1.06073 0.00511038
35 1.04955 0.00483793
37 1.03977 0.00459476
39 1.03135 0.00437942
41 1.02421 0.00418891
43 1.01823 0.00401958
45 1.01327 0.00386776
47 1.00922 0.00373011
49 1.00595 0.00360381
51 1.00333 0.00348663
53 1.00128 0.00337684
55 0.999683 0.0032732
57 0.998471 0.00317479
59 0.997568 0.00308101
61 0.996915 0.0029914
63 0.996459 0.00290567
65 0.996158 0.0028236
67 0.995977 0.00274504
69 0.995888 0.00266983
71 0.995868 0.00259787
73 0.995897 0.00252904
75 0.995963 0.00246322
77 0.996054 0.00240029
79 0.99616 0.00234014
81 0.996277 0.00228264
83 0.996399 0.00222768
85 0.996522 0.00217512
87 0.996645 0.00212485
89 0.996765 0.00207675
91 0.996882 0.0020307
93 0.996995 0.0019866
95 0.997102 0.00194432
97 0.997205 0.00190378
99 0.997303 0.00186486
