# Slice along  line
# 
# x     data      uncertainty
#             
1 -0.200653 0.238013
3 0.0720199 0.172764
5 0.565278 0.0698186
7 0.918434 0.0180718
9 1.11227 0.0197296
11 1.19632 0.0233815
13 1.21612 0.0182871
15 1.20548 0.0115612
17 1.18518 0.00948296
19 1.16436 0.0082618
21 1.14474 0.00597072
23 1.12546 0.00510515
25 1.1063 0.0050316
27 1.08822 0.00431135
29 1.07239 0.00353832
31 1.05917 0.00324982
33 1.04809 0.00317405
35 1.03848 0.00303417
37 1.03002 0.00280428
39 1.02275 0.00256404
41 1.01679 0.00239295
43 1.01208 0.0023376
45 1.00841 0.00232718
47 1.00554 0.00222804
49 1.00331 0.00203037
51 1.00161 0.00185512
53 1.00025 0.00180065
55 0.999021 0.00183094
57 0.997776 0.00183542
59 0.99647 0.00173293
61 0.995155 0.00150664
63 0.993921 0.00121256
65 0.99284 0.000981512
67 0.991969 0.000940604
69 0.991363 0.00104428
71 0.991059 0.00115413
73 0.991057 0.00119648
75 0.991304 0.00115891
77 0.99172 0.0010607
79 0.992221 0.000936689
81 0.992747 0.000822478
83 0.993253 0.000737416
85 0.993707 0.000679302
87 0.994088 0.000636202
89 0.994391 0.00059923
91 0.994632 0.000566319
93 0.994833 0.000539326
95 0.995013 0.000519384
97 0.99518 0.000504534
99 0.995337 0.000491351
