# Slice along  line
# 
# x     data      uncertainty
#             
1 0.714097 0.0223639
3 1.07221 0.00630413
5 1.18311 0.0104658
7 1.19757 0.00680202
9 1.17761 0.00379477
11 1.14802 0.00307557
13 1.11981 0.00233712
15 1.09657 0.00188565
17 1.07808 0.00176045
19 1.06302 0.00141194
21 1.05031 0.00125274
23 1.03956 0.00125069
25 1.03074 0.00103851
27 1.0238 0.000853566
29 1.01848 0.000878055
31 1.01442 0.000845878
33 1.01128 0.000698178
35 1.00881 0.000576888
37 1.00684 0.00056172
39 1.00526 0.000588875
41 1.00398 0.000588113
43 1.00291 0.000539434
45 1.00202 0.000453407
47 1.00128 0.000361404
49 1.00069 0.000304958
51 1.00022 0.000295283
53 0.999853 0.000305258
55 0.999575 0.000314551
57 0.999367 0.000317544
59 0.999216 0.000313711
61 0.999111 0.000304098
63 0.999041 0.000290127
65 0.998997 0.00027352
67 0.998974 0.000255668
69 0.998972 0.000237317
71 0.998987 0.000218822
73 0.999015 0.000200388
75 0.999053 0.000182473
77 0.999094 0.000165522
79 0.999137 0.000149649
81 0.999177 0.000134861
83 0.999213 0.000121142
85 0.999243 0.000108559
87 0.999269 9.71808e-05
89 0.999292 8.68904e-05
91 0.999313 7.75909e-05
93 0.999334 6.92807e-05
95 0.999354 6.19471e-05
97 0.999374 5.54966e-05
99 0.999393 4.97255e-05
