# Slice along  line
# 
# x     data      uncertainty
#             
0 0 1.5489e-05
0.6 0.000232865 1.53541e-05
1.2 0.000228111 1.49728e-05
1.8 0.000220666 1.4381e-05
2.4 0.000210923 1.36151e-05
3 0.000199271 1.27118e-05
3.6 0.000186103 1.17082e-05
4.2 0.000171809 1.06413e-05
4.8 0.000156782 9.54826e-06
5.4 0.000141413 8.46569e-06
6 0.000126093 7.42906e-06
6.6 0.000111214 6.47137e-06
7.2 9.7167e-05 5.62101e-06
7.8 8.43435e-05 4.89907e-06
8.4 7.30885e-05 4.3146e-06
9 6.34032e-05 3.84966e-06
9.6 5.51342e-05 3.48196e-06
10.2 4.81273e-05 3.19691e-06
10.8 4.22283e-05 2.98547e-06
11.4 3.7283e-05 2.83998e-06
12 3.31373e-05 2.7495e-06
12.6 2.9637e-05 2.69688e-06
13.2 2.6628e-05 2.6588e-06
13.8 2.39561e-05 2.6084e-06
14.4 2.14705e-05 2.51984e-06
15 1.91044e-05 2.38858e-06
15.6 1.68773e-05 2.23259e-06
16.2 1.48129e-05 2.07179e-06
16.8 1.29348e-05 1.9227e-06
17.4 1.12669e-05 1.79404e-06
18 9.83256e-06 1.68437e-06
18.6 8.64985e-06 1.58496e-06
19.2 7.69764e-06 1.4899e-06
19.8 6.93869e-06 1.40182e-06
20.4 6.33572e-06 1.32768e-06
21 5.85142e-06 1.27329e-06
21.6 5.44851e-06 1.23854e-06
22.2 5.08969e-06 1.21523e-06
22.8 4.73773e-06 1.1888e-06
23.4 4.36823e-06 1.1469e-06
24 3.98655e-06 1.09019e-06
24.6 3.60229e-06 1.025e-06
25.2 3.22501e-06 9.59432e-07
25.8 2.86429e-06 9.00782e-07
26.4 2.52971e-06 8.5301e-07
27 2.23083e-06 8.15022e-07
27.6 1.97325e-06 7.81595e-07
28.2 1.75329e-06 7.48266e-07
28.8 1.56594e-06 7.13059e-07
29.4 1.40619e-06 6.75829e-07
30 1.26902e-06 6.37596e-07
30.6 1.14941e-06 5.9997e-07
31.2 1.04236e-06 5.64651e-07
31.8 9.4306e-07 5.32938e-07
32.4 8.49442e-07 5.05091e-07
33 7.61316e-07 4.80832e-07
33.6 6.78527e-07 4.59838e-07
34.2 6.00924e-07 4.41754e-07
34.8 5.28354e-07 4.26202e-07
35.4 4.60663e-07 4.12794e-07
36 3.97699e-07 4.01147e-07
36.6 3.39308e-07 3.90889e-07
37.2 2.85339e-07 3.81677e-07
37.8 2.35637e-07 3.73196e-07
38.4 1.90051e-07 3.65171e-07
39 1.48427e-07 3.57363e-07
39.6 1.10613e-07 3.49571e-07
40.2 7.64547e-08 3.41633e-07
40.8 4.58004e-08 3.33419e-07
41.4 1.8497e-08 3.24828e-07
42 -5.60855e-09 3.15789e-07
42.6 -2.6669e-08 3.06254e-07
43.2 -4.48373e-08 2.96196e-07
43.8 -6.02662e-08 2.85606e-07
44.4 -7.31088e-08 2.74489e-07
45 -8.35178e-08 2.62866e-07
45.6 -9.16461e-08 2.50769e-07
46.2 -9.76466e-08 2.38237e-07
46.8 -1.01672e-07 2.25321e-07
47.4 -1.03876e-07 2.12078e-07
48 -1.0441e-07 1.9857e-07
48.6 -1.03428e-07 1.84865e-07
49.2 -1.01083e-07 1.71037e-07
49.8 -9.75269e-08 1.57162e-07
50.4 -9.29133e-08 1.4332e-07
51 -8.73949e-08 1.29595e-07
51.6 -8.11246e-08 1.16072e-07
52.2 -7.42553e-08 1.02839e-07
52.8 -6.69398e-08 8.99862e-08
53.4 -5.9331e-08 7.76054e-08
54 -5.15819e-08 6.57897e-08
54.6 -4.38451e-08 5.46337e-08
55.2 -3.62737e-08 4.4233e-08
55.8 -2.90206e-08 3.46844e-08
56.4 -2.22385e-08 2.60856e-08
57 -1.60804e-08 1.8535e-08
57.6 -1.06991e-08 1.21319e-08
58.2 -6.24757e-09 6.97618e-09
58.8 -2.87861e-09 3.16822e-09
59.4 -7.45133e-10 8.09014e-10
