# Slice along  line
# 
# x     data      uncertainty
#             
0 0 3.27595e-06
0.6 4.35914e-05 3.13615e-06
1.2 4.29585e-05 2.77227e-06
1.8 4.19547e-05 2.26997e-06
2.4 4.06219e-05 1.71878e-06
3 3.9002e-05 1.21409e-06
3.6 3.7137e-05 8.5001e-07
4.2 3.5072e-05 6.56187e-07
4.8 3.2855e-05 5.83549e-07
5.4 3.0534e-05 5.56673e-07
6 2.81572e-05 5.25725e-07
6.6 2.57726e-05 4.75754e-07
7.2 2.34283e-05 4.11962e-07
7.8 2.11724e-05 3.49174e-07
8.4 1.90531e-05 3.03972e-07
9 1.71151e-05 2.82589e-07
9.6 1.53677e-05 2.75671e-07
10.2 1.37982e-05 2.72618e-07
10.8 1.23935e-05 2.67369e-07
11.4 1.11404e-05 2.57603e-07
12 1.00257e-05 2.43357e-07
12.6 9.03653e-06 2.26057e-07
13.2 8.15959e-06 2.07934e-07
13.8 7.38182e-06 1.91534e-07
14.4 6.6901e-06 1.79062e-07
15 6.0713e-06 1.71529e-07
15.6 5.51233e-06 1.68114e-07
16.2 5.00143e-06 1.66496e-07
16.8 4.53393e-06 1.64632e-07
17.4 4.10738e-06 1.61521e-07
18 3.71937e-06 1.569e-07
18.6 3.36747e-06 1.50993e-07
19.2 3.04925e-06 1.44331e-07
19.8 2.76228e-06 1.37615e-07
20.4 2.50413e-06 1.31583e-07
21 2.27239e-06 1.26853e-07
21.6 2.06462e-06 1.23762e-07
22.2 1.87839e-06 1.22238e-07
22.8 1.71128e-06 1.21787e-07
23.4 1.56085e-06 1.21594e-07
24 1.42484e-06 1.20756e-07
24.6 1.30192e-06 1.18821e-07
25.2 1.19119e-06 1.15733e-07
25.8 1.09171e-06 1.11634e-07
26.4 1.00258e-06 1.06797e-07
27 9.22864e-07 1.01579e-07
27.6 8.51658e-07 9.638e-08
28.2 7.8804e-07 9.15984e-08
28.8 7.31091e-07 8.75739e-08
29.4 6.79893e-07 8.45213e-08
30 6.33528e-07 8.24747e-08
30.6 5.91077e-07 8.12667e-08
31.2 5.51623e-07 8.0561e-08
31.8 5.14437e-07 7.99615e-08
32.4 4.79333e-07 7.92062e-08
33 4.46221e-07 7.81711e-08
33.6 4.15011e-07 7.68282e-08
34.2 3.85614e-07 7.52172e-08
34.8 3.57939e-07 7.34221e-08
35.4 3.31896e-07 7.15514e-08
36 3.07395e-07 6.97209e-08
36.6 2.84347e-07 6.8036e-08
37.2 2.62661e-07 6.6576e-08
37.8 2.42247e-07 6.53797e-08
38.4 2.23016e-07 6.44361e-08
39 2.04878e-07 6.36819e-08
39.6 1.87756e-07 6.30198e-08
40.2 1.71617e-07 6.23701e-08
40.8 1.56429e-07 6.16717e-08
41.4 1.42165e-07 6.08777e-08
42 1.28796e-07 5.99537e-08
42.6 1.16292e-07 5.88757e-08
43.2 1.04625e-07 5.76285e-08
43.8 9.37654e-08 5.6204e-08
44.4 8.36846e-08 5.46001e-08
45 7.43536e-08 5.28196e-08
45.6 6.57432e-08 5.08691e-08
46.2 5.78247e-08 4.87584e-08
46.8 5.05689e-08 4.65e-08
47.4 4.3947e-08 4.41085e-08
48 3.793e-08 4.16005e-08
48.6 3.24888e-08 3.89937e-08
49.2 2.75946e-08 3.63073e-08
49.8 2.32184e-08 3.35614e-08
50.4 1.93312e-08 3.0777e-08
51 1.59039e-08 2.79759e-08
51.6 1.29078e-08 2.51803e-08
52.2 1.03137e-08 2.24131e-08
52.8 8.09276e-09 1.96976e-08
53.4 6.21596e-09 1.70574e-08
54 4.65434e-09 1.45165e-08
54.6 3.37894e-09 1.20991e-08
55.2 2.36078e-09 9.82966e-09
55.8 1.57089e-09 7.73299e-09
56.4 9.80309e-10 5.83391e-09
57 5.60066e-10 4.15747e-09
57.6 2.81192e-10 2.72884e-09
58.2 1.14717e-10 1.57332e-09
58.8 3.16728e-11 7.16325e-10
59.4 3.09005e-12 1.83355e-10
