Shoulder-peak width
FIT1
$N_{part}$    & Width & staterr & Sys.Err
351.4 &  0.616 &  0.018 & +0.001-0.002\\
299.0 &  0.625 &  0.015 & +0.001-0.004\\
234.6 &  0.622 &  0.010 & +0.007-0.018\\
166.6 &  0.613 &  0.023 & +0.000-0.071\\
114.2 &  0.559 &  0.023 & +0.031-0.079\\
74.4 &  0.630 &  0.040 & +0.012-0.040\\
45.5 &  0.631 &  0.038 & +0.024-0.031\\
14.5 &  0.757 &  0.063 & +0.074-0.044\\

FIT2
$N_{part}$    & Width & staterr & Sys.Err
351.4 &  0.493 &  0.025 & +0.026-0.026\\
299.0 &  0.488 &  0.020 & +0.033-0.033\\
234.6 &  0.542 &  0.021 & +0.062-0.063\\
166.6 &  0.600 &  0.097 & +0.023-0.117\\
114.2 &  0.508 &  0.062 & +0.044-0.062\\
74.4 &  0.558 &  0.008 & +0.064-0.065\\
45.5 &  0.259 &  0.032 & +0.040-0.040\\
14.5 &  0.215 &  0.050 & +0.070-0.062\\

