This is the Yield integrated from the 2D histograms.
The yield is normalized in such way that it corresponds to the single particle
effciency corrected to 0.5 in pesudorapidity. In order to compare with
all other 1D yield plots. These yields need to be multiplied by factor of
0.7/0.5=1.4.

2-3 #otimes 2-3 GeV/c
0-20% Au+Au
Deltaeta  yield  error
-0.665    0.0225549    0.00228153
-0.595    0.0272554    0.00115849
-0.525    0.0255806    0.000866325
-0.455    0.0277134    0.000720162
-0.385    0.0287229    0.000639667
-0.315    0.0291428    0.000628223
-0.245    0.0305075    0.000581533
-0.175    0.0306719    0.000530232
-0.105    0.0322115    0.000491178
-0.035    0.0321771    0.000458706
0.035    0.0319846    0.000458767
0.105    0.0322067    0.000491426
0.175    0.0309003    0.000530871
0.245    0.0305818    0.000583111
0.315    0.0295235    0.000629999
0.385    0.0284792    0.000641605
0.455    0.0276154    0.000722837
0.525    0.0264659    0.000870499
0.595    0.0275833    0.00116396
0.665    0.0236761    0.00230093
p+p
Deltaeta  yield  error
-0.676667    -0.00240944    0.00118651
-0.63    0.00031615    0.000862235
-0.583333    0.00206163    0.000723114
-0.536667    0.00346537    0.000648097
-0.49    0.00396187    0.000573634
-0.443333    0.00540054    0.000555234
-0.396667    0.00558658    0.000509201
-0.35    0.00894867    0.000574224
-0.303333    0.00905531    0.000561697
-0.256667    0.0128208    0.000595695
-0.21    0.0142575    0.000579245
-0.163333    0.0173542    0.000588152
-0.116667    0.0202094    0.0005953
-0.07    0.0227192    0.00059019
-0.0233333    0.0217204    0.000560377
0.0233333    0.0218006    0.00056036
0.07    0.0225457    0.000589577
0.116667    0.0197663    0.000588181
0.163333    0.0170449    0.000582637
0.21    0.0142425    0.000580924
0.256667    0.0132525    0.000606603
0.303333    0.00922636    0.000567811
0.35    0.00886754    0.000570519
0.396667    0.00561474    0.000511089
0.443333    0.0053801    0.000557042
0.49    0.00416455    0.000584275
0.536667    0.0029526    0.000630084
0.583333    0.00229777    0.000741968
0.63    -1.09747e-05    0.000848815
0.676667    -0.000747296    0.00155942
3-4 #otimes 2-3 GeV/c
0-20% Au+Au
Deltaeta  yield  error
-0.665    0.0227661    0.00763209
-0.595    0.0288255    0.00383268
-0.525    0.0321731    0.00286985
-0.455    0.0303017    0.00237483
-0.385    0.0398179    0.00212069
-0.315    0.034662    0.0020691
-0.245    0.0436631    0.00192483
-0.175    0.0493503    0.00176145
-0.105    0.0522628    0.0016329
-0.035    0.055117    0.00152792
0.035    0.0554168    0.00152823
0.105    0.0506488    0.00163237
0.175    0.0478101    0.00176073
0.245    0.0476556    0.00193692
0.315    0.0413729    0.00208702
0.385    0.0443844    0.00213629
0.455    0.0356127    0.0023984
0.525    0.0333283    0.00288851
0.595    0.0314287    0.00385949
0.665    0.019041    0.00771473
p+p
Deltaeta  yield  error
-0.676667    -0.00118758    0.0046657
-0.63    0.00244416    0.00300145
-0.583333    0.00633881    0.00257397
-0.536667    0.00406259    0.0019296
-0.49    0.00581732    0.00188891
-0.443333    0.00681415    0.00174217
-0.396667    0.00688407    0.00152897
-0.35    0.0132467    0.00186686
-0.303333    0.017358    0.00205826
-0.256667    0.0185819    0.00193605
-0.21    0.030354    0.00221818
-0.163333    0.0345221    0.00220035
-0.116667    0.0411505    0.00225868
-0.07    0.0477261    0.0023028
-0.0233333    0.0460729    0.00220035
0.0233333    0.0441946    0.00214521
0.07    0.0436903    0.00219025
0.116667    0.0411816    0.00227859
0.163333    0.0322905    0.00214757
0.21    0.0263695    0.0021118
0.256667    0.0223989    0.00213536
0.303333    0.0189038    0.00209363
0.35    0.0144378    0.00190242
0.396667    0.00615224    0.00151427
0.443333    0.00483153    0.00156496
0.49    0.0057669    0.00183595
0.536667    0.00709313    0.00221645
0.583333    0.00371111    0.00222203
0.63    0.00237393    0.00294532
0.676667    -0.00573515    0
3-4 #otimes 3-5 GeV/c
0-20% Au+Au
Deltaeta  yield  error
-0.665    0.00307031    0.00285046
-0.595    0.00620919    0.00141514
-0.525    0.00530948    0.0010453
-0.455    0.00520048    0.000862325
-0.385    0.00696537    0.00077252
-0.315    0.00641793    0.00075404
-0.245    0.00944608    0.000709736
-0.175    0.0125922    0.000656345
-0.105    0.0146461    0.000611977
-0.035    0.0173112    0.00057812
0.035    0.0172414    0.000577872
0.105    0.0145254    0.00061146
0.175    0.0117292    0.000652778
0.245    0.00979385    0.000713104
0.315    0.00640262    0.000754709
0.385    0.00644852    0.000771831
0.455    0.00492536    0.000862567
0.525    0.00603913    0.00105217
0.595    0.00703302    0.00142042
0.665    0.00322483    0.00287113
p+p
Deltaeta  yield  error
-0.676667    0.011261    0.0170519
-0.63    -0.000796488    0
-0.583333    0.00187339    0.00149075
-0.536667    0.00100724    0.000840858
-0.49    0.000816938    0.000624769
-0.443333    0.00177153    0.000761207
-0.396667    0.00314861    0.000851765
-0.35    0.00267725    0.000752248
-0.303333    0.00399453    0.000881138
-0.256667    0.00553942    0.000967291
-0.21    0.0114214    0.00127972
-0.163333    0.0106412    0.0011522
-0.116667    0.0149343    0.00127011
-0.07    0.016567    0.00128248
-0.0233333    0.0200962    0.00137556
0.0233333    0.0204686    0.00140402
0.07    0.0170706    0.00131952
0.116667    0.0159848    0.00132808
0.163333    0.0126393    0.00122329
0.21    0.00943605    0.001184
0.256667    0.00664264    0.0010591
0.303333    0.00521292    0.00101918
0.35    0.00224141    0.000697299
0.396667    0.00255999    0.000776797
0.443333    0.00241642    0.000888366
0.49    0.00167848    0.000897918
0.536667    0.000374927    0.000615982
0.583333    0.00152045    0.00134635
0.63    -0.000796488    0
0.676667    -0.000796488    0
5-10 #otimes 5-10 GeV/c
0-20% Au+Au
Deltaeta  yield  error
-0.665    0.0416744    0.0367466
-0.595    -0.00157577    0.0028742
-0.525    0.00346786    0.00288577
-0.455    0.00314153    0.00253008
-0.385    0.00187623    0.00210495
-0.315    0.00643643    0.00243947
-0.245    0.0083062    0.00240786
-0.175    0.0120251    0.0023113
-0.105    0.0270031    0.00283247
-0.035    0.0333337    0.00281043
0.035    0.0340159    0.00280726
0.105    0.0245868    0.00263346
0.175    0.011573    0.00235772
0.245    0.00683895    0.00225547
0.315    0.00629718    0.00246466
0.385    9.24573e-05    0.0019744
0.455    0.00397877    0.0024058
0.525    0.00132559    0.00253737
0.595    -0.000353192    0.00328944
0.665    0.00598376    0.0120067
p+p
Deltaeta  yield  error
-0.676667    -7.93428e-05    0
-0.63    0.000221198    0.000392817
-0.583333    0.000744998    0.00101959
-0.536667    0.000985431    0.00106108
-0.49    0.00533039    0.00544718
-0.443333    0.00352715    0.00510035
-0.396667    0.00043587    0.000606937
-0.35    0.00272857    0.00223255
-0.303333    0.0040977    0.00195915
-0.256667    0.00834165    0.00513363
-0.21    0.00608397    0.00253292
-0.163333    0.0118564    0.00377433
-0.116667    0.0219322    0.00836743
-0.07    0.0607602    0.0204336
-0.0233333    0.037015    0.00792353
0.0233333    0.0442765    0.010225
0.07    0.0226974    0.0044734
0.116667    0.0346418    0.00845273
0.163333    0.0185266    0.00597596
0.21    0.00948578    0.00547379
0.256667    0.0044343    0.00214683
0.303333    0.00569649    0.00540871
0.35    0.00515843    0.00524697
0.396667    0.00019808    0.000355812
0.443333    0.000146063    0.00026804
0.49    0.00198151    0.00223185
0.536667    0.00112282    0.00170012
0.583333    -7.93428e-05    0
0.63    -7.93428e-05    0
0.676667    -7.93428e-05    0

This is the end of ROOT -- Goodbye

