This is the Yield integrated from the 2D histograms.

0-20%
2-3 #otimes 2-3 GeV/c
Deltaeta  yield  error
-0.665    0.0225549    0.00228153
-0.595    0.0272554    0.00115849
-0.525    0.0255806    0.000866325
-0.455    0.0277134    0.000720162
-0.385    0.0287229    0.000639667
-0.315    0.0291428    0.000628223
-0.245    0.0305075    0.000581533
-0.175    0.0306719    0.000530232
-0.105    0.0322115    0.000491178
-0.035    0.0321771    0.000458706
0.035    0.0319846    0.000458767
0.105    0.0322067    0.000491426
0.175    0.0309003    0.000530871
0.245    0.0305818    0.000583111
0.315    0.0295235    0.000629999
0.385    0.0284792    0.000641605
0.455    0.0276154    0.000722837
0.525    0.0264659    0.000870499
0.595    0.0275833    0.00116396
0.665    0.0236761    0.00230093
Deltaphi  yield  error
-1.52171    0.00974011    0.00114236
-1.42354    0.00647442    0.00109682
-1.32536    0.0045451    0.00102937
-1.22719    0.00143593    0.000942887
-1.12901    -0.000632556    0.000865444
-1.03084    -6.71117e-05    0.000804278
-0.932663    -4.51877e-05    0.000754379
-0.834488    0.000916492    0.000709121
-0.736313    0.00566047    0.000678777
-0.638138    0.00927883    0.000645188
-0.539963    0.0160443    0.000617006
-0.441788    0.0231422    0.000588832
-0.343613    0.0312472    0.000564032
-0.245438    0.0382906    0.00053942
-0.147263    0.0415434    0.000529542
-0.0490875    0.0451876    0.000517926
0.0490875    0.0453551    0.000518083
0.147262    0.0415729    0.00052879
0.245437    0.0383189    0.000537232
0.343612    0.0312081    0.000558874
0.441787    0.0231468    0.000577922
0.539962    0.0162727    0.000599128
0.638137    0.00976894    0.000620367
0.736312    0.00499389    0.000646154
0.834487    0.00139752    0.000672356
0.932662    -0.000145894    0.000715497
1.03084    -0.000402373    0.000763088
1.12901    0.000214187    0.000832944
1.22719    0.00118452    0.000916714
1.32536    0.00456838    0.00101943
1.42354    0.00694559    0.00109997
1.52171    0.0110365    0.0011592
1.61989    0.0102244    0.0011221
1.71806    0.0131317    0.00105651
1.81624    0.0144163    0.000985205
1.91441    0.0160748    0.000911347
2.01259    0.0149811    0.000856892
2.11076    0.0146599    0.000800249
2.20894    0.0147165    0.000750498
2.30711    0.0123176    0.000707676
2.40529    0.0124078    0.000668302
2.50346    0.010699    0.000638777
2.60164    0.00938777    0.000612955
2.69981    0.00855618    0.000594141
2.79799    0.00648796    0.000583287
2.89616    0.00615627    0.000576017
2.99434    0.0057469    0.000574353
3.09251    0.00493635    0.000573021
3.19069    0.00450569    0.000572524
3.28886    0.00654061    0.000574641
3.38704    0.00629876    0.000575071
3.48521    0.00623895    0.000580415
3.58339    0.00850164    0.000590065
3.68156    0.00895512    0.000607508
3.77974    0.0105754    0.000631636
3.87791    0.0132712    0.000662274
3.97609    0.0121703    0.000697733
4.07426    0.014443    0.000738864
4.17244    0.0150361    0.000785749
4.27061    0.0149383    0.000839292
4.36879    0.0157912    0.000891322
4.46696    0.0144169    0.000967844
4.56514    0.0139742    0.00103693
4.66331    0.00953804    0.00110412
3-4 #otimes 2-3 GeV/c
Deltaeta  yield  error
-0.665    0.0227661    0.00763209
-0.595    0.0288255    0.00383268
-0.525    0.0321731    0.00286985
-0.455    0.0303017    0.00237483
-0.385    0.0398179    0.00212069
-0.315    0.034662    0.0020691
-0.245    0.0436631    0.00192483
-0.175    0.0493503    0.00176145
-0.105    0.0522628    0.0016329
-0.035    0.055117    0.00152792
0.035    0.0554168    0.00152823
0.105    0.0506488    0.00163237
0.175    0.0478101    0.00176073
0.245    0.0476556    0.00193692
0.315    0.0413729    0.00208702
0.385    0.0443844    0.00213629
0.455    0.0356127    0.0023984
0.525    0.0333283    0.00288851
0.595    0.0314287    0.00385949
0.665    0.019041    0.00771473
Deltaphi  yield  error
-1.52171    0.0101038    0.00352587
-1.42354    0.00652504    0.00337972
-1.32536    0.00359931    0.00313033
-1.22719    0.00242262    0.00287124
-1.12901    -0.0012268    0.00265214
-1.03084    0.00170094    0.0024556
-0.932663    -0.000568392    0.0022945
-0.834488    0.000321751    0.00217087
-0.736313    0.00687714    0.00207766
-0.638138    0.00976925    0.00197411
-0.539963    0.0171376    0.00189287
-0.441788    0.0277016    0.0018079
-0.343613    0.0401344    0.00173859
-0.245438    0.052315    0.00166816
-0.147263    0.0653615    0.00164122
-0.0490875    0.0720261    0.00160758
0.0490875    0.0655265    0.00159936
0.147262    0.061627    0.0016372
0.245437    0.054981    0.0016662
0.343612    0.0411799    0.0017268
0.441787    0.0299293    0.00178026
0.539962    0.0172894    0.00184417
0.638137    0.0123217    0.00190706
0.736312    0.00353037    0.00197345
0.834487    0.00398873    0.00206868
0.932662    -0.00308336    0.00217926
1.03084    -0.00108393    0.00233757
1.12901    -0.000527862    0.00256132
1.22719    0.0044608    0.00281839
1.32536    0.00175515    0.00311745
1.42354    0.0087085    0.0034213
1.52171    0.0130346    0.00360468
1.61989    0.00800017    0.00351205
1.71806    0.0144514    0.00327621
1.81624    0.0101723    0.0030001
1.91441    0.0157403    0.00280719
2.01259    0.00975314    0.00262386
2.11076    0.0175099    0.0024696
2.20894    0.0153597    0.00230877
2.30711    0.012293    0.00216795
2.40529    0.0147449    0.00206031
2.50346    0.00924109    0.00196016
2.60164    0.0103328    0.00187944
2.69981    0.00596267    0.00182162
2.79799    0.00607335    0.00178722
2.89616    0.00653853    0.00177204
2.99434    0.00433986    0.00176131
3.09251    0.000459264    0.00174913
3.19069    0.00504246    0.00175461
3.28886    0.0031789    0.00175492
3.38704    0.00274092    0.0017541
3.48521    0.00199794    0.00176651
3.58339    0.00541797    0.00180027
3.68156    0.0091107    0.00185486
3.77974    0.0099682    0.0019306
3.87791    0.0134443    0.00202958
3.97609    0.0123167    0.00213282
4.07426    0.014523    0.00225972
4.17244    0.0144639    0.00239326
4.27061    0.0139725    0.00255721
4.36879    0.016268    0.00273516
4.46696    0.0141321    0.00293894
4.56514    0.0109794    0.0031726
4.66331    0.0101319    0.00342271
3-4 #otimes 3-5 GeV/c
Deltaeta  yield  error
-0.665    0.00307031    0.00285046
-0.595    0.00620919    0.00141514
-0.525    0.00530948    0.0010453
-0.455    0.00520048    0.000862325
-0.385    0.00696537    0.00077252
-0.315    0.00641793    0.00075404
-0.245    0.00944608    0.000709736
-0.175    0.0125922    0.000656345
-0.105    0.0146461    0.000611977
-0.035    0.0173112    0.00057812
0.035    0.0172414    0.000577872
0.105    0.0145254    0.00061146
0.175    0.0117292    0.000652778
0.245    0.00979385    0.000713104
0.315    0.00640262    0.000754709
0.385    0.00644852    0.000771831
0.455    0.00492536    0.000862567
0.525    0.00603913    0.00105217
0.595    0.00703302    0.00142042
0.665    0.00322483    0.00287113
Deltaphi  yield  error
-1.52171    0.00125951    0.00123063
-1.42354    0.00115911    0.00116878
-1.32536    -0.000820234    0.0010354
-1.22719    0.000364768    0.000951666
-1.12901    0.000180465    0.000883481
-1.03084    -0.000877564    0.00081851
-0.932663    -0.000908069    0.000757421
-0.834488    -0.000195407    0.000718116
-0.736313    0.000300618    0.000696339
-0.638138    0.00208121    0.000679075
-0.539963    0.00427438    0.000657434
-0.441788    0.00358971    0.000619364
-0.343613    0.00770271    0.000610767
-0.245438    0.0109936    0.000594079
-0.147263    0.0152919    0.000583816
-0.0490875    0.0183043    0.000567894
0.0490875    0.0186847    0.000568991
0.147262    0.015145    0.000584105
0.245437    0.0112235    0.000593588
0.343612    0.00751525    0.000608858
0.441787    0.0040186    0.000623053
0.539962    0.0038649    0.000654723
0.638137    0.00175349    0.000678613
0.736312    0.000593228    0.000697685
0.834487    0.0007256    0.000725654
0.932662    -0.000284186    0.000762161
1.03084    -0.00102291    0.000816764
1.12901    -1.65432e-06    0.000884314
1.22719    0.000205421    0.000953642
1.32536    0.000331272    0.00104773
1.42354    0.00054206    0.00116213
1.52171    0.00216415    0.0012452
1.61989    0.00192364    0.00119906
1.71806    0.0028368    0.00110512
1.81624    0.00159491    0.000989686
1.91441    0.00234148    0.000927228
2.01259    0.00229579    0.00088153
2.11076    0.00209927    0.000831365
2.20894    -0.000838416    0.000761328
2.30711    0.00213923    0.000738209
2.40529    0.000889317    0.000702363
2.50346    0.00217772    0.000684472
2.60164    0.00156202    0.000649755
2.69981    0.00122052    0.000625865
2.79799    0.00117227    0.000617814
2.89616    0.0011721    0.000617175
2.99434    0.00129704    0.000611754
3.09251    0.00104953    0.000599962
3.19069    0.00118753    0.000601384
3.28886    0.000622998    0.000607106
3.38704    0.00107551    0.000615333
3.48521    0.00103874    0.00061721
3.58339    0.00136479    0.00062492
3.68156    0.00141629    0.000647867
3.77974    0.0013793    0.000678689
3.87791    -6.65493e-05    0.000695647
3.97609    0.00154468    0.000733767
4.07426    0.00015888    0.000768166
4.17244    0.00236927    0.000836769
4.27061    0.00252249    0.000879927
4.36879    0.00263448    0.000925836
4.46696    0.00150755    0.00098571
4.56514    0.00249831    0.00109341
4.66331    0.0010142    0.00118496
5-10 #otimes 5-10 GeV/c
Deltaeta  yield  error
-0.665    0.0416744    0.0367466
-0.595    -0.00157577    0.0028742
-0.525    0.00346786    0.00288577
-0.455    0.00314153    0.00253008
-0.385    0.00187623    0.00210495
-0.315    0.00643643    0.00243947
-0.245    0.0083062    0.00240786
-0.175    0.0120251    0.0023113
-0.105    0.0270031    0.00283247
-0.035    0.0333337    0.00281043
0.035    0.0340159    0.00280726
0.105    0.0245868    0.00263346
0.175    0.011573    0.00235772
0.245    0.00683895    0.00225547
0.315    0.00629718    0.00246466
0.385    9.24573e-05    0.0019744
0.455    0.00397877    0.0024058
0.525    0.00132559    0.00253737
0.595    -0.000353192    0.00328944
0.665    0.00598376    0.0120067
Deltaphi  yield  error
-1.52171    -0.00551025    0.00118093
-1.42354    -0.000918467    0.00209418
-1.32536    0.00615157    0.0030688
-1.22719    0.00264369    0.0025179
-1.12901    0.00126852    0.00210969
-1.03084    0.000645101    0.00191066
-0.932663    0.000430147    0.00183087
-0.834488    -0.00264096    0.00119911
-0.736313    0.004188    0.00216599
-0.638138    0.000933832    0.00145562
-0.539963    0.00669568    0.00186057
-0.441788    0.0026436    0.00154069
-0.343613    0.000983651    0.00132255
-0.245438    0.0049152    0.00152488
-0.147263    0.0168424    0.00195273
-0.0490875    0.0303738    0.00240641
0.0490875    0.0308355    0.00232203
0.147262    0.0162456    0.00184615
0.245437    0.00635431    0.00158647
0.343612    0.0028801    0.00140974
0.441787    0.00284416    0.0016157
0.539962    0.00431443    0.00176534
0.638137    0.00112724    0.00160715
0.736312    0.000555699    0.00157388
0.834487    -0.00090959    0.00133777
0.932662    0.003505    0.00203238
1.03084    0.00112737    0.00216812
1.12901    0.00291093    0.00223941
1.22719    0.000706533    0.00212118
1.32536    0.00181392    0.00256507
1.42354    0.00210167    0.00297882
1.52171    -0.003609    0.00188135
1.61989    -0.00172405    0.0023864
1.71806    -0.000726065    0.00219527
1.81624    0.00584553    0.00288676
1.91441    0.00641825    0.00309196
2.01259    0.00115327    0.00194336
2.11076    0.00280412    0.00221531
2.20894    0.00177766    0.00191644
2.30711    0.00245337    0.00191045
2.40529    0.00122099    0.001552
2.50346    0.00339864    0.00179015
2.60164    0.000812874    0.00156585
2.69981    0.00089116    0.00139071
2.79799    0.00521878    0.00173294
2.89616    0.0017088    0.00149921
2.99434    0.00373652    0.00175786
3.09251    0.00699701    0.00188497
3.19069    0.007979    0.00202191
3.28886    0.00531983    0.00176124
3.38704    0.00234465    0.00147427
3.48521    0.00382415    0.00166127
3.58339    0.000325127    0.00130475
3.68156    -0.00106742    0.00119751
3.77974    0.00372872    0.00185731
3.87791    0.00117311    0.00166979
3.97609    0.00147685    0.0018563
4.07426    0.00402521    0.00205461
4.17244    0.00342061    0.0020245
4.27061    -0.00234258    0.00148792
4.36879    0.00740407    0.00275911
4.46696    0.00499952    0.00273987
4.56514    0.000545338    0.00244992
4.66331    -0.00152502    0.00215664

This is the end of ROOT -- Goodbye

