2.0<p_{T}^{A}<3.0 GeV/c
nearside
Npart      trun<pt>        stat      syslow      syshigh
351.40    5.54e-01    7.65e-03    1.94e-02     8.53e-03
299.00    5.38e-01    6.52e-03    2.21e-02     1.52e-02
234.60    5.30e-01    4.12e-03    1.22e-02     2.46e-02
166.60    5.32e-01    4.23e-03    1.47e-02     2.77e-02
114.20    5.29e-01    4.88e-03    1.99e-02     2.84e-02
74.40    5.50e-01    6.01e-03    2.39e-02     2.79e-02
45.50    5.89e-01    7.34e-03    2.47e-02     2.11e-02
25.70    5.88e-01    8.83e-03    1.94e-02     1.99e-02
9.50    6.01e-01    9.01e-03    2.18e-02     1.10e-02
2.00    6.09e-01    5.31e-03    1.21e-02     0.00e+00

awayShoulder
Npart      trun<pt>        stat      syslow      syshigh
351.40    4.45e-01    1.10e-02    9.62e-03     5.50e-04
299.00    4.54e-01    9.15e-03    1.08e-02     1.46e-03
234.60    4.40e-01    6.24e-03    4.27e-03     2.04e-02
166.60    4.50e-01    6.79e-03    4.53e-03     1.77e-02
114.20    4.41e-01    8.49e-03    6.50e-03     1.83e-03
74.40    4.57e-01    1.21e-02    1.09e-02     5.10e-03
45.50    5.03e-01    1.66e-02    1.28e-02     0.00e+00
25.70    4.87e-01    2.24e-02    1.42e-02     0.00e+00
9.50    4.92e-01    2.46e-02    2.32e-02     2.60e-03
2.00    5.43e-01    1.42e-02    2.27e-02     0.00e+00

awayHead
Npart      trun<pt>        stat      syslow      syshigh
351.40    3.89e-01    1.72e-02    1.70e-02     6.44e-03
299.00    3.80e-01    1.37e-02    2.54e-02     1.36e-02
234.60    3.89e-01    8.41e-03    3.13e-02     4.16e-02
166.60    4.08e-01    8.28e-03    4.21e-02     3.23e-02
114.20    4.27e-01    9.32e-03    1.92e-02     5.14e-03
74.40    4.91e-01    1.16e-02    2.09e-02     3.85e-02
45.50    5.40e-01    1.27e-02    2.69e-02     3.20e-02
25.70    5.58e-01    1.35e-02    2.25e-02     2.96e-02
9.50    5.81e-01    1.32e-02    2.30e-02     1.56e-02
2.00    6.03e-01    7.51e-03    1.19e-02     2.28e-05

3.0<p_{T}^{A}<4.0 GeV/c
nearside
Npart      trun<pt>        stat      syslow      syshigh
351.40    6.30e-01    1.98e-02    6.95e-03     7.09e-03
299.00    5.98e-01    1.65e-02    1.66e-02     2.05e-02
234.60    5.90e-01    1.06e-02    1.89e-02     3.78e-02
166.60    6.00e-01    1.07e-02    2.24e-02     3.43e-02
114.20    6.23e-01    1.12e-02    3.12e-02     3.64e-02
74.40    6.46e-01    1.37e-02    2.46e-02     3.42e-02
45.50    6.41e-01    1.46e-02    1.64e-02     1.91e-02
25.70    6.75e-01    1.76e-02    1.62e-02     1.61e-02
9.50    7.26e-01    1.86e-02    4.40e-02     1.03e-02
2.00    7.15e-01    1.18e-02    2.02e-03     0.00e+00

awayShoulder
Npart      trun<pt>        stat      syslow      syshigh
351.40    4.47e-01    3.07e-02    2.15e-02     1.76e-02
299.00    4.46e-01    2.62e-02    1.81e-02     6.75e-03
234.60    4.20e-01    1.78e-02    1.35e-02     2.78e-02
166.60    4.40e-01    1.90e-02    1.39e-02     9.45e-03
114.20    4.76e-01    2.17e-02    1.37e-02     6.78e-03
74.40    4.58e-01    2.95e-02    2.12e-02     1.42e-02
45.50    4.36e-01    3.30e-02    2.66e-02     1.10e-02
25.70    4.48e-01    4.25e-02    3.36e-02     1.31e-02
9.50    5.42e-01    5.44e-02    4.57e-02     1.64e-03
2.00    5.95e-01    2.97e-02    7.42e-03     1.68e-03

awayHead
Npart      trun<pt>        stat      syslow      syshigh
351.40    3.50e-01    5.38e-02    6.09e-02     4.40e-02
299.00    3.90e-01    4.00e-02    3.90e-02     2.12e-02
234.60    3.62e-01    2.66e-02    3.52e-02     5.61e-02
166.60    4.18e-01    2.20e-02    3.96e-02     1.88e-02
114.20    4.97e-01    2.26e-02    1.75e-02     3.06e-02
74.40    5.31e-01    2.49e-02    2.13e-02     3.56e-02
45.50    5.40e-01    2.36e-02    1.67e-02     1.82e-02
25.70    5.83e-01    2.43e-02    1.39e-02     1.51e-02
9.50    6.47e-01    2.37e-02    3.31e-02     1.06e-02
2.00    6.89e-01    1.57e-02    1.16e-03     1.10e-04

4.0<p_{T}^{A}<5.0 GeV/c
nearside
Npart      trun<pt>        stat      syslow      syshigh
351.40    7.58e-01    6.03e-02    1.32e-02     1.80e-02
299.00    6.50e-01    3.89e-02    1.71e-02     2.02e-02
234.60    6.98e-01    2.76e-02    4.29e-02     2.22e-02
166.60    7.04e-01    2.59e-02    5.48e-02     2.39e-02
114.20    7.02e-01    2.57e-02    2.88e-02     3.91e-02
74.40    7.18e-01    2.59e-02    2.77e-02     3.64e-02
45.50    7.19e-01    2.77e-02    1.48e-02     1.82e-02
25.70    7.95e-01    3.44e-02    2.20e-02     1.44e-02
9.50    8.28e-01    3.64e-02    1.39e-02     1.75e-02
2.00    7.78e-01    2.24e-02    1.29e-03     1.35e-03

awayShoulder
Npart      trun<pt>        stat      syslow      syshigh
351.40    5.34e-01    1.40e-01    8.88e-02     4.52e-02
299.00    4.47e-01    6.98e-02    5.47e-02     3.89e-02
234.60    4.34e-01    5.78e-02    4.74e-02     7.49e-03
166.60    4.51e-01    4.56e-02    3.42e-02     1.80e-03
114.20    5.02e-01    5.76e-02    3.56e-02     2.69e-02
74.40    4.68e-01    5.51e-02    4.07e-02     3.27e-02
45.50    4.85e-01    7.25e-02    5.46e-02     3.96e-02
25.70    5.56e-01    9.06e-02    4.68e-02     1.70e-02
9.50    6.29e-01    1.09e-01    4.83e-02     4.14e-02
2.00    6.72e-01    5.70e-02    6.06e-03     5.60e-03

awayHead
Npart      trun<pt>        stat      syslow      syshigh
351.40    4.98e-01    1.56e-01    1.55e-01     6.23e-02
299.00    3.83e-01    8.08e-02    8.82e-02     5.78e-02
234.60    4.41e-01    6.23e-02    5.42e-02     5.58e-03
166.60    5.15e-01    5.52e-02    3.41e-02     1.24e-02
114.20    6.10e-01    4.79e-02    3.59e-02     6.35e-02
74.40    6.04e-01    4.35e-02    3.15e-02     4.67e-02
45.50    5.98e-01    4.24e-02    2.04e-02     2.24e-02
25.70    6.93e-01    4.90e-02    1.79e-02     1.58e-02
9.50    7.01e-01    4.33e-02    1.28e-02     1.66e-02
2.00    7.77e-01    2.97e-02    1.03e-03     1.11e-03
