//near width cent dependence
$N{part}$ & Width & Stat.Err. &Sys. Err.\\\hline
\multicolumn{4}{c}{$2-3 x 0.4-1$ GeV/c}\\\hline
351.4& 0.367 & 0.012 &+0.032-0.043\\
299.0& 0.415 & 0.007 &+0.033-0.044\\
234.6& 0.424 & 0.002 &+0.024-0.027\\
166.6& 0.431 & 0.002 &+0.048-0.041\\
114.2& 0.438 & 0.002 &+0.048-0.041\\
74.4& 0.438 & 0.003 &+0.057-0.043\\
45.5& 0.436 & 0.004 &+0.055-0.030\\
14.5& 0.435 & 0.003 &+0.059-0.022\\
2.0& 0.472 & 0.006 &+0.000-0.000\\\hline

\multicolumn{4}{c}{$2-3 x 2-3$ GeV/c}\\\hline
351.4& 0.415 & 0.005 &+0.054-0.047\\
299.0& 0.409 & 0.005 &+0.035-0.017\\
234.6& 0.410 & 0.003 &+0.042-0.019\\
166.6& 0.406 & 0.008 &+0.006-0.028\\
114.2& 0.360 & 0.008 &+0.013-0.023\\
74.4& 0.352 & 0.008 &+0.014-0.033\\
45.5& 0.307 & 0.005 &+0.015-0.037\\
14.5& 0.289 & 0.004 &+0.006-0.009\\
2.0& 0.281 & 0.003 &+0.000-0.000\\\hline

\multicolumn{4}{c}{$3-4 x 3-4$ GeV/c}\\\hline
351.4& 0.318 & 0.019 &+0.023-0.032\\
299.0& 0.287 & 0.021 &+0.021-0.037\\
234.6& 0.271 & 0.010 &+0.008-0.013\\
166.6& 0.260 & 0.010 &+0.012-0.012\\
114.2& 0.225 & 0.008 &+0.015-0.030\\
74.4& 0.228 & 0.008 &+0.009-0.011\\
45.5& 0.201 & 0.008 &+0.005-0.026\\
14.5& 0.211 & 0.006 &+0.004-0.014\\
2.0& 0.199 & 0.007 &+0.000-0.000\\\hline

\multicolumn{4}{c}{$4-5 x 4-5$ GeV/c}\\\hline
351.4& 0.202 & 0.020 &+0.017-0.000\\
299.0& 0.191 & 0.018 &+0.009-0.019\\
234.6& 0.168 & 0.013 &+0.021-0.029\\
166.6& 0.167 & 0.010 &+0.008-0.019\\
114.2& 0.142 & 0.008 &+0.004-0.001\\
74.4& 0.143 & 0.009 &+0.005-0.010\\
45.5& 0.143 & 0.011 &+0.005-0.016\\
14.5& 0.161 & 0.010 &+0.001-0.003\\
2.0& 0.148 & 0.011 &+0.000-0.000\\\hline
\multicolumn{4}{c}{$5-10 x 5-10$ GeV/c}\\\hline
351.4& 0.162 & 0.017 &+0.014-0.034\\
299.0& 0.135 & 0.017 &+0.001-0.023\\
234.6& 0.133 & 0.011 &+0.008-0.031\\
166.6& 0.136 & 0.009 &+0.007-0.009\\
114.2& 0.131 & 0.008 &+0.002-0.005\\
74.4& 0.113 & 0.015 &+0.002-0.008\\
45.5& 0.146 & 0.016 &+0.001-0.004\\
14.5& 0.137 & 0.015 &+0.002-0.007\\
2.0& 0.130 & 0.004 &+0.000-0.000\\
