20 - 40 %
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0221     0.00179      0.0116     -0.0103
    -1.13     0.00599     0.0017      0.00234     -0.0015
    -0.83     0.0305     0.00146      -0.0143     0.0142
    -0.54     0.0993     0.00126      -0.0336     0.0322
    -0.29     0.179     0.00147      -0.0467     0.0443
    -0.15     0.211     0.00207      -0.0514     0.0487
    -0.05     0.225     0.00206      -0.0528     0.05
    0.05     0.223     0.00204      -0.0528     0.05
    0.15     0.215     0.00204      -0.0514     0.0487
    0.29     0.18     0.00144      -0.0467     0.0443
    0.54     0.0976     0.00123      -0.0336     0.0322
    0.83     0.0257     0.00142      -0.0143     0.0142
    1.13     0.000457     0.00164      0.00234     -0.0015
    1.42     0.0238     0.00176      0.0116     -0.0103
    1.77     0.0722     0.0016      0.0107     -0.00943
    2.16     0.115     0.00135      -0.00526     0.0057
    2.45     0.116     0.00172      -0.024     0.0233
    2.65     0.117     0.00164      -0.0366     0.035
    2.85     0.108     0.00157      -0.0467     0.0443
    3.04     0.102     0.00151      -0.0523     0.0495
    3.24     0.1     0.0015      -0.0523     0.0495
    3.44     0.107     0.00154      -0.0467     0.0443
    3.63     0.112     0.00161      -0.0366     0.035
    3.83     0.117     0.00168      -0.024     0.0233
    4.12     0.112     0.00131      -0.00526     0.0057
    4.52     0.0713     0.00155      0.0107     -0.00943
2-3 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0141     0.00104      0.00513     -0.00496
    -1.13     0.00296     0.000868      0.00107     -0.00103
    -0.83     0.0151     0.000723      -0.00687     0.0065
    -0.54     0.0587     0.000627      -0.0169     0.0159
    -0.29     0.0995     0.000699      -0.0242     0.0225
    -0.15     0.125     0.000949      -0.0268     0.0249
    -0.05     0.129     0.000944      -0.0277     0.0257
    0.05     0.129     0.000945      -0.0277     0.0257
    0.15     0.127     0.000947      -0.0268     0.0249
    0.29     0.0993     0.00069      -0.0242     0.0225
    0.54     0.0577     0.00061      -0.0169     0.0159
    0.83     0.0143     0.000687      -0.00687     0.0065
    1.13     0.00185     0.000831      0.00107     -0.00103
    1.42     0.0152     0.00103      0.00513     -0.00496
