pp
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     0.00207     0.001
    -1.13     0.00207     0.000982
    -0.83     0.0133     0.000888
    -0.54     0.0467     0.000812
    -0.29     0.0774     0.00102
    -0.15     0.0862     0.0015
    -0.05     0.0894     0.00152
    0.05     0.0893     0.00152
    0.15     0.0906     0.00151
    0.29     0.0821     0.00103
    0.54     0.0469     0.000815
    0.83     0.0143     0.000891
    1.13     0.00386     0.000984
    1.42     0.00124     0.000995
    1.77     0.00875     0.000926
    2.16     0.0264     0.000842
    2.45     0.0411     0.00112
    2.65     0.0526     0.00111
    2.85     0.0586     0.00107
    3.04     0.0636     0.00105
    3.24     0.0642     0.00105
    3.44     0.0613     0.00107
    3.63     0.0524     0.00109
    3.83     0.0428     0.00111
    4.12     0.0277     0.000834
    4.52     0.00954     0.000925
2-3 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     0.000828     0.000501
    -1.13     -0.000424     0.000415
    -0.83     0.00408     0.00038
    -0.54     0.0207     0.000401
    -0.29     0.0487     0.000537
    -0.15     0.0604     0.000765
    -0.05     0.0621     0.000763
    0.05     0.0619     0.000765
    0.15     0.0605     0.000769
    0.29     0.0479     0.000531
    0.54     0.0204     0.000402
    0.83     0.00496     0.000386
    1.13     -0.000378     0.000414
    1.42     0.000708     0.0005
    1.77     0.0047     0.00044
    2.16     0.0114     0.000386
    2.45     0.0186     0.000513
    2.65     0.0229     0.000499
    2.85     0.0277     0.0005
    3.04     0.0312     0.000507
    3.24     0.0299     0.000502
    3.44     0.0271     0.000495
    3.63     0.0234     0.000501
    3.83     0.0182     0.000509
    4.12     0.0116     0.000385
    4.52     0.00486     0.00044
2-3 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     2.21e-05     0.000142
    -1.13     -1.39e-05     0.000114
    -0.83     0.000619     0.000109
    -0.54     0.00265     0.000123
    -0.29     0.00953     0.000198
    -0.15     0.0142     0.000307
    -0.05     0.0159     0.000311
    0.05     0.0159     0.000311
    0.15     0.0141     0.000307
    0.29     0.0095     0.000197
    0.54     0.00267     0.000124
    0.83     0.000636     0.000109
    1.13     -6.23e-05     0.000113
    1.42     -4.93e-05     0.00014
    1.77     0.000583     0.000126
    2.16     0.00198     0.000121
    2.45     0.00323     0.000165
    2.65     0.00415     0.000165
    2.85     0.00513     0.00017
    3.04     0.00593     0.000176
    3.24     0.00584     0.000176
    3.44     0.00514     0.00017
    3.63     0.0043     0.000166
    3.83     0.00325     0.000165
    4.12     0.00202     0.000121
    4.52     0.000659     0.000127
2-3 #otimes 3-4 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -2.35e-05     5.08e-05
    -1.13     -5.95e-05     3.83e-05
    -0.83     9.78e-05     4.01e-05
    -0.54     0.000524     4.96e-05
    -0.29     0.00198     8.52e-05
    -0.15     0.00347     0.000143
    -0.05     0.00407     0.000148
    0.05     0.00417     0.000151
    0.15     0.00347     0.000143
    0.29     0.00196     8.52e-05
    0.54     0.000486     4.83e-05
    0.83     0.00017     4.28e-05
    1.13     5.06e-06     4.18e-05
    1.42     -1.39e-05     5.07e-05
    1.77     0.000189     5.1e-05
    2.16     0.000374     4.72e-05
    2.45     0.000647     6.7e-05
    2.65     0.00101     7.22e-05
    2.85     0.00121     7.48e-05
    3.04     0.00155     8.11e-05
    3.24     0.00147     7.92e-05
    3.44     0.00123     7.55e-05
    3.63     0.000964     7.09e-05
    3.83     0.000655     6.68e-05
    4.12     0.000352     4.65e-05
    4.52     0.000171     5.03e-05
2-3 #otimes 4-5 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     4.18e-06     2.2e-05
    -1.13     -1.58e-05     1.5e-05
    -0.83     2.52e-05     1.72e-05
    -0.54     6.81e-05     1.86e-05
    -0.29     0.000533     4.15e-05
    -0.15     0.00104     7.5e-05
    -0.05     0.0013     8e-05
    0.05     0.00109     7.25e-05
    0.15     0.00092     7.02e-05
    0.29     0.000494     4.06e-05
    0.54     0.000112     2.15e-05
    0.83     2.06e-05     1.67e-05
    1.13     -1.16e-05     1.56e-05
    1.42     2.05e-06     2.14e-05
    1.77     2.19e-05     1.96e-05
    2.16     0.000101     2.14e-05
    2.45     0.000192     3.25e-05
    2.65     0.000253     3.37e-05
    2.85     0.000433     4.06e-05
    3.04     0.000446     4.05e-05
    3.24     0.00049     4.23e-05
    3.44     0.000423     4.03e-05
    3.63     0.000241     3.32e-05
    3.83     0.000104     2.67e-05
    4.12     8.45e-05     2.06e-05
    4.52     2.65e-05     2.06e-05
2-3 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     6.72e-06     1.96e-05
    -1.13     -2.16e-07     1.43e-05
    -0.83     2.22e-05     1.48e-05
    -0.54     7.22e-05     1.76e-05
    -0.29     0.000251     2.95e-05
    -0.15     0.000617     5.72e-05
    -0.05     0.000819     6.32e-05
    0.05     0.00073     5.96e-05
    0.15     0.000667     5.93e-05
    0.29     0.000228     2.77e-05
    0.54     7.16e-05     1.73e-05
    0.83     2.57e-05     1.52e-05
    1.13     -5.1e-06     1.35e-05
    1.42     8.83e-06     1.92e-05
    1.77     7.72e-06     1.54e-05
    2.16     3.32e-05     1.48e-05
    2.45     0.000106     2.51e-05
    2.65     0.000169     2.74e-05
    2.85     0.000254     3.13e-05
    3.04     0.000395     3.71e-05
    3.24     0.000339     3.49e-05
    3.44     0.000244     3.12e-05
    3.63     0.000162     2.73e-05
    3.83     7.33e-05     2.22e-05
    4.12     1.96e-05     1.38e-05
    4.52     2.27e-05     1.76e-05
3-4 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -0.00219     0.00282
    -1.13     0.00472     0.00283
    -0.83     0.0169     0.00256
    -0.54     0.0504     0.00232
    -0.29     0.107     0.00306
    -0.15     0.106     0.00443
    -0.05     0.115     0.00455
    0.05     0.116     0.00455
    0.15     0.118     0.00453
    0.29     0.108     0.00308
    0.54     0.05     0.00233
    0.83     0.0171     0.00257
    1.13     0.00221     0.00281
    1.42     0.00228     0.00285
    1.77     0.00931     0.00266
    2.16     0.0407     0.00249
    2.45     0.0583     0.00334
    2.65     0.0728     0.00329
    2.85     0.0908     0.00324
    3.04     0.0931     0.00316
    3.24     0.0968     0.00318
    3.44     0.0888     0.0032
    3.63     0.074     0.00324
    3.83     0.0652     0.00334
    4.12     0.0336     0.00241
    4.52     0.0145     0.00268
3-4 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -0.000979     0.00139
    -1.13     0.000435     0.0012
    -0.83     0.00439     0.00109
    -0.54     0.0236     0.00117
    -0.29     0.0721     0.00172
    -0.15     0.098     0.00254
    -0.05     0.103     0.00258
    0.05     0.11     0.00266
    0.15     0.102     0.00259
    0.29     0.0717     0.0017
    0.54     0.025     0.00119
    0.83     0.00666     0.00113
    1.13     -1.72e-05     0.00118
    1.42     -0.000911     0.0014
    1.77     0.00509     0.00127
    2.16     0.0189     0.00119
    2.45     0.0258     0.00155
    2.65     0.0366     0.00158
    2.85     0.0455     0.00161
    3.04     0.0515     0.00164
    3.24     0.0529     0.00166
    3.44     0.0471     0.00161
    3.63     0.0409     0.00162
    3.83     0.0304     0.0016
    4.12     0.016     0.00115
    4.52     0.00641     0.00128
3-4 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     0.000169     0.000439
    -1.13     -2.36e-05     0.000342
    -0.83     0.0013     0.00035
    -0.54     0.00397     0.000399
    -0.29     0.0161     0.000702
    -0.15     0.0295     0.0012
    -0.05     0.0352     0.00126
    0.05     0.0344     0.00124
    0.15     0.0302     0.00122
    0.29     0.0167     0.000714
    0.54     0.0041     0.000404
    0.83     0.000804     0.000332
    1.13     -0.000434     0.000319
    1.42     -0.000245     0.00041
    1.77     0.00117     0.000404
    2.16     0.00312     0.000394
    2.45     0.00544     0.000557
    2.65     0.00798     0.000589
    2.85     0.0102     0.000625
    3.04     0.012     0.000653
    3.24     0.0125     0.000665
    3.44     0.0105     0.000632
    3.63     0.0086     0.000604
    3.83     0.00484     0.000534
    4.12     0.00287     0.000382
    4.52     0.00135     0.000411
3-4 #otimes 3-4 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -2.77e-05     0.00014
    -1.13     -8.7e-05     0.000103
    -0.83     0.000296     0.000134
    -0.54     0.000933     0.000168
    -0.29     0.00372     0.000322
    -0.15     0.00836     0.000617
    -0.05     0.0126     0.000725
    0.05     0.0124     0.000718
    0.15     0.00887     0.000634
    0.29     0.0036     0.000313
    0.54     0.000942     0.000168
    0.83     0.000272     0.000131
    1.13     -8.82e-05     0.000103
    1.42     8.39e-05     0.00016
    1.77     0.000315     0.000159
    2.16     0.0008     0.000165
    2.45     0.00146     0.000252
    2.65     0.00239     0.00029
    2.85     0.00297     0.00031
    3.04     0.00459     0.000368
    3.24     0.00456     0.000369
    3.44     0.00316     0.000316
    3.63     0.00246     0.000294
    3.83     0.00139     0.000245
    4.12     0.000773     0.000163
    4.52     0.000304     0.000161
3-4 #otimes 4-5 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -2.2e-05     4.99e-05
    -1.13     -4.01e-05     3.17e-05
    -0.83     1.84e-05     4.52e-05
    -0.54     9.92e-05     5.72e-05
    -0.29     0.00124     0.000179
    -0.15     0.00293     0.000353
    -0.05     0.00342     0.000368
    0.05     0.00387     0.000392
    0.15     0.00212     0.000293
    0.29     0.00104     0.000166
    0.54     0.000226     7.72e-05
    0.83     -2.32e-05     3.44e-05
    1.13     9.07e-05     7.3e-05
    1.42     2.14e-05     6.6e-05
    1.77     0.000101     7.75e-05
    2.16     0.000121     6.46e-05
    2.45     0.000247     0.000101
    2.65     0.000549     0.000134
    2.85     0.000989     0.00017
    3.04     0.00183     0.000226
    3.24     0.00147     0.000202
    3.44     0.000894     0.00016
    3.63     0.000559     0.000131
    3.83     0.00042     0.000128
    4.12     0.000109     6.42e-05
    4.52     0.000222     9.85e-05
3-4 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -5.49e-05     0
    -1.13     -2.15e-05     3.35e-05
    -0.83     3.65e-05     4.58e-05
    -0.54     4.52e-05     4.49e-05
    -0.29     0.000703     0.00013
    -0.15     0.0024     0.000324
    -0.05     0.00387     0.000411
    0.05     0.00308     0.000353
    0.15     0.0025     0.000331
    0.29     0.000613     0.000122
    0.54     5.9e-05     4.67e-05
    0.83     -1.02e-05     3.17e-05
    1.13     7.27e-06     4.41e-05
    1.42     4.79e-05     7.29e-05
    1.77     8.45e-06     4.49e-05
    2.16     8.88e-05     5.45e-05
    2.45     0.00022     9.21e-05
    2.65     0.000602     0.000136
    2.85     0.000747     0.000147
    3.04     0.00117     0.000178
    3.24     0.001     0.000164
    3.44     0.000939     0.000163
    3.63     0.000369     0.000107
    3.83     0.000332     0.000113
    4.12     5.13e-05     4.77e-05
    4.52     8.59e-06     4.5e-05
4-5 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -0.00527     0.00634
    -1.13     0.00122     0.00638
    -0.83     0.026     0.00598
    -0.54     0.0592     0.00541
    -0.29     0.143     0.00748
    -0.15     0.145     0.0109
    -0.05     0.155     0.0112
    0.05     0.169     0.0114
    0.15     0.169     0.0113
    0.29     0.147     0.00753
    0.54     0.0629     0.00548
    0.83     0.0144     0.00581
    1.13     -0.002     0.00633
    1.42     0.0156     0.00676
    1.77     0.0137     0.00617
    2.16     0.0518     0.00585
    2.45     0.0887     0.00815
    2.65     0.106     0.00804
    2.85     0.119     0.00778
    3.04     0.128     0.00769
    3.24     0.124     0.00763
    3.44     0.111     0.00762
    3.63     0.0933     0.00766
    3.83     0.0669     0.00762
    4.12     0.0532     0.00575
    4.52     0.0172     0.00613
4-5 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     0.00187     0.00329
    -1.13     -0.00145     0.00264
    -0.83     0.00362     0.00247
    -0.54     0.0321     0.00289
    -0.29     0.0901     0.00427
    -0.15     0.151     0.00693
    -0.05     0.156     0.00707
    0.05     0.144     0.00688
    0.15     0.157     0.00708
    0.29     0.0988     0.00438
    0.54     0.035     0.00296
    0.83     0.01     0.0027
    1.13     -0.00284     0.00258
    1.42     0.00082     0.00331
    1.77     0.00791     0.00304
    2.16     0.0217     0.0028
    2.45     0.0345     0.00382
    2.65     0.0509     0.00399
    2.85     0.0675     0.00418
    3.04     0.0751     0.00429
    3.24     0.079     0.00433
    3.44     0.0697     0.00418
    3.63     0.0543     0.00405
    3.83     0.0342     0.00376
    4.12     0.0221     0.00278
    4.52     0.00335     0.00282
4-5 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     0.000737     0.00108
    -1.13     -0.000444     0.000721
    -0.83     0.00103     0.000775
    -0.54     0.00455     0.00095
    -0.29     0.0235     0.00191
    -0.15     0.0465     0.00342
    -0.05     0.0526     0.0035
    0.05     0.0597     0.00377
    0.15     0.0499     0.00359
    0.29     0.0239     0.00192
    0.54     0.0038     0.000899
    0.83     0.00123     0.000799
    1.13     -0.000638     0.000694
    1.42     -0.000779     0.000835
    1.77     0.000892     0.000903
    2.16     0.00419     0.000973
    2.45     0.00436     0.00119
    2.65     0.0112     0.00155
    2.85     0.0204     0.00192
    3.04     0.0232     0.002
    3.24     0.0231     0.002
    3.44     0.0206     0.0019
    3.63     0.0118     0.00156
    3.83     0.00925     0.00153
    4.12     0.00466     0.000994
    4.52     0.00103     0.000891
4-5 #otimes 3-4 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     0.000178     0.000408
    -1.13     0.000492     0.000399
    -0.83     -0.000263     0.000135
    -0.54     0.00129     0.000439
    -0.29     0.0065     0.000973
    -0.15     0.012     0.00171
    -0.05     0.0228     0.00233
    0.05     0.0193     0.00199
    0.15     0.0171     0.0021
    0.29     0.00761     0.00107
    0.54     0.000991     0.000403
    0.83     0.000157     0.000278
    1.13     -0.000208     0.00019
    1.42     0.000173     0.000405
    1.77     0.00131     0.000575
    2.16     0.000923     0.0004
    2.45     0.00231     0.000707
    2.65     0.00295     0.000739
    2.85     0.00599     0.00101
    3.04     0.00785     0.00113
    3.24     0.00886     0.00115
    3.44     0.00536     0.00093
    3.63     0.00303     0.00074
    3.83     0.0014     0.000572
    4.12     0.000575     0.000346
    4.52     0.000543     0.000422
4-5 #otimes 4-5 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -6.21e-05     0
    -1.13     0.000113     0.000176
    -0.83     -6.21e-05     0
    -0.54     0.000567     0.00026
    -0.29     0.00156     0.000448
    -0.15     0.00653     0.00129
    -0.05     0.0101     0.00155
    0.05     0.0122     0.00194
    0.15     0.0059     0.00116
    0.29     0.00163     0.000468
    0.54     0.000467     0.000239
    0.83     -6.21e-05     0
    1.13     -6.21e-05     0
    1.42     -6.21e-05     0
    1.77     0.000319     0.000271
    2.16     0.000404     0.000235
    2.45     0.00058     0.000325
    2.65     0.00195     0.00058
    2.85     0.00245     0.000605
    3.04     0.00253     0.000595
    3.24     0.00287     0.000677
    3.44     0.00242     0.000615
    3.63     0.00196     0.000564
    3.83     0.0007     0.000387
    4.12     0.000308     0.000215
    4.52     0.000125     0.000188
4-5 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     -4.91e-05     0
    -1.13     0.000108     0.000157
    -0.83     -4.91e-05     0
    -0.54     0.000263     0.000182
    -0.29     0.00114     0.000387
    -0.15     0.00625     0.00115
    -0.05     0.00747     0.0013
    0.05     0.00649     0.00126
    0.15     0.00534     0.00111
    0.29     0.000875     0.000357
    0.54     0.000498     0.000248
    0.83     -4.91e-05     0
