Au + Au 0 - 20 %

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1052 x 0.0375=0.003940
#xi=1.004435#pm0.000570

Dphi  CF  CFerr
-1.473  0.998896  0.000124
-1.276  0.998501  0.000121
-1.080  0.999998  0.000114
-0.884  1.003184  0.000103
-0.687  1.008124  0.000091
-0.491  1.013935  0.000083
-0.295  1.019574  0.000081
-0.098  1.023919  0.000080
0.098  1.023997  0.000079
0.295  1.019848  0.000079
0.491  1.014228  0.000082
0.687  1.008054  0.000089
0.884  1.003132  0.000100
1.080  0.999721  0.000111
1.276  0.998681  0.000117
1.473  0.999159  0.000123
1.669  1.000686  0.000128
1.865  1.003129  0.000125
2.062  1.006385  0.000113
2.258  1.009560  0.000102
2.454  1.012480  0.000095
2.651  1.014886  0.000091
2.847  1.016557  0.000086
3.043  1.017614  0.000083
3.240  1.017433  0.000083
3.436  1.016652  0.000085
3.632  1.015092  0.000089
3.829  1.012560  0.000093
4.025  1.009556  0.000099
4.222  1.006206  0.000109
4.418  1.003435  0.000121
4.614  1.000721  0.000126


2-3 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1052 x 0.0714=0.007507
#xi=1.002628#pm0.000996

Dphi  CF  CFerr
-1.473  0.993573  0.000285
-1.276  0.992684  0.000263
-1.080  0.994392  0.000225
-0.884  1.000407  0.000197
-0.687  1.011784  0.000177
-0.491  1.025443  0.000160
-0.295  1.034693  0.000148
-0.098  1.043809  0.000141
0.098  1.043844  0.000141
0.295  1.035027  0.000146
0.491  1.025502  0.000157
0.687  1.011619  0.000170
0.884  1.000474  0.000189
1.080  0.993818  0.000216
1.276  0.992551  0.000256
1.473  0.994175  0.000287
1.669  0.998602  0.000285
1.865  1.003340  0.000256
2.062  1.008274  0.000221
2.258  1.012834  0.000196
2.454  1.017454  0.000177
2.651  1.021105  0.000165
2.847  1.023962  0.000158
3.043  1.025224  0.000155
3.240  1.025182  0.000155
3.436  1.023598  0.000156
3.632  1.021093  0.000163
3.829  1.017090  0.000173
4.025  1.012814  0.000192
4.222  1.008502  0.000215
4.418  1.003432  0.000248
4.614  0.998028  0.000276


2-3 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1052 x 0.1052=0.011062
#xi=1.002676#pm0.001484

Dphi  CF  CFerr
-1.473  0.993058  0.001023
-1.276  0.988688  0.000899
-1.080  0.990527  0.000762
-0.884  0.998743  0.000668
-0.687  1.017946  0.000605
-0.491  1.043095  0.000551
-0.295  1.071120  0.000505
-0.098  1.085566  0.000479
0.098  1.085654  0.000479
0.295  1.071051  0.000502
0.491  1.043107  0.000538
0.687  1.018010  0.000578
0.884  0.999188  0.000633
1.080  0.990757  0.000727
1.276  0.988492  0.000880
1.473  0.994008  0.001031
1.669  0.997865  0.000994
1.865  1.005838  0.000864
2.062  1.011137  0.000756
2.258  1.017115  0.000666
2.454  1.023136  0.000597
2.651  1.027579  0.000552
2.847  1.030285  0.000530
3.043  1.032016  0.000525
3.240  1.032186  0.000525
3.436  1.030273  0.000529
3.632  1.027444  0.000548
3.829  1.023641  0.000591
4.025  1.016896  0.000656
4.222  1.011315  0.000741
4.418  1.005640  0.000847
4.614  0.998228  0.000977


3-4 #otimes 0.4-1 GeV/c
v_{2}^{t}v_{2}^{p}=0.1127 x 0.0374=0.004218
#xi=1.003309#pm0.000557

Dphi  CF  CFerr
-1.473  0.997694  0.000402
-1.276  0.997699  0.000393
-1.080  0.998010  0.000373
-0.884  1.002420  0.000334
-0.687  1.006084  0.000294
-0.491  1.013435  0.000271
-0.295  1.020408  0.000262
-0.098  1.025664  0.000260
0.098  1.025411  0.000258
0.295  1.019947  0.000258
0.491  1.013582  0.000266
0.687  1.006413  0.000290
0.884  1.001461  0.000327
1.080  0.998384  0.000362
1.276  0.998122  0.000383
1.473  0.998574  0.000400
1.669  1.000596  0.000420
1.865  1.003428  0.000411
2.062  1.007146  0.000369
2.258  1.010102  0.000332
2.454  1.013431  0.000311
2.651  1.016337  0.000296
2.847  1.017345  0.000282
3.043  1.019121  0.000271
3.240  1.019312  0.000269
3.436  1.018009  0.000277
3.632  1.016142  0.000290
3.829  1.013388  0.000303
4.025  1.010587  0.000321
4.222  1.006397  0.000355
4.418  1.003213  0.000393
4.614  1.000340  0.000407


3-4 #otimes 1-2 GeV/c
v_{2}^{t}v_{2}^{p}=0.1127 x 0.0714=0.008046
#xi=1.002434#pm0.001071

Dphi  CF  CFerr
-1.473  0.995998  0.000930
-1.276  0.992153  0.000861
-1.080  0.992945  0.000725
-0.884  1.000444  0.000645
-0.687  1.011134  0.000572
-0.491  1.028383  0.000522
-0.295  1.041643  0.000481
-0.098  1.054766  0.000460
0.098  1.055118  0.000461
0.295  1.040836  0.000474
0.491  1.027749  0.000514
0.687  1.010981  0.000550
0.884  0.999005  0.000618
1.080  0.992037  0.000698
1.276  0.991306  0.000840
1.473  0.995674  0.000942
1.669  0.998403  0.000934
1.865  1.005369  0.000843
2.062  1.008649  0.000721
2.258  1.014376  0.000644
2.454  1.018287  0.000576
2.651  1.022146  0.000537
2.847  1.025357  0.000514
3.043  1.026876  0.000505
3.240  1.026848  0.000503
3.436  1.025605  0.000506
3.632  1.022592  0.000531
3.829  1.020450  0.000561
4.025  1.013824  0.000626
4.222  1.010200  0.000694
4.418  1.003712  0.000810
4.614  0.999427  0.000900


3-4 #otimes 2-3 GeV/c
v_{2}^{t}v_{2}^{p}=0.1127 x 0.1052=0.011858
#xi=1.003518#pm0.001599

Dphi  CF  CFerr
-1.473  0.991432  0.003348
-1.276  0.988844  0.002910
-1.080  0.989692  0.002474
-0.884  0.998042  0.002167
-0.687  1.020300  0.001968
-0.491  1.050633  0.001798
-0.295  1.094934  0.001660
-0.098  1.129663  0.001585
0.098  1.123606  0.001581
0.295  1.097061  0.001652
0.491  1.054015  0.001762
0.687  1.020180  0.001882
0.884  1.000892  0.002059
1.080  0.988157  0.002365
1.276  0.987969  0.002865
1.473  0.993151  0.003398
1.669  0.999218  0.003294
1.865  1.004405  0.002820
2.062  1.012481  0.002476
2.258  1.018813  0.002172
2.454  1.024307  0.001951
