p+p

note: correlation function is symmetric with respect to pTa and pTb

note: #xi error shown is statistical only!



2-3 #otimes 0.4-1 GeV/c
#xi=1.741851

Dphi  CF  CFerr
-1.473  1.764401  0.013069
-1.276  1.748667  0.012833
-1.080  1.777698  0.012693
-0.884  1.850995  0.011829
-0.687  1.996205  0.010720
-0.491  2.317520  0.010494
-0.295  2.560039  0.010808
-0.098  2.670569  0.011295
0.098  2.693305  0.011325
0.295  2.610456  0.010937
0.491  2.305559  0.010498
0.687  2.020633  0.010831
0.884  1.860670  0.011843
1.080  1.786053  0.012678
1.276  1.765455  0.012825
1.473  1.754957  0.012943
1.669  1.774733  0.013603
1.865  1.894264  0.014086
2.062  1.955309  0.013027
2.258  2.075345  0.012194
2.454  2.176965  0.011881
2.651  2.297954  0.011701
2.847  2.361800  0.011286
3.043  2.414484  0.011062
3.240  2.420405  0.011064
3.436  2.389728  0.011268
3.632  2.296174  0.011514
3.829  2.194643  0.011772
4.025  2.078193  0.012058
4.222  1.981405  0.012932
4.418  1.888556  0.013928
4.614  1.795899  0.013734


2-3 #otimes 1-2 GeV/c
#xi=2.224828

Dphi  CF  CFerr
-1.473  2.313834  0.040979
-1.276  2.211519  0.036800
-1.080  2.192719  0.032055
-0.884  2.357066  0.030102
-0.687  2.890926  0.030807
-0.491  3.805373  0.032306
-0.295  5.400046  0.035038
-0.098  6.220343  0.035240
0.098  6.215809  0.035349
0.295  5.349231  0.034621
0.491  3.784720  0.032351
0.687  2.877887  0.030821
0.884  2.443648  0.030882
1.080  2.227652  0.032235
1.276  2.191474  0.036541
1.473  2.277926  0.040702
1.669  2.466091  0.041865
1.865  2.586152  0.039359
2.062  2.783541  0.036393
2.258  3.112815  0.034734
2.454  3.439898  0.033467
2.651  3.716670  0.032538
2.847  4.032416  0.032584
3.043  4.262244  0.033086
3.240  4.174426  0.032729
3.436  3.993871  0.032251
3.632  3.750195  0.032676
3.829  3.412596  0.033174
4.025  3.131926  0.034766
4.222  2.793981  0.036180
4.418  2.660501  0.040082
4.614  2.404116  0.041036


2-3 #otimes 2-3 GeV/c
#xi=2.654649

Dphi  CF  CFerr
-1.473  2.654137  0.164196
-1.276  2.630201  0.143470
-1.080  2.673923  0.125116
-0.884  3.046414  0.120801
-0.687  3.730166  0.125631
-0.491  5.602987  0.142682
-0.295  11.402364  0.181474
-0.098  16.527424  0.200730
0.098  16.474998  0.200781
0.295  11.371569  0.181159
0.491  5.667986  0.143371
0.687  3.689459  0.125255
0.884  3.071936  0.121432
1.080  2.613226  0.123090
1.276  2.601429  0.142337
1.473  2.583785  0.162018
1.669  2.821205  0.164217
1.865  3.476979  0.160837
2.062  4.038899  0.157071
2.258  4.819412  0.155053
2.454  5.622675  0.151740
2.651  6.464954  0.151341
2.847  7.367858  0.156441
3.043  8.098797  0.161751
3.240  8.020579  0.161217
3.436  7.372243  0.156188
3.632  6.606255  0.152797
3.829  5.641706  0.151441
4.025  4.797765  0.154748
4.222  4.154487  0.158959
4.418  3.560474  0.162651
4.614  2.874177  0.165359


