Figure 25: Invariant e+e- Pair Yield

Data
m_ee bin (GeV/c^2)       dN/dm_ee (c^2/GeV)     stat.uncertainty        syst. un
certainty
0--0.005        0.129486        0.000641083     0.0194229
0.005--0.01     0.119826        0.000624326     0.0179739
0.01--0.015     0.0597108       0.000463207     0.00895663
0.015--0.02     0.0399522       0.00043796      0.00599285
0.02--0.025     0.0296027       0.000425071     0.00444045
0.025--0.03     0.0208384       0.000427543     0.00312584
0.03--0.035     0.019297        0.000402876     0.00289467
0.035--0.04     0.0161303       0.000465639     0.00241971
0.04--0.045     0.0124822       0.000405934     0.00187262
0.045--0.05     0.0107046       0.000418938     0.00160608
0.05--0.055     0.00910723      0.000413338     0.00136654
0.055--0.06     0.00715584      0.000429369     0.00107402
0.06--0.065     0.00591923      0.000441436     0.000888998
0.065--0.07     0.00509527      0.000370671     0.00076552
0.07--0.075     0.00472492      0.000391146     0.000710481
0.075--0.08     0.00462752      0.000615935     0.000696298
0.08--0.085     0.00289074      0.000394214     0.000436734
0.085--0.09     0.00439515      0.000786928     0.00066138
0.09--0.095     0.00212319      0.00041413      0.000322812
0.095--0.1      0.00188503      0.000736507     0.00028792
0.1--0.105      0.00138129      0.000280541     0.000213342
0.105--0.11     0.00119237      0.000411806     0.000186296
0.11--0.15      0.0014576       0.000132041     0.000228845
0.15--0.3       0.000970813     8.34903e-005    0.000188635
0.3--0.45       0.000961375     0.000142806     0.000331875
0.45--0.55      0.00141179      0.000281101     0.000434451
0.55--0.6       0.000585511     0.000176418     0.000267782
0.6--0.65       0.000441612     0.000136541     0.000190535
0.65--0.7       0.000349601     0.000112635     0.00014749
0.7--0.76       0.000278476     8.61884e-005    0.000112345
0.76--0.8       0.000362602     9.06695e-005    9.79006e-005
0.8--0.9        0.000148288     4.81096e-005    6.3172e-005
0.9--1  6.93396e-005    3.79821e-005    3.94757e-005
1--1.05 0.000200576     4.31434e-005    4.001e-005
1.05--1.25      2.02355e-005    1.60894e-005    1.59739e-005
1.25--1.5       2.25746e-005    8.89685e-006    7.0906e-006
1.5--1.75       8.92113e-006    5.28506e-006    2.64207e-006
1.75--2 2.78824e-006    3.23404e-006    9.72782e-007
2--2.25 3.76243e-006    2.05243e-006    6.65968e-007
2.25--2.5       2.19241e-006    1.31727e-006    3.60059e-007
2.5--2.75       1.41187e-006    8.7882e-007     2.21518e-007
2.75--2.9       1.34358e-006    8.236e-007      2.04236e-007
2.9--2.925      3.03038e-006    1.92866e-006    4.55258e-007
2.925--2.95     2.28413e-006    1.85586e-006    3.43482e-007
2.95--2.975     4.29369e-006    1.87207e-006    6.44397e-007
2.975--3        4.23557e-006    1.88904e-006    6.35708e-007
3--3.05 7.46266e-006    1.42431e-006    1.11956e-006
3.05--3.075     1.51469e-005    2.36811e-006    2.27209e-006
3.075--3.1      2.14945e-005    2.67753e-006    3.22422e-006
3.1--3.125      2.73786e-005    2.94127e-006    4.10681e-006
3.125--3.15     1.79217e-005    2.46849e-006    2.68829e-006
3.15--3.175     6.11732e-006    1.6865e-006     9.17669e-007
3.175--3.2      2.75633e-006    1.4173e-006     4.13602e-007
3.2--3.225      1.0217e-006     1.18355e-006    1.53631e-007
3.225--3.25     1.37433e-006    1.17506e-006    2.06367e-007
3.25--3.3       5.11947e-007    7.37269e-007    7.72981e-008
3.3--3.55       1.3175e-007     2.64428e-007    2.06779e-008
3.55--3.85      3.51279e-007    1.96117e-007    5.27787e-008
3.85--4.5       6.17988e-008    6.2142e-008     3.96016e-008

Cocktail
m_ee bin (GeV/c^2)       dN/dm_ee (c^2/GeV)
0--0.025        0.072041
0.025--0.05     0.0126861
0.05--0.075     0.00571094
0.075--0.1      0.00260758
0.1--0.125      0.000918667
0.125--0.15     0.000405556
0.15--0.175     0.000347197
0.175--0.2      0.000307517
0.2--0.225      0.000279298
0.225--0.25     0.000256442
0.25--0.275     0.000250189
0.275--0.3      0.000242799
0.3--0.325      0.000225881
0.325--0.35     0.000216117
0.35--0.375     0.000205084
0.375--0.4      0.000192761
0.4--0.425      0.00018307
0.425--0.45     0.000167931
0.45--0.475     0.000153687
0.475--0.5      0.00013909
0.5--0.525      0.000130812
0.525--0.55     0.000126879
0.55--0.575     0.000123362
0.575--0.6      0.000120509
0.6--0.625      0.000116615
0.625--0.65     0.000103844
0.65--0.675     9.81295e-005
0.675--0.7      0.0001057
0.7--0.725      0.000117858
0.725--0.75     0.000134624
0.75--0.775     0.000240278
0.775--0.8      0.000491854
0.8--0.825      0.000112788
0.825--0.85     6.84317e-005
0.85--0.875     5.48083e-005
0.875--0.9      4.68589e-005
0.9--0.925      4.20741e-005
0.925--0.95     3.87977e-005
0.95--0.975     3.76493e-005
0.975--1        5.36264e-005
1--1.025        0.000365966
1.025--1.05     0.000166604
1.05--1.075     3.28439e-005
1.075--1.1      2.61146e-005
1.1--1.125      2.35978e-005
1.125--1.15     2.18607e-005
1.15--1.175     2.04568e-005
1.175--1.2      1.91935e-005
1.2--1.3        1.65719e-005
1.3--1.4        1.31734e-005
1.4--1.5        1.05417e-005
1.5--1.6        8.4576e-006
1.6--1.7        6.81387e-006
1.7--1.8        5.49195e-006
1.8--1.9        4.45258e-006
1.9--2  3.61536e-006
2--2.1  2.88077e-006
2.1--2.2        2.37634e-006
2.2--2.3        1.98757e-006
2.3--2.4        1.69338e-006
2.4--2.5        1.48493e-006
2.5--2.6        1.36428e-006
2.6--2.7        1.32593e-006
2.7--2.8        1.4141e-006
2.8--2.85       1.64311e-006
2.85--2.9       1.95763e-006
2.9--2.925      2.35022e-006
2.925--2.95     2.75915e-006
2.95--2.975     3.3843e-006
2.975--3        4.64063e-006
3--3.025        6.74376e-006
3.025--3.05     1.10808e-005
3.05--3.075     1.72059e-005
3.075--3.1      2.42632e-005
3.1--3.125      2.56395e-005
3.125--3.15     2.29776e-005
3.15--3.175     1.48959e-005
3.175--3.2      8.61926e-006
3.2--3.225      3.95477e-006
3.225--3.25     1.9887e-006
3.25--3.275     9.43282e-007
3.275--3.3      5.50898e-007
3.3--3.5        2.23133e-007
3.5--3.525      1.48336e-007
3.525--3.55     1.4902e-007
3.55--3.575     1.57386e-007
3.575--3.6      1.75459e-007
3.6--3.625      2.24275e-007
3.625--3.65     2.94843e-007
3.65--3.675     3.91901e-007
3.675--3.7      4.21225e-007
3.7--3.725      3.96911e-007
3.725--3.75     2.88895e-007
3.75--3.775     1.924e-007
3.775--3.8      1.20473e-007
3.8--4  5.28744e-008
4--4.3  2.75433e-008
4.3--4.4        1.74824e-008
4.4--4.5        1.40398e-008
4.5--4.6        1.12751e-008
4.6--5  6.71409e-009
