Figure 45b: subtracted pT spectrum in 300-750 compared to calculations from Kevin Dusling

data as in fig.37 

hadronic yield
0.00275439      3.98882e-005
0.0242169       3.37716e-005
0.0644753       2.55437e-005
0.119575        1.81545e-005
0.185683        1.24632e-005
0.25974 8.37866e-006
0.339519        5.56021e-006
0.423459        3.66356e-006
0.510471        2.4088e-006
0.599794        1.58528e-006
0.690887        1.04568e-006
0.783358        6.91945e-007
0.876919        4.59636e-007
0.971356        3.06494e-007
1.0665  2.05121e-007
1.16224 1.37743e-007
1.25846 9.27987e-008
1.3551  6.27127e-008
1.45208 4.25068e-008
1.54936 2.88925e-008
1.64689 1.96902e-008
1.74465 1.34517e-008
1.8426  9.20968e-009
1.94071 6.31802e-009
2.03898 3.40411e-009
partonic yield
0.00275439      7.45995e-006
0.0242169       6.62495e-006
0.0644753       5.3631e-006
0.119575        4.07808e-006
0.185683        2.97819e-006
0.25974 2.11974e-006
0.339519        1.48467e-006
0.423459        1.0299e-006
0.510471        7.10727e-007
0.599794        4.89441e-007
0.690887        3.37094e-007
0.783358        2.32569e-007
0.876919        1.60921e-007
0.971356        1.11767e-007
1.0665  7.79699e-008
1.16224 5.46578e-008
1.25846 3.85148e-008
1.3551  2.72865e-008
1.45208 1.94384e-008
1.54936 1.39248e-008
1.64689 1.00306e-008
1.74465 7.2651e-009
1.8426  5.29039e-009
1.94071 3.87259e-009
2.03898 2.21585e-009
sum
0.00275439      4.73482e-005
0.0242169       4.03966e-005
0.0644753       3.09068e-005
0.119575        2.22325e-005
0.185683        1.54414e-005
0.25974 1.04984e-005
0.339519        7.04488e-006
0.423459        4.69346e-006
0.510471        3.11953e-006
0.599794        2.07472e-006
0.690887        1.38277e-006
0.783358        9.24514e-007
0.876919        6.20558e-007
0.971356        4.18261e-007
1.0665  2.83091e-007
1.16224 1.924e-007
1.25846 1.31314e-007
1.3551  8.99992e-008
1.45208 6.19452e-008
1.54936 4.28173e-008
1.64689 2.97208e-008
1.74465 2.07168e-008
1.8426  1.45001e-008
1.94071 1.01906e-008
2.03898 5.61997e-009
