Values plotted in Figure 4


2.0 < pta < 5.0 GeV
<ptt>    sqrt(<j_T^2>)
2.2336   0.5820 +/- 0.0014 +/- 0.0008
2.7268   0.6129 +/- 0.0018 +/- 0.0006
3.2243   0.6245 +/- 0.0022 +/- 0.0018
3.8012   0.6262 +/- 0.0026 +/- 0.0042
4.6102   0.6301 +/- 0.0032 +/- 0.0058
5.6956   0.6340 +/- 0.0049 +/- 0.0090
7.0414   0.6394 +/- 0.0077 +/- 0.0047
8.7753   0.6339 +/- 0.0121 +/- 0.0040


1.4 < pta < 5.0 GeV  (for comparison with ppg029)
<ptt>    sqrt(<j_T^2>)
2.2314   0.5836 +/- 0.0011
2.7246   0.5952 +/- 0.0013
3.2225   0.5984 +/- 0.0017
3.7973   0.5991 +/- 0.0020
4.6049   0.6040 +/- 0.0027
5.6868   0.6002 +/- 0.0042
7.0344   0.6050 +/- 0.0067
8.7750   0.6052 +/- 0.0114


2.0 < pta < 5.0 GeV
<ptt>    sqrt(<k_T^2>)
2.2336   2.9574 +/- 0.0276 +/- 0.3565
2.7268   2.8289 +/- 0.0283 +/- 0.3983
3.2243   2.8708 +/- 0.0325 +/- 0.3796
3.8012   2.7867 +/- 0.0319 +/- 0.3599
4.6102   2.8030 +/- 0.0356 +/- 0.3533
5.6956   2.9130 +/- 0.0487 +/- 0.3428
7.0414   3.0113 +/- 0.0674 +/- 0.3945
8.7753   3.1786 +/- 0.1062 +/- 0.3111


1.4 < pta < 5.0 GeV  (for comparison with ppg029)
<ptt>    sqrt(<k_T^2>)
2.2314   3.1784 +/- 0.0268
2.7246   2.8897 +/- 0.0253
3.2225   2.8047 +/- 0.0284
3.7973   2.6610 +/- 0.0272
4.6049   2.6772 +/- 0.0316
5.6868   2.7402 +/- 0.0430
7.0344   2.8065 +/- 0.0656
8.7750   3.2093 +/- 0.1109
