Values plotted in Figure 5

<ptt>     \Delta sqrt(<j_T^2>)
2.2336   -0.0080 +/- 0.0108 +/- 0.0148
2.7268   -0.0087 +/- 0.0132 +/- 0.0148
3.2243    0.0071 +/- 0.0164 +/- 0.0149
3.8012    0.0004 +/- 0.0188 +/- 0.0149
4.6102   -0.0143 +/- 0.0232 +/- 0.0149
5.6956   -0.0055 +/- 0.0343 +/- 0.0150
7.0414    0.0488 +/- 0.0530 +/- 0.0150
8.7753   -0.0239 +/- 0.0816 +/- 0.0150


<ptt>     \Delta sqrt(<k_T^2>)
2.2336   -0.2204 +/- 0.1894 +/- 0.0455
2.7268   -0.1109 +/- 0.1928 +/- 0.0349
3.2243   -0.1668 +/- 0.2207 +/- 0.0351
3.8012    0.3178 +/- 0.2172 +/- 0.0467
4.6102    0.2230 +/- 0.2407 +/- 0.0361
5.6956   -0.0273 +/- 0.3254 +/- 0.0227
7.0414   -0.3637 +/- 0.4542 +/- 0.0449
8.7753   -0.4827 +/- 0.7527 +/- 0.0502
