Values plotted in Figure 3


<z_t>

<ptt>    Equal fraction         All gluon        All quark
         of q,g jets            jets             jets
2.2336   0.4204                 0.3766           0.4730
2.7268   0.4633                 0.4132           0.5240
3.2243   0.4956                 0.4418           0.5604
3.8012   0.5270                 0.4689           0.5962
4.6102   0.5611                 0.4995           0.6332
5.6956   0.5957                 0.5321           0.6682
7.0414   0.6284                 0.5642           0.6995
8.7753   0.6630                 0.6027           0.7280


\hat{x}_h

<ptt>    Equal fraction         All gluon        All quark
         of q,g jets            jets             jets
2.2336   1.0608                 1.0596           1.0650
2.7268   0.9942                 0.9944           0.9936
3.2243   0.9524                 0.9551           0.9465
3.8012   0.9261                 0.9309           0.9150
4.6102   0.9051                 0.9121           0.8900
5.6956   0.8904                 0.8993           0.8720
7.0414   0.8841                 0.8925           0.8663
8.7753   0.8664                 0.8748           0.8492
