Forward-rapidity J/Psi -> mu+mu- d+Au Differential Cross Sections
and Invariant Yields at sqrt(s) = 200 GeV
================================================================
(All uncertainties are absolute. The sys. A uncertainty includes
both the statistical uncertainty and the point-to-point uncorrelated
systematic)

p+p (Run6+8) vs y
=================
          B*dsig/dy
     y      (nb)   B*dN/dy    stat.    sys. A    sys. B    sys. C
   ------   ----  --------  --------  --------  --------  --------
   -2.075    18   4.20E-07  1.80E-09  1.20E-08  2.80E-08  4.20E-08
   -1.825    24   5.80E-07  1.50E-09  1.00E-08  3.90E-08  5.90E-08
   -1.575    32   7.50E-07  1.80E-09  1.20E-08  5.00E-08  7.60E-08
   -1.325    41   9.80E-07  4.40E-09  2.50E-08  6.50E-08  9.90E-08
   1.325     41   9.70E-07  4.70E-09  2.70E-08  8.40E-08  1.20E-07
   1.575     34   8.00E-07  2.00E-09  1.30E-08  6.90E-08  9.90E-08
   1.825     26   6.10E-07  1.50E-09  1.00E-08  5.30E-08  7.50E-08
   2.075     19   4.50E-07  1.50E-09  1.00E-08  3.90E-08  5.50E-08
   2.325     14   3.30E-07  3.50E-09  2.20E-08  2.90E-08  3.40E-08


d+Au Min-Bias vs y
==================
            B*dsig/dy
     y        (nb)     B*dN/dy    stat.    sys. A    sys. B    sys. C
   ------   --------  --------  --------  --------  --------  --------
   -2.075   5.70E+03  2.50E-06  5.70E-08  5.10E-08  2.20E-07  5.30E-08
   -1.825   9.10E+03  4.00E-06  4.90E-08  4.20E-08  3.50E-07  8.50E-08
   -1.575   1.20E+04  5.40E-06  6.00E-08  5.00E-08  4.80E-07  1.10E-07
   -1.325   1.60E+04  7.20E-06  1.40E-07  1.10E-07  6.30E-07  1.50E-07
   1.325    1.20E+04  5.50E-06  1.10E-07  8.50E-08  5.10E-07  1.20E-07
   1.575    9.60E+03  4.20E-06  4.60E-08  3.80E-08  3.90E-07  8.90E-08
   1.825    7.30E+03  3.20E-06  3.60E-08  3.10E-08  3.00E-07  6.80E-08
   2.075    5.60E+03  2.50E-06  3.60E-08  3.10E-08  2.30E-07  5.20E-08
   2.325    3.40E+03  1.50E-06  5.60E-08  4.90E-08  1.40E-07  3.20E-08


d+Au vs centrality vs y
=======================
                     B*dsig/dy  
     y      Cent.(%)   (nb)     B*dN/dy    stat.    sys. A    sys. B    sys. C
   ------   -------- --------  --------  --------  --------  --------  --------
   -2.075    0-20    1.10E+04  4.80E-06  1.50E-07  1.50E-07  4.20E-07  3.00E-07
   -1.825    0-20    1.70E+04  7.50E-06  1.30E-07  1.20E-07  6.60E-07  4.60E-07
   -1.575    0-20    2.30E+04  1.00E-05  1.60E-07  1.40E-07  8.70E-07  6.10E-07
   -1.325    0-20    2.90E+04  1.30E-05  3.40E-07  3.00E-07  1.10E-06  7.90E-07
   -2.075    20-40   6.80E+03  3.00E-06  1.10E-07  1.10E-07  2.70E-07  1.60E-07
   -1.825    20-40   1.10E+04  4.80E-06  1.00E-07  9.50E-08  4.20E-07  2.50E-07
   -1.575    20-40   1.50E+04  6.70E-06  1.20E-07  1.10E-07  5.90E-07  3.50E-07
   -1.325    20-40   1.90E+04  8.50E-06  2.70E-07  2.50E-07  7.40E-07  4.50E-07
   -2.075    40-60   4.40E+03  2.00E-06  8.60E-08  8.40E-08  1.70E-07  1.00E-07
   -1.825    40-60   7.30E+03  3.20E-06  8.00E-08  7.80E-08  2.80E-07  1.70E-07
   -1.575    40-60   9.80E+03  4.30E-06  9.40E-08  9.10E-08  3.80E-07  2.30E-07
   -1.325    40-40   1.40E+04  6.00E-06  2.20E-07  2.10E-07  5.30E-07  3.20E-07
   -2.075    60-88   2.20E+03  9.80E-07  5.20E-08  5.20E-08  8.60E-08  5.80E-08
   -1.825    60-88   3.50E+03  1.60E-06  4.60E-08  4.50E-08  1.40E-07  9.20E-08
   -1.575    60-88   5.00E+03  2.20E-06  5.50E-08  5.50E-08  1.90E-07  1.30E-07
   -1.325    60-88   6.40E+03  2.80E-06  1.20E-07  1.20E-07  2.50E-07  1.70E-07
   1.325     0-20    2.20E+04  9.80E-06  2.70E-07  2.50E-07  9.00E-07  5.70E-07
   1.575     0-20    1.70E+04  7.70E-06  1.20E-07  1.10E-07  7.10E-07  4.50E-07
   1.825     0-20    1.20E+04  5.40E-06  9.10E-08  8.60E-08  5.00E-07  3.10E-07
   2.075     0-20    9.20E+03  4.10E-06  9.60E-08  9.00E-08  3.80E-07  2.40E-07
   2.325     0-20    4.80E+03  2.10E-06  1.30E-07  1.20E-07  2.00E-07  1.20E-07
   1.325     20-40   1.70E+04  7.50E-06  2.30E-07  2.10E-07  6.90E-07  4.00E-07
