----------------------------------------------------
Invariant cross section p+p->\mu^{-} + X from ppg117
----------------------------------------------------
pT     Inv.yield  Sta.error  Sys.error
1.12   3.64e-04   1.55e-05   1.23e-04      
1.36   1.19e-04   2.85e-06   3.39e-05      
1.61   4.57e-05   1.15e-06   1.25e-05      
1.86   1.92e-05   5.39e-07   5.18e-06      
2.11   8.31e-06   3.02e-07   2.27e-06      
2.36   3.52e-06   1.54e-07   1.18e-06      
2.61   1.67e-06   9.21e-08   5.74e-07      
2.86   9.12e-07   6.04e-08   3.18e-07      
3.21   3.83e-07   2.28e-08   1.22e-07      
3.72   1.41e-07   1.24e-08   4.15e-08      
4.38   3.34e-08   3.49e-09   1.12e-08      
5.65   2.99e-09   1.09e-09   1.31e-09   
