----------------------------------------------------------
Omega/Pi in p+p
pT        decay channel   Ratio        Sta.error      Sys.error
0.125     e+e-           0.0274625    0.00874824     0.0062165
0.375     e+e-            0.0775713    0.0145487      0.0157521
0.625     e+e-            0.209742     0.022483       0.0346946
0.875     e+e-            0.277281     0.0365503      0.0469135
1.125     e+e-            0.418289     0.0550088      0.0706437
1.375     e+e-            0.47334      0.073987       0.0788823
1.75      e+e-            0.54105      0.091216       0.088133 
2.25      pi+pi-pi0       0.877423     0.209278       0.196965 
2.5       e+e-           0.612235     0.115561       0.110047
          pi0gamma        0.760013     0.06456        0.148646 
2.75      pi+pi-pi0       0.994651     0.103237       0.204638
3.25      pi+pi-pi0       0.945003     0.0693594      0.186131
3.5       e+e-            0.714046     0.247288       0.130358 
          pi0gamma        0.898841     0.038146       0.16022
3.75      pi+pi-pi0       0.903472     0.0462791      0.161472
4.25      pi+pi-pi0       0.742332     0.0430213      0.126264
4.5       pi0gamma        0.686148     0.0558147      0.11694 
4.75      pi+pi-pi0       0.788344     0.069176       0.134575 
5.25      pi+pi-pi0       0.814015     0.0553398      0.139265
5.5       pi0gamma        0.762621     0.117929       0.12346
5.75      pi+pi-pi0       0.710746     0.0609064      0.121728
6.25      pi+pi-pi0       0.69682      0.103044       0.106482
6.5       pi0gamma        0.862995     0.107197       0.15594
6.75      pi+pi-pi0       0.761297     0.150899       0.12334 
7.25      pi+pi-pi0       0.863745     0.15363        0.147959
7.5       pi0gamma        0.638679     0.1618         0.121424
7.75      pi+pi-pi0       0.652674     0.107463       0.124096
8.25      pi+pi-pi0       0.775114     0.174188       0.154794
8.75      pi+pi-pi0       0.645243     0.146433       0.14128
9.0       pi0gamma        0.718389     0.231785       0.157363
9.25      pi+pi-pi0       1.13104      0.206244       0.269633
9.75      pi+pi-pi0       1.01593      0.284549       0.252251
10.25     pi+pi-pi0       0.89945      0.277659       0.2236
10.75     pi+pi-pi0       0.855336     0.257244       0.212935
11.00     pi0gamma        0.918832     0.304524       0.220082 
11.25     pi+pi-pi0       1.07303      0.292399       0.267555
12.00     pi+pi-pi0       0.860426     0.284385       0.18234
13.00     pi+pi-pi0       0.809173     0.337527       0.17244 
