
Table 1: JdA vs x, stat, syst errors for d+Au 0-20%, 3.0<eta_fwd<3.8

pT_trg	pT_assoc xAu^frag	JdA	sigma	syslow	syshigh	sglobal	eta_trig
					Jda	Jda	JdA	(%)
1.25	0.625	 3.46e-04	0.093 	0.016	0.036	0.107	0.108	3.3
1.75	0.625	 4.38e-04	0.090 	0.021	0.037	0.088	0.108	3.3
2.53	0.625	 5.82e-04	0.191 	0.035	0.083	0.160	0.108	3.3
1.25	0.875	 3.92e-04	0.077 	0.017	0.024	0.097	0.108	3.3
1.75	0.875	 4.84e-04	0.144 	0.034	0.051	0.129	0.108	3.3
2.53	0.875	 6.28e-04	0.174 	0.037	0.069	0.137	0.108	3.3
1.25	1.25	 4.61e-04	0.102 	0.021	0.030	0.098	0.108	3.3
1.75	1.25	 5.53e-04	0.235 	0.060	0.082	0.168	0.108	3.3
2.53	1.25	 6.97e-04	0.390 	0.114	0.162	0.229	0.108	3.3
0.68	0.625	 3.52e-03	0.233 	0.023	0.062	0.062	0.108	0.
1.29	0.625	 6.57e-03	0.335 	0.030	0.070	0.070	0.108	0.
2.43	0.625	 1.23e-02	0.407 	0.122	0.067	0.067	0.108	0.
2.71	0.625	 1.37e-02	0.548 	0.052	0.178	0.178	0.108	0.
3.35	0.625	 1.69e-02	0.486 	0.055	0.126	0.126	0.108	0.
4.67	0.625	 2.35e-02	0.572 	0.163	0.090	0.090	0.108	0.
0.68	0.875	 3.56e-03	0.252 	0.035	0.062	0.062	0.108	0.
1.29	0.875	 6.61e-03	0.375 	0.040	0.070	0.070	0.108	0.
2.43	0.875	 1.23e-02	0.445 	0.128	0.067	0.067	0.108	0.
2.71	0.875	 1.37e-02	0.409 	0.045	0.178	0.178	0.108	0.
3.35	0.875	 1.69e-02	0.531 	0.064	0.126	0.126	0.108	0.
4.67	0.875	 2.35e-02	0.685 	0.212	0.090	0.090	0.108	0.
0.68	1.25	 3.63e-03	0.365 	0.048	0.062	0.062	0.108	0.
1.29	1.25	 6.68e-03	0.432 	0.116	0.070	0.070	0.108	0.
2.43	1.25	 1.24e-02	0.478 	0.162	0.067	0.067	0.108	0.
2.71	1.25	 1.38e-02	0.630 	0.095	0.178	0.178	0.108	0.
3.35	1.25	 1.70e-02	0.748 	0.121	0.126	0.126	0.108	0.
4.67	1.25	 2.36e-02	0.520 	0.172	0.090	0.090	0.108	0.

Table 2: JdA vs x, stat, syst errors for d+Au 20-40%, 3.0<eta_fwd<3.8

pT_trg	pT_assoc xAu^frag	JdA	sigma	syslow	syshigh	sglobal	eta_trig
					Jda	Jda	JdA	(%)
1.25	0.625 	3.46e-04	0.148	0.026	0.055	0.157	0.105	3.3
1.75	0.625 	4.38e-04	0.160	0.033	0.062	0.153	0.105	3.3
2.53	0.625 	5.82e-04	0.148	0.040	0.062	0.150	0.105	3.3
1.25	0.875 	3.92e-04	0.220	0.031	0.069	0.192	0.105	3.3
1.75	0.875 	4.84e-04	0.397 	0.072	0.140	0.282	0.105	3.3
2.53	0.875 	6.28e-04	0.391 	0.070	0.153	0.272	0.105	3.3
1.25	1.25 	4.61e-04	0.218 	0.036	0.061	0.175	0.105	3.3
1.75	1.25	5.53e-04	0.476 	0.108	0.169	0.278	0.105	3.3
2.53	1.25 	6.97e-04	0.362 	0.139	0.140	0.255	0.105	3.3
0.68	0.625 	3.52e-03	0.342 	0.034	0.091	0.091	0.105	0.
1.29	0.625 	6.57e-03	0.476 	0.045	0.103	0.103	0.105	0.
2.43	0.625 	1.23e-02	0.527 	0.164	0.104	0.104	0.105	0.
2.71	0.625 	1.37e-02	0.604 	0.059	0.190	0.190	0.105	0.
3.35	0.625 	1.69e-02	0.641 	0.066	0.176	0.176	0.105	0.
4.67	0.625 	2.35e-02	0.729 	0.136	0.109	0.109	0.105	0.
0.68	0.875 	3.56e-03	0.374 	0.051	0.091	0.091	0.105	0.
1.29	0.875 	6.61e-03	0.553 	0.061	0.103	0.103	0.105	0.
2.43	0.875 	1.23e-02	0.570 	0.170	0.104	0.104	0.105	0.
2.71	0.875 	1.37e-02	0.603 	0.081	0.190	0.190	0.105	0.
3.35	0.875 	1.69e-02	0.765 	0.111	0.176	0.176	0.105	0.
4.67	0.875 	2.35e-02	0.619 	0.117	0.109	0.109	0.105	0.
0.68	1.25 	3.63e-03	0.488 	0.066	0.091	0.091	0.105	0.
1.29	1.25 	6.68e-03	0.578 	0.156	0.103	0.103	0.105	0.
2.43	1.25 	1.24e-02	0.737 	0.230	0.104	0.104	0.105	0.
2.71	1.25 	1.38e-02	0.730 	0.104	0.190	0.190	0.105	0.
3.35	1.25 	1.70e-02	0.852 	0.161	0.176	0.176	0.105	0.
4.67	1.25 	2.36e-02	0.639 	0.251	0.109	0.109	0.105	0.

Table 3: JdA vs x, sys, stat errors for d+Au 40-60%, 3.0<eta_fwd<3.8

pT_trg	pT_assoc xAu^frag	JdA	sigma	syslow	syshigh	sglobal	eta_trig
					Jda	Jda	JdA	(%)
1.25	0.625 	3.46e-04	0.221 	0.039	0.072	0.187	0.110	3.3
1.75	0.625 	4.38e-04	0.327 	0.057	0.117	0.209	0.110	3.3
2.53	0.625 	5.82e-04	0.460 	0.079	0.186	0.309	0.110	3.3
1.25	0.875 	3.92e-04	0.337 	0.046	0.086	0.200	0.110	3.3
1.75	0.875 	4.84e-04	0.500 	0.097	0.156	0.292	0.110	3.3
2.53	0.875 	6.28e-04	0.453 	0.090	0.160	0.291	0.110	3.3
1.25	1.25 	4.61e-04	0.513 	0.064	0.130	0.291	0.110	3.3
1.75	1.25 	5.53e-04	0.556 	0.140	0.177	0.263	0.110	3.3
2.53	1.25 	6.97e-04	0.713 	0.221	0.257	0.382	0.110	3.3
0.68	0.625 	3.52e-03	0.435 	0.046	0.111	0.111	0.110	0.
1.29	0.625 	6.57e-03	0.732 	0.077	0.123	0.123	0.110	0.
2.43	0.625 	1.23e-02	0.642 	0.197	0.110	0.110	0.110	0.
2.71	0.625 	1.37e-02	0.596 	0.064	0.180	0.180	0.110	0.
3.35	0.625 	1.69e-02	0.749 	0.086	0.235	0.235	0.110	0.
4.67	0.625 	2.35e-02	0.739 	0.161	0.120	0.120	0.110	0.
0.68	0.875 	3.56e-03	0.597 	0.096	0.111	0.111	0.110	0.
