pi0 RdA, 3.0<eta<3.8
pT(GeV)   Cent(%)   RdA       err_RdA_stat err_RdA_syst
0.625      0-20     0.198       0.004       0.015 
0.875      0-20     0.230       0.004       0.015 
1.250      0-20     0.289       0.009       0.025 
0.625     20-40     0.288       0.005       0.021 
0.875     20-40     0.335       0.006       0.022 
1.250     20-40     0.430       0.013       0.038 
0.625     40-60     0.391       0.007       0.027 
0.875     40-60     0.474       0.008       0.031 
1.250     40-60     0.594       0.018       0.053 
0.625     60-88     0.616       0.010       0.042 
0.875     60-88     0.702       0.011       0.045 
1.250     60-88     0.799       0.022       0.068 
