eta meson v2, 0-20% centrality
pt       v2      stat_err    sys_err
3.5    0.1225    0.0193    0.0086
4.5    0.0920    0.0235    0.0117
5.5    0.0999    0.0270    0.0100
7.0    0.0501    0.0254    0.0075
9.0    0.1041    0.0381    0.0279
11.0    0.0989    0.0655    0.0303
13.0    0.1349    0.1264    0.0233




eta meson v2, 20-60% centrality
pt       v2      stat_err    sys_err
3.5    0.1861    0.0102    0.0079
4.5    0.1510    0.0120    0.0081
5.5    0.1613    0.0158    0.0108
6.5    0.0986    0.0219    0.0100
7.5    0.1297    0.0305    0.0120
8.5    0.1040    0.0451    0.0208
9.5    0.0644    0.0541    0.0171
11.0    0.2066    0.0663    0.0520
13.0    0.0642    0.1136    0.0320
