
pi0 meson v4, 0 - 20 % centrality
pt       v4      stat_err    sys_err
1.2    0.0023    0.0013    0.0004
1.8    0.0091    0.0009    0.0017
2.2    0.0108    0.0010    0.0020
2.8    0.0079    0.0013    0.0015
3.2    0.0109    0.0020    0.0021
3.8    0.0151    0.0026    0.0029
4.2    0.0095    0.0035    0.0018
4.8    0.0072    0.0047    0.0014
5.5    0.0111    0.0051    0.0021
6.5    0.0197    0.0086    0.0037
7.5    0.0094    0.0177    0.0018
8.5    0.0527    0.0332    0.0100

pi0 meson v4, 20 - 40 % centrality
pt       v4      stat_err    sys_err
1.2    0.0162    0.0010    0.0013
1.8    0.0231    0.0007    0.0018
2.2    0.0228    0.0008    0.0018
2.8    0.0233    0.0011    0.0019
3.2    0.0240    0.0017    0.0019
3.8    0.0166    0.0023    0.0013
4.2    0.0179    0.0033    0.0014
4.8    0.0176    0.0045    0.0014
5.5    0.0067    0.0049    0.0005
6.5    0.0273    0.0085    0.0022
7.5    0.0116    0.0139    0.0009
8.5    0.0205    0.0213    0.0016

pi0 meson v4, 40 - 60 % centrality
pt       v4      stat_err    sys_err
1.2    0.0197    0.0020    0.0016
1.8    0.0280    0.0013    0.0022
2.2    0.0298    0.0016    0.0024
2.8    0.0281    0.0022    0.0023
3.2    0.0309    0.0039    0.0025
3.8    0.0196    0.0055    0.0016
4.2    0.0254    0.0079    0.0020
4.8    0.0209    0.0110    0.0017
5.5    0.0190    0.0121    0.0015
6.5    0.0126    0.0211    0.0010
7.5    -0.0102    0.0358    0.0008

pi0 meson v4, 20 - 60 % centrality
pt       v4      stat_err    sys_err
1.2    0.0187    0.0010    0.0015
1.8    0.0264    0.0007    0.0021
2.2    0.0264    0.0008    0.0021
2.8    0.0263    0.0010    0.0021
3.2    0.0276    0.0017    0.0022
3.8    0.0185    0.0023    0.0015
4.2    0.0210    0.0033    0.0017
4.8    0.0198    0.0046    0.0016
5.5    0.0101    0.0050    0.0008
6.5    0.0256    0.0086    0.0020
7.5    0.0087    0.0140    0.0007
8.5    0.0139    0.0212    0.0011
