pi0 meson v4/v2^2, 0 - 20 % centrality
pt     v4/v2^2    stat_err   sys_err
1.2    0.4633    0.2704    0.0649
1.8    1.2255    0.1201    0.1716
2.2    1.1573    0.1074    0.1620
2.8    0.7450    0.1224    0.1043
3.2    1.0030    0.1812    0.1404
3.8    1.7056    0.2945    0.2388
4.2    1.0787    0.3975    0.1510
4.8    0.9929    0.6468    0.1390
5.5    1.9381    0.8972    0.2713
6.5    4.5947    2.0706    0.6433
7.5    2.2615    4.2652    0.3166
8.5    15.9956    11.0356    2.2394

pi0 meson v4/v2^2, 20 - 40 % centrality
pt     v4/v2^2    stat_err   sys_err
1.2    0.7861    0.0508    0.0472
1.8    0.8291    0.0246    0.0497
2.2    0.7155    0.0248    0.0429
2.8    0.7035    0.0323    0.0422
3.2    0.8028    0.0571    0.0482
3.8    0.6126    0.0864    0.0368
4.2    0.7355    0.1347    0.0441
4.8    0.8026    0.2074    0.0482
5.5    0.3783    0.2793    0.0227
6.5    1.8977    0.6054    0.1139
7.5    0.8625    1.0312    0.0518
8.5    2.4513    2.5845    0.1471

pi0 meson v4/v2^2, 40 - 60 % centrality
pt     v4/v2^2    stat_err   sys_err
1.2    0.6699    0.0668    0.0402
1.8    0.7757    0.0359    0.0465
2.2    0.7529    0.0399    0.0452
2.8    0.7117    0.0556    0.0427
3.2    0.8322    0.1070    0.0499
3.8    0.6287    0.1778    0.0377
4.2    0.7842    0.2438    0.0471
4.8    0.6632    0.3495    0.0398
5.5    0.8168    0.5234    0.0490
6.5    0.6214    1.0424    0.0373
7.5    -0.6740    2.3746    0.0404

pi0 meson v4/v2^2, 20 - 60 % centrality
pt     v4/v2^2    stat_err   sys_err
1.2    0.7614    0.0427    0.0457
1.8    0.8181    0.0208    0.0491
2.2    0.7267    0.0213    0.0436
2.8    0.7071    0.0282    0.0424
3.2    0.8151    0.0507    0.0489
3.8    0.6196    0.0786    0.0372
4.2    0.7522    0.1185    0.0451
4.8    0.7668    0.1784    0.0460
5.5    0.4977    0.2479    0.0299
6.5    1.5252    0.5212    0.0915
7.5    0.5885    0.9533    0.0353
8.5    1.3031    2.0044    0.0782
