bin  npart  v2      sta_err    v2+sys_err  v2-sys_err
pt_id=0/1 for 0.75-1 / 1.75-2 GeV/c

 v2 pt_id=0
0 325.2 0.0373922 0.000194245 0.039348 0.0354364
1 234.6 0.0669039 0.000161341 0.0692675 0.0645404
2 166.6 0.092432 0.000181114 0.0949846 0.0898794
3 114.2 0.109918 0.000229005 0.113175 0.10666
4 74.4 0.119992 0.000325007 0.123806 0.116178
5 45.5 0.124355 0.000537378 0.129755 0.118955
 v2 pt_id=1
0 325.2 0.0683054 0.000658218 0.0713838 0.0652271
1 234.6 0.123612 0.000537255 0.126931 0.120292
2 166.6 0.164879 0.000598777 0.169446 0.160311
3 114.2 0.192277 0.000759255 0.197536 0.187017
4 74.4 0.208442 0.00109073 0.214452 0.202432
5 45.5 0.212261 0.00183659 0.218521 0.206002
 v3 pt_id=0
0 325.2 0.0215965 0.000335275 0.0227036 0.0204895
1 234.6 0.0275343 0.000368793 0.0294849 0.0255837
2 166.6 0.0315953 0.000486183 0.0339095 0.0292811
3 114.2 0.0338725 0.000708624 0.0377504 0.0299946
4 74.4 0.034823 0.00114114 0.0374838 0.0321623
5 45.5 0.0337283 0.00207451 0.0426504 0.0248062
 v3 pt_id=1
0 325.2 0.0587106 0.00113678 0.0613073 0.0561139
1 234.6 0.0703604 0.00122886 0.0742305 0.0664904
2 166.6 0.0750559 0.00161202 0.0805722 0.0695397
3 114.2 0.0769577 0.00235487 0.0841812 0.0697342
4 74.4 0.0741277 0.003837 0.0834837 0.0647717
5 45.5 0.0694692 0.00711443 0.083541 0.0553974
 v4 pt_id=0
0 325.2 0.00929623 0.000809231 0.0106039 0.00798859
1 234.6 0.0160356 0.000990739 0.0197293 0.0123419
2 166.6 0.0213686 0.00135648 0.0254928 0.0172444
3 114.2 0.0258145 0.00202642 0.0329484 0.0186805
4 74.4 0.0297691 0.00533278 0.0426521 0.016886
 v4 pt_id=1
0 325.2 0.0380971 0.00277526 0.0406238 0.0355703
1 234.6 0.0502157 0.00331494 0.0570847 0.0433466
2 166.6 0.0540187 0.00439877 0.0626593 0.0453781
3 114.2 0.0705198 0.00659385 0.0783971 0.0626426
4 74.4 0.0961514 0.0173932 0.120066 0.0722372
