bin  pt     v2      sta_err    v2+sys_err  v2-sys_err
cent0/1/2/3/4/5 for 0-10/10-20/20-30/30-40/40-50/50-60%

 v2 cent0
0 0.36215 0.0169959 0.000105806 0.0186025 0.0153892
1 0.612634 0.0274202 0.000142779 0.0291423 0.0256981
2 0.862894 0.0373922 0.000194245 0.039348 0.0354364
3 1.11314 0.0462346 0.000261545 0.048302 0.0441673
4 1.36295 0.055339 0.000352648 0.0581963 0.0524817
5 1.61267 0.0627287 0.000481697 0.0655912 0.0598663
6 1.86247 0.0683054 0.000658218 0.0713838 0.0652271
7 2.19977 0.075724 0.000728144 0.0796636 0.0717844
8 2.70287 0.0778868 0.00134219 0.0819389 0.0738346
9 3.34613 0.0777315 0.00201779 0.0817756 0.0736875
 v2 cent1
0 0.363685 0.0298107 9.03561e-05 0.0313579 0.0282635
1 0.613046 0.0491524 0.000119375 0.0510494 0.0472553
2 0.862991 0.0669039 0.000161341 0.0692675 0.0645404
3 1.11335 0.0831539 0.000216438 0.0859519 0.0803559
4 1.36311 0.0981141 0.000290775 0.101132 0.0950961
5 1.61288 0.111433 0.000395437 0.115364 0.107503
6 1.86295 0.123612 0.000537255 0.126931 0.120292
7 2.20062 0.135217 0.000590712 0.140321 0.130113
8 2.70339 0.143976 0.00107461 0.149411 0.138541
9 3.34261 0.139373 0.00160709 0.144634 0.134112
 v2 cent2
0 0.364727 0.0413482 0.000103039 0.0429257 0.0397707
1 0.613192 0.0681018 0.000134505 0.0702281 0.0659754
2 0.863085 0.092432 0.000181114 0.0949846 0.0898794
3 1.11338 0.11367 0.000242718 0.116909 0.11043
4 1.36327 0.133053 0.000325714 0.136794 0.129313
5 1.61283 0.150188 0.000442023 0.154325 0.146052
6 1.86272 0.164879 0.000598777 0.169446 0.160311
7 2.20132 0.178979 0.00065372 0.18539 0.172569
8 2.7044 0.187914 0.0011793 0.194645 0.181184
9 3.34423 0.183739 0.00174014 0.19032 0.177158
 v2 cent3
0 0.365228 0.049085 0.000130777 0.0508357 0.0473344
1 0.61321 0.0814801 0.000169935 0.0840197 0.0789406
2 0.863005 0.109918 0.000229005 0.113175 0.10666
3 1.11322 0.135116 0.000307425 0.138826 0.131406
4 1.36294 0.156499 0.000413164 0.160955 0.152042
5 1.61281 0.176096 0.00056109 0.181054 0.171137
6 1.86288 0.192277 0.000759255 0.197536 0.187017
7 2.20187 0.206038 0.000825389 0.21373 0.198347
8 2.70437 0.214231 0.00147417 0.222228 0.206234
9 3.34521 0.208307 0.00215653 0.216083 0.200531
 v2 cent4
0 0.365365 0.0529655 0.000184312 0.0553061 0.0506248
1 0.613108 0.0889087 0.000240157 0.092051 0.0857664
2 0.86279 0.119992 0.000325007 0.123806 0.116178
3 1.11299 0.147327 0.000438916 0.151762 0.142893
4 1.3629 0.170525 0.00059241 0.175906 0.165144
5 1.61281 0.191597 0.000806002 0.197505 0.18569
6 1.86304 0.208442 0.00109073 0.214452 0.202432
7 2.20269 0.218 0.00118332 0.226454 0.209546
8 2.70579 0.22765 0.00210381 0.236479 0.218822
9 3.3496 0.222221 0.00302196 0.230838 0.213603
 v2 cent5
0 0.365247 0.0535787 0.000299071 0.0570175 0.0501399
1 0.612792 0.0917667 0.000393356 0.0961962 0.0873372
2 0.862457 0.124355 0.000537378 0.129755 0.118955
3 1.11272 0.153979 0.000731235 0.160142 0.147817
4 1.36257 0.17449 0.000992541 0.181858 0.167122
5 1.6125 0.196687 0.00135507 0.203368 0.190007
6 1.86329 0.212261 0.00183659 0.218521 0.206002
7 2.20348 0.217823 0.00199019 0.227032 0.208614
8 2.7062 0.222631 0.00349384 0.232044 0.213219
9 3.35187 0.228267 0.00497424 0.237918 0.218617
 v3 cent0
0 0.36215 0.00589457 0.000181292 0.00639921 0.00538994
1 0.612634 0.013108 0.000245442 0.0137763 0.0124397
2 0.862894 0.0215965 0.000335275 0.0227036 0.0204895
3 1.11314 0.0312278 0.000452831 0.0323326 0.030123
4 1.36295 0.0395014 0.000610288 0.041187 0.0378159
5 1.61267 0.0480923 0.000833135 0.0502353 0.0459493
6 1.86247 0.0587106 0.00113678 0.0613073 0.0561139
7 2.19977 0.0672931 0.00125492 0.0731007 0.0614856
8 2.70287 0.0764782 0.0023097 0.0830785 0.069878
9 3.34613 0.0720676 0.00346769 0.0782872 0.065848
 v3 cent1
0 0.363685 0.00795421 0.000204415 0.00882437 0.00708404
1 0.613046 0.0170664 0.000271467 0.0181898 0.015943
2 0.862991 0.0275343 0.000368793 0.0294849 0.0255837
3 1.11335 0.0376689 0.00049599 0.0397841 0.0355538
4 1.36311 0.0489483 0.000666459 0.0521741 0.0457224
5 1.61288 0.0605869 0.000906131 0.0637267 0.0574472
6 1.86295 0.0703604 0.00122886 0.0742305 0.0664904
7 2.20062 0.0807621 0.0013476 0.0857497 0.0757744
8 2.70339 0.0889634 0.00244827 0.0944576 0.0834693
9 3.34261 0.0877826 0.00365863 0.0932039 0.0823613
 v3 cent2
0 0.364727 0.00923883 0.000272997 0.0101041 0.00837352
1 0.613192 0.0201636 0.000358979 0.0218854 0.0184419
2 0.863085 0.0315953 0.000486183 0.0339095 0.0292811
3 1.11338 0.0431779 0.000653479 0.0466314 0.0397243
4 1.36327 0.0549698 0.000878561 0.0582807 0.0516589
5 1.61283 0.0655922 0.00119097 0.0703085 0.0608759
6 1.86272 0.0750559 0.00161202 0.0805722 0.0695397
7 2.20132 0.0908559 0.00175732 0.0981741 0.0835377
8 2.7044 0.0937797 0.00316727 0.101333 0.086226
9 3.34423 0.0845143 0.00466588 0.0913218 0.0777069
 v3 cent3
0 0.365228 0.00984431 0.000398156 0.0112138 0.00847477
1 0.61321 0.0202271 0.000521062 0.0227278 0.0177264
2 0.863005 0.0338725 0.000708624 0.0377504 0.0299946
3 1.11322 0.0470711 0.00095657 0.0514878 0.0426545
4 1.36294 0.0599705 0.00128736 0.0650487 0.0548924
5 1.61281 0.0680346 0.00174348 0.0722762 0.063793
6 1.86288 0.0769577 0.00235487 0.0841812 0.0697342
7 2.20187 0.0899158 0.00255735 0.0981739 0.0816576
8 2.70437 0.0970111 0.00455817 0.105921 0.0881013
9 3.34521 0.0942368 0.0066546 0.102892 0.0855818
 v3 cent4
0 0.365365 0.00975617 0.00063692 0.0124723 0.00704009
1 0.613108 0.0217079 0.000837138 0.0255959 0.01782
2 0.86279 0.034823 0.00114114 0.0374838 0.0321623
3 1.11299 0.0476928 0.00155012 0.05321 0.0421756
4 1.3629 0.0561413 0.00208872 0.0628243 0.0494584
5 1.61281 0.0693111 0.00284102 0.077154 0.0614682
6 1.86304 0.0741277 0.003837 0.0834837 0.0647717
7 2.20269 0.0824576 0.00415456 0.0963553 0.0685598
8 2.70579 0.0921475 0.00737799 0.107678 0.0766166
9 3.3496 0.0885054 0.0105848 0.103423 0.0735883
 v3 cent5
0 0.365247 0.00951564 0.00113896 0.0124754 0.00655586
1 0.612792 0.0196241 0.00150487 0.0223293 0.0169189
2 0.862457 0.0337283 0.00207451 0.0426504 0.0248062
3 1.11272 0.0449387 0.00283886 0.056634 0.0332434
4 1.36257 0.0521614 0.00384366 0.0626367 0.0416861
5 1.6125 0.0681753 0.00526136 0.0845379 0.0518127
6 1.86329 0.0694692 0.00711443 0.083541 0.0553974
7 2.20348 0.064887 0.00767811 0.0833694 0.0464045
8 2.7062 0.0541458 0.0134999 0.0695687 0.0387229
9 3.35187 0.060003 0.0203206 0.0770943 0.0429117
 v4 cent0
0 0.36215 0.00227273 0.000436254 0.00264043 0.00190503
1 0.612634 0.00651997 0.00059302 0.00732405 0.00571589
