Cent00-10	DeltaPhi 	p_{T} (GeV/c) 	R_{AA} 	p_{T} Uncorr 	Rat. (%) 	p_{T} Corr. 	Rat. (%) 	Global 	Rat. (%)
00-10 & 00-15 & 5.5 & 2.0847e-01 & 2.1838e-03 & 1.05 & 3.1944e-03 & 1.53 \\ 
00-10 & 00-15 & 6.5 & 2.0567e-01 & 3.3598e-03 & 1.63 & 2.4487e-03 & 1.19 \\ 
00-10 & 00-15 & 7.5 & 2.0988e-01 & 4.9257e-03 & 2.35 & 3.3376e-03 & 1.59 \\ 
00-10 & 00-15 & 8.5 & 2.2802e-01 & 7.4934e-03 & 3.29 & 4.1050e-03 & 1.8 \\ 
00-10 & 00-15 & 9.5 & 2.5292e-01 & 1.1929e-02 & 4.72 & 5.6680e-03 & 2.24 \\ 
00-10 & 00-15 & 11 & 2.2305e-01 & 1.2187e-02 & 5.46 & 5.3359e-03 & 2.39 \\ 
00-10 & 00-15 & 13 & 2.9586e-01 & 2.5912e-02 & 8.76 & 1.1766e-02 & 3.98 \\ 
00-10 & 00-15 & 15 & 3.9773e-01 & 6.5138e-02 & 16.4 & 2.6591e-02 & 6.69 \\ 
00-10 & 00-15 & 17 & 5.0125e-01 & 1.2350e-01 & 24.6 & 4.3117e-02 & 8.6 \\ 
00-10 & 15-30 & 5.5 & 2.0249e-01 & 2.1305e-03 & 1.05 & 2.3394e-03 & 1.16 \\ 
00-10 & 15-30 & 6.5 & 1.9948e-01 & 3.2898e-03 & 1.65 & 1.7777e-03 & 0.891 \\ 
00-10 & 15-30 & 7.5 & 2.0802e-01 & 4.8608e-03 & 2.34 & 2.4945e-03 & 1.2 \\ 
00-10 & 15-30 & 8.5 & 2.0346e-01 & 7.0652e-03 & 3.47 & 2.7620e-03 & 1.36 \\ 
00-10 & 15-30 & 9.5 & 2.2571e-01 & 1.1235e-02 & 4.98 & 3.8117e-03 & 1.69 \\ 
00-10 & 15-30 & 11 & 2.2066e-01 & 1.2138e-02 & 5.5 & 3.8810e-03 & 1.76 \\ 
00-10 & 15-30 & 13 & 2.2823e-01 & 2.2795e-02 & 9.99 & 6.9347e-03 & 3.04 \\ 
00-10 & 15-30 & 15 & 4.6222e-01 & 6.7897e-02 & 14.7 & 2.4703e-02 & 5.34 \\ 
00-10 & 15-30 & 17 & 4.0113e-01 & 1.1045e-01 & 27.5 & 2.7628e-02 & 6.89 \\ 
00-10 & 30-45 & 5.5 & 1.9057e-01 & 2.0392e-03 & 1.07 & 8.5005e-04 & 0.446 \\ 
00-10 & 30-45 & 6.5 & 1.9043e-01 & 3.1720e-03 & 1.67 & 6.4618e-04 & 0.339 \\ 
00-10 & 30-45 & 7.5 & 1.9815e-01 & 4.6605e-03 & 2.35 & 9.1728e-04 & 0.463 \\ 
00-10 & 30-45 & 8.5 & 1.9893e-01 & 6.9290e-03 & 3.48 & 1.0422e-03 & 0.524 \\ 
00-10 & 30-45 & 9.5 & 2.3068e-01 & 1.1227e-02 & 4.87 & 1.5012e-03 & 0.651 \\ 
00-10 & 30-45 & 11 & 2.3292e-01 & 1.2342e-02 & 5.3 & 1.5109e-03 & 0.649 \\ 
00-10 & 30-45 & 13 & 2.7242e-01 & 2.4731e-02 & 9.08 & 3.2716e-03 & 1.2 \\ 
00-10 & 30-45 & 15 & 2.9013e-01 & 5.3226e-02 & 18.3 & 6.6950e-03 & 2.31 \\ 
00-10 & 30-45 & 17 & 4.4795e-01 & 1.1224e-01 & 25.1 & 1.3352e-02 & 2.98 \\ 
00-10 & 45-60 & 5.5 & 1.7659e-01 & 1.9402e-03 & 1.1 & 8.4080e-04 & 0.476 \\ 
00-10 & 45-60 & 6.5 & 1.8592e-01 & 3.1060e-03 & 1.67 & 6.6152e-04 & 0.356 \\ 
00-10 & 45-60 & 7.5 & 1.9373e-01 & 4.5484e-03 & 2.35 & 9.5675e-04 & 0.494 \\ 
00-10 & 45-60 & 8.5 & 1.9026e-01 & 6.6804e-03 & 3.51 & 1.0625e-03 & 0.558 \\ 
00-10 & 45-60 & 9.5 & 2.1256e-01 & 1.0680e-02 & 5.02 & 1.4714e-03 & 0.692 \\ 
00-10 & 45-60 & 11 & 2.4289e-01 & 1.2601e-02 & 5.19 & 1.5894e-03 & 0.654 \\ 
00-10 & 45-60 & 13 & 2.0478e-01 & 2.0985e-02 & 10.2 & 2.6999e-03 & 1.32 \\ 
00-10 & 45-60 & 15 & 2.9066e-01 & 5.2070e-02 & 17.9 & 8.3154e-03 & 2.86 \\ 
00-10 & 45-60 & 17 & 3.5072e-01 & 9.4746e-02 & 27 & 1.2983e-02 & 3.7 \\ 
00-10 & 60-75 & 5.5 & 1.7190e-01 & 1.8736e-03 & 1.09 & 2.3745e-03 & 1.38 \\ 
00-10 & 60-75 & 6.5 & 1.8276e-01 & 3.0080e-03 & 1.65 & 1.8542e-03 & 1.01 \\ 
00-10 & 60-75 & 7.5 & 1.7260e-01 & 4.3073e-03 & 2.5 & 2.4707e-03 & 1.43 \\ 
00-10 & 60-75 & 8.5 & 1.8814e-01 & 6.5619e-03 & 3.49 & 3.0416e-03 & 1.62 \\ 
00-10 & 60-75 & 9.5 & 2.2906e-01 & 1.0897e-02 & 4.76 & 4.5789e-03 & 2 \\ 
00-10 & 60-75 & 11 & 2.1828e-01 & 1.1959e-02 & 5.48 & 3.9322e-03 & 1.8 \\ 
00-10 & 60-75 & 13 & 2.1260e-01 & 2.1136e-02 & 9.94 & 8.3401e-03 & 3.92 \\ 
00-10 & 60-75 & 15 & 2.7050e-01 & 4.7452e-02 & 17.5 & 2.6154e-02 & 9.67 \\ 
00-10 & 60-75 & 17 & 1.8229e-01 & 6.9122e-02 & 37.9 & 2.2813e-02 & 12.5 \\ 
00-10 & 75-90 & 5.5 & 1.6465e-01 & 1.8154e-03 & 1.1 & 3.2220e-03 & 1.96 \\ 
00-10 & 75-90 & 6.5 & 1.7349e-01 & 2.9455e-03 & 1.7 & 2.4664e-03 & 1.42 \\ 
