Centrality: 0-10%
pT[GeV/c]   Inv Yield   Stat. err    Syst. err 
0.9         1.06e+01    1.36e-03     8.68e-01 
1.1         4.03e+00    6.41e-04     2.80e-01 
1.3         1.83e+00    3.54e-04     1.27e-01 
1.5         8.52e-01    2.06e-04     5.90e-02 
1.7         3.96e-01    1.24e-04     2.74e-02 
1.9         1.90e-01    7.69e-05     1.32e-02 
2.1         9.39e-02    4.92e-05     7.68e-03 
2.3         4.56e-02    3.17e-05     4.28e-03 
2.5         2.32e-02    2.11e-05     2.32e-03 
2.7         1.20e-02    1.43e-05     1.27e-03 
2.9         6.41e-03    9.86e-06     7.12e-04 
3.2         2.20e-03    5.50e-06     2.51e-04 
3.8         5.62e-04    2.51e-06     6.49e-05 
4.2         1.58e-04    1.22e-06     1.85e-05 
4.8         4.56e-05    6.15e-07     5.37e-06 
5.2         1.67e-05    3.51e-07     1.97e-06 
5.8         6.00e-06    1.99e-07     7.06e-07 
6.2         2.12e-06    1.13e-07     2.50e-07 
6.8         1.14e-06    7.88e-08     1.34e-07 
7.2         5.04e-07    5.00e-08     5.93e-08 
7.8         2.64e-07    4.13e-08     3.11e-08 
8.5         8.51e-08    1.67e-08     1.00e-08 
9.5         3.14e-08    2.32e-08     3.70e-09 
Centrality: 10-20%
pT[GeV/c]   Inv Yield   Stat. err    Syst. err 
0.9         7.19e+00    1.10e-03     5.88e-01 
1.1         2.86e+00    5.20e-04     1.98e-01 
1.3         1.27e+00    2.82e-04     8.80e-02 
1.5         5.85e-01    1.63e-04     4.05e-02 
1.7         2.77e-01    9.88e-05     1.92e-02 
1.9         1.34e-01    6.17e-05     9.30e-03 
2.1         6.70e-02    3.98e-05     5.49e-03 
2.3         3.32e-02    2.59e-05     3.11e-03 
2.5         1.68e-02    1.72e-05     1.67e-03 
2.7         9.07e-03    1.19e-05     9.56e-04 
2.9         4.75e-03    8.18e-06     5.28e-04 
3.2         1.71e-03    4.70e-06     1.96e-04 
3.8         4.38e-04    2.15e-06     5.06e-05 
4.2         1.29e-04    1.08e-06     1.52e-05 
4.8         4.24e-05    5.81e-07     5.00e-06 
5.2         1.38e-05    3.13e-07     1.62e-06 
5.8         5.19e-06    1.82e-07     6.11e-07 
6.2         2.23e-06    1.13e-07     2.63e-07 
6.8         1.14e-06    7.70e-08     1.34e-07 
7.2         3.52e-07    4.07e-08     4.14e-08 
7.8         1.91e-07    3.41e-08     2.25e-08 
