Centrality: 0-10%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         3.57e-01    4.59e-05        3.96e-02 
1.1         3.73e-01    5.92e-05        3.72e-02 
1.3         4.31e-01    8.33e-05        4.26e-02 
1.5         4.75e-01    1.15e-04        4.78e-02 
1.7         4.88e-01    1.52e-04        5.00e-02 
1.9         5.11e-01    2.06e-04        5.35e-02 
2.1         5.03e-01    2.64e-04        5.82e-02 
2.3         4.94e-01    3.43e-04        6.26e-02 
2.5         4.72e-01    4.29e-04        6.30e-02 
2.7         4.56e-01    5.40e-04        6.38e-02 
2.9         4.35e-01    6.70e-04        6.39e-02 
3.2         4.04e-01    6.56e-03        6.20e-02 
3.8         3.82e-01    1.10e-02        6.11e-02 
4.2         3.59e-01    1.74e-02        6.08e-02 
4.8         3.16e-01    2.53e-02        5.77e-02 
5.2         3.18e-01    3.78e-02        6.48e-02 
5.8         2.92e-01    4.74e-02        6.81e-02 
6.2         2.31e-01    5.83e-02        6.93e-02 
6.8         2.62e-01    2.77e-02        4.99e-02 
7.2         2.33e-01    3.25e-02        4.68e-02 
7.8         2.34e-01    4.56e-02        4.93e-02 
8.5         1.89e-01    4.56e-02        4.25e-02 
9.5         2.09e-01    1.58e-01        5.11e-02 
Centrality: 10-20%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         3.81e-01    5.81e-05        4.22e-02 
1.1         4.15e-01    7.55e-05        4.15e-02 
1.3         4.71e-01    1.05e-04        4.66e-02 
1.5         5.13e-01    1.43e-04        5.17e-02 
1.7         5.38e-01    1.92e-04        5.51e-02 
1.9         5.67e-01    2.61e-04        5.94e-02 
2.1         5.65e-01    3.36e-04        6.54e-02 
2.3         5.65e-01    4.41e-04        7.16e-02 
2.5         5.37e-01    5.50e-04        7.16e-02 
2.7         5.40e-01    7.10e-04        7.57e-02 
2.9         5.08e-01    8.74e-04        7.45e-02 
3.2         4.96e-01    8.07e-03        7.61e-02 
3.8         4.69e-01    1.35e-02        7.50e-02 
4.2         4.64e-01    2.25e-02        7.86e-02 
4.8         4.63e-01    3.70e-02        8.44e-02 
5.2         4.13e-01    4.92e-02        8.41e-02 
5.8         3.97e-01    6.46e-02        9.27e-02 
6.2         3.82e-01    9.62e-02        1.15e-01 
6.8         4.11e-01    4.31e-02        7.85e-02 
7.2         2.56e-01    3.88e-02        5.14e-02 
7.8         2.67e-01    5.68e-02        5.62e-02 
8.5         2.29e-01    6.46e-02        5.15e-02 
9.5         1.95e-01    3.77e-02        4.78e-02 
Centrality: 20-40%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         4.99e-01    6.97e-05        5.53e-02 
1.1         5.17e-01    8.51e-05        5.17e-02 
1.3         5.57e-01    1.13e-04        5.51e-02 
1.5         5.94e-01    1.52e-04        5.98e-02 
1.7         6.18e-01    2.01e-04        6.33e-02 
1.9         6.56e-01    2.74e-04        6.87e-02 
2.1         6.47e-01    3.50e-04        7.49e-02 
2.3         6.58e-01    4.64e-04        8.34e-02 
2.5         6.42e-01    5.86e-04        8.57e-02 
2.7         6.39e-01    7.52e-04        8.96e-02 
2.9         6.22e-01    9.42e-04        9.13e-02 
3.2         6.06e-01    9.83e-03        9.30e-02 
3.8         5.91e-01    1.70e-02        9.46e-02 
4.2         5.83e-01    2.82e-02        9.87e-02 
4.8         5.71e-01    4.56e-02        1.04e-01 
5.2         5.64e-01    6.68e-02        1.15e-01 
5.8         5.36e-01    8.66e-02        1.25e-01 
6.2         4.43e-01    1.11e-01        1.33e-01 
6.8         4.20e-01    4.32e-02        8.01e-02 
7.2         3.48e-01    4.77e-02        6.99e-02 
7.8         3.47e-01    6.48e-02        7.31e-02 
8.5         2.74e-01    7.10e-02        6.16e-02 
9.5         2.32e-01    1.46e-01        5.70e-02 
Centrality: 40-60%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         5.63e-01    1.25e-04        6.24e-02 
1.1         6.13e-01    1.60e-04        6.13e-02 
1.3         6.56e-01    2.14e-04        6.49e-02 
1.5         7.00e-01    2.88e-04        7.05e-02 
1.7         7.34e-01    3.84e-04        7.53e-02 
1.9         7.73e-01    5.21e-04        8.10e-02 
2.1         7.74e-01    6.70e-04        8.96e-02 
2.3         7.90e-01    8.87e-04        1.00e-01 
2.5         7.84e-01    1.13e-03        1.05e-01 
2.7         7.70e-01    1.44e-03        1.08e-01 
2.9         7.72e-01    1.82e-03        1.13e-01 
3.2         7.59e-01    1.25e-02        1.16e-01 
3.8         7.65e-01    2.23e-02        1.22e-01 
4.2         7.70e-01    3.77e-02        1.30e-01 
4.8         7.24e-01    5.87e-02        1.32e-01 
5.2         8.13e-01    9.76e-02        1.66e-01 
5.8         8.00e-01    1.31e-01        1.87e-01 
6.2         6.85e-01    1.75e-01        2.05e-01 
6.8         6.12e-01    7.54e-02        1.17e-01 
7.2         4.92e-01    8.48e-02        9.89e-02 
7.8         4.93e-01    1.22e-01        1.04e-01 
8.5         5.22e-01    1.47e-01        1.18e-01 
9.5         5.24e-01    1.72e-01        1.29e-01 
Centrality: 60-86%
pT[GeV/c]   RAA         pT-corr. err    pT-uncorr. err 
0.9         7.18e-01    3.00e-04        7.96e-02 
1.1         7.56e-01    3.75e-04        7.55e-02 
1.3         7.85e-01    4.91e-04        7.76e-02 
1.5         8.28e-01    6.58e-04        8.34e-02 
