***********  Au+Au 200 GeV and 62.4 GeV ********** 
xT        n_eff(xT)    stat err.   syst. err 
0.03      3.59e+00     1.83e-02    0.00e+00
0.04      4.18e+00     2.25e-02    0.00e+00
0.04      4.61e+00     2.64e-02    0.00e+00
0.05      4.93e+00     3.47e-02    0.00e+00
0.05      5.18e+00     4.20e-02    0.00e+00
0.06      5.39e+00     5.14e-02    0.00e+00
0.07      5.56e+00     5.35e-02    0.00e+00
0.07      5.71e+00     6.85e-02    0.00e+00
0.08      5.83e+00     8.13e-02    0.00e+00
0.09      5.94e+00     9.49e-02    0.00e+00
0.09      6.04e+00     1.32e-01    0.00e+00
0.10      6.19e+00     1.36e-01    0.00e+00
0.12      6.36e+00     2.39e-01    0.00e+00
0.14      6.50e+00     3.57e-01    0.00e+00
0.15      6.61e+00     5.56e-01    0.00e+00
0.17      6.71e+00     5.65e-01    0.00e+00
0.18      6.79e+00     1.18e+00    0.00e+00
***********  Au+Au 200 GeV and 39. GeV ********** 
xT        n_eff(xT)    stat err.   syst. err 
0.03      4.93e+00     1.83e-02    0.00e+00
0.04      5.37e+00     2.25e-02    0.00e+00
0.04      5.75e+00     2.64e-02    0.00e+00
0.05      6.06e+00     3.47e-02    0.00e+00
0.05      6.30e+00     4.20e-02    0.00e+00
0.06      6.49e+00     5.14e-02    0.00e+00
0.07      6.62e+00     5.35e-02    0.00e+00
0.07      6.71e+00     6.85e-02    0.00e+00
0.08      6.78e+00     8.13e-02    0.00e+00
0.09      6.83e+00     9.49e-02    0.00e+00
0.09      6.85e+00     1.32e-01    0.00e+00
0.10      6.87e+00     1.36e-01    0.00e+00
0.12      6.86e+00     2.39e-01    0.00e+00
0.14      6.82e+00     3.57e-01    0.00e+00
0.15      6.74e+00     5.56e-01    0.00e+00
0.17      6.68e+00     5.65e-01    0.00e+00
0.18      6.60e+00     1.18e+00    0.00e+00
***********  p+p 200 GeV and 62.4 GeV ********** 
xT        n_eff(xT)    stat err.   syst. err 
0.02      4.47e+00     1.83e-02    0.00e+00
0.03      5.28e+00     2.25e-02    0.00e+00
0.04      5.98e+00     2.64e-02    0.00e+00
0.05      6.55e+00     3.47e-02    0.00e+00
0.07      6.79e+00     4.20e-02    0.00e+00
0.09      6.83e+00     5.14e-02    0.00e+00
0.10      6.76e+00     5.35e-02    0.00e+00
0.12      6.62e+00     6.85e-02    0.00e+00
0.14      6.46e+00     8.13e-02    0.00e+00
0.15      6.24e+00     9.49e-02    0.00e+00
0.17      6.03e+00     1.32e-01    0.00e+00
0.18      6.03e+00     1.36e-01    0.00e+00
0.20      5.77e+00     2.39e-01    0.00e+00
0.22      5.91e+00     3.57e-01    0.00e+00
***********  p+p 200 GeV and 39. GeV ********** 
xT        n_eff(xT)    stat err.   syst. err 
0.02      5.79e-01     1.83e-02    0.00e+00
0.03      3.33e+00     2.25e-02    0.00e+00
0.04      5.17e+00     2.64e-02    0.00e+00
0.06      6.20e+00     3.47e-02    0.00e+00
0.07      6.63e+00     4.20e-02    0.00e+00
0.09      6.83e+00     5.14e-02    0.00e+00
0.10      6.63e+00     5.35e-02    0.00e+00
0.12      6.68e+00     6.85e-02    0.00e+00
0.14      6.66e+00     8.13e-02    0.00e+00
0.15      6.61e+00     9.49e-02    0.00e+00
0.17      6.54e+00     1.32e-01    0.00e+00
0.18      6.46e+00     1.36e-01    0.00e+00
