dAu(0-5%)
pt(GeV/c)      c2     ec2(stat.) ec2(sys.)
0.36400 0.00216 0.00004 0.00013
0.70973 0.00426 0.00004 0.00026
1.20415 0.00678 0.00007 0.00041
1.70524 0.00803 0.00012 0.00048
2.20745 0.00888 0.00020 0.00097
2.71008 0.00947 0.00035 0.00104
3.21292 0.00875 0.00057 0.00096
3.71568 0.00693 0.00090 0.00076
4.21922 0.00572 0.00136 0.00063

pp(M.B.)
pt(GeV/c)     c2      ec2(stat.)    ec2(sys.)
0.36401 0.00095 0.00022 0.00010
0.70973 0.00313 0.00022 0.00034
1.20415 0.00612 0.00045 0.00067
1.70524 0.00960 0.00087 0.00105
2.20745 0.01297 0.00161 0.00266
2.71008 0.01355 0.00279 0.00278
3.21292 0.01440 0.00460 0.00295
3.71568 0.01766 0.00717 0.00536
4.21922 0.00711 0.01055 0.00536
