pt(GeV/c)       v2       ev2(stat.)   ev2(sys)
0.49732  0.04715  0.00073  0.00377
0.69489  0.06611  0.00085  0.00529
0.89419  0.08168  0.00106  0.00653
1.09419  0.09741  0.00134  0.00779
1.29422  0.11005  0.00170  0.00880
1.49415  0.11445  0.00215  0.00916
1.69428  0.12096  0.00271  0.00968
1.89441  0.13014  0.00340  0.01041
2.20745  0.13337  0.00310  0.01067
2.71008  0.13683  0.00526  0.01095
3.21292  0.14410  0.00862  0.01152
3.71568  0.10904  0.01359  0.00872
4.21922  0.10372  0.02049  0.00830
