Fig. 27 (Minimum bias cocktail)

Cocktail with PYTHIA ccbar and bbbar (total)
x y
0.005 0
0.015 0.
0.025 0.00420482
0.035 0.0148094
0.045 0.0190392
0.055 0.0170209
0.065 0.0136524
0.075 0.0107047
0.085 0.00770689
0.095 0.00517787
0.105 0.00334548
0.115 0.00209252
0.125 0.00148319
0.135 0.00125992
0.145 0.00112151
0.155 0.00104218
0.165 0.000943622
0.175 0.000859811
0.185 0.000815694
0.195 0.000740237
0.205 0.000662842
0.215 0.000609167
0.225 0.000534554
0.235 0.000493818
0.245 0.000470274
0.255 0.000414103
0.265 0.000391477
0.275 0.000361638
0.285 0.000325069
0.295 0.00030064
0.305 0.000273772
0.315 0.000246152
0.325 0.000221953
0.335 0.000215901
0.345 0.000186155
0.355 0.000184908
0.365 0.000181239
0.375 0.000156954
0.385 0.000139961
0.395 0.000139666
0.405 0.000134419
0.415 0.000116567
0.425 0.000106768
0.435 0.000101575
0.445 0.000101369
0.455 9.45568e-05
0.465 8.83958e-05
0.475 8.48525e-05
0.485 8.36487e-05
0.495 8.0018e-05
0.505 7.49089e-05
0.515 7.62315e-05
0.525 7.50926e-05
0.535 7.50602e-05
0.545 7.86687e-05
0.555 7.83403e-05
0.565 7.35608e-05
0.575 8.10742e-05
0.585 8.07414e-05
0.595 8.31786e-05
0.605 8.1376e-05
0.615 8.07218e-05
0.625 7.74789e-05
0.635 7.73325e-05
0.645 7.38818e-05
0.655 7.98865e-05
0.665 8.20566e-05
0.675 8.42828e-05
0.685 9.09732e-05
0.695 9.62739e-05
0.705 0.000103766
0.715 0.000111043
0.725 0.00011948
0.735 0.000122943
0.745 0.000138318
0.755 0.000180358
0.765 0.000273408
0.775 0.000352193
0.785 0.000263818
0.795 0.000148819
0.805 9.43163e-05
0.815 7.54792e-05
0.825 7.01806e-05
0.835 6.60664e-05
0.845 6.32386e-05
0.855 5.68308e-05
0.865 5.71503e-05
0.875 5.76161e-05
0.885 5.62786e-05
0.895 5.97069e-05
0.905 5.5693e-05
0.915 5.47432e-05
0.925 5.83293e-05
0.935 5.92082e-05
0.945 5.87332e-05
0.955 6.35532e-05
0.965 6.91303e-05
0.975 7.45865e-05
0.985 9.93326e-05
0.995 0.000168707
1.005 0.000261844
1.015 0.000277146
1.025 0.000187891
1.035 9.13933e-05
1.045 5.11674e-05
1.1 2.99222e-05
1.2 2.34891e-05
1.35 1.79882e-05
1.55 1.26688e-05
1.75 8.70794e-06
1.95 6.04534e-06
2.15 4.24743e-06
2.35 3.21566e-06
2.55 2.43082e-06
2.75 2.6471e-06
2.9 3.58595e-06
3 9.03508e-06
3.1 1.36731e-05
3.2 5.0418e-06
3.3 1.2221e-06
3.4 6.71426e-07
3.5 4.60331e-07
3.6 4.21234e-07
3.7 2.71364e-07
3.875 2.57082e-07
4.125 1.99093e-07
4.375 1.59817e-07
4.625 1.41343e-07
4.875 1.05483e-07

Cocktail pi0eeg
x y
0.005 0
0.015 0
0.025 0.00368241
0.035 0.0126177
0.045 0.0160016
0.055 0.013924
0.065 0.0108215
0.075 0.00817316
