Figure 28 (Minimum bias data compared to cocktail)

Data points
x y stat +syst -syst
0.005 0 0 0 0
0.015 0 0 0 0
0.025 0.00478477 9.67426e-05 0.000464916 0.000467152
0.035 0.0176931 0.000194494 0.00171918 0.00173211
0.045 0.0231989 0.000226084 0.00225418 0.00228047
0.055 0.0210678 0.000243403 0.00204716 0.00209414
0.065 0.0164315 0.000270063 0.00159674 0.00167561
0.075 0.0128847 0.000277937 0.00125222 0.00137378
0.085 0.00949011 0.000314945 0.000922588 0.000922588
0.095 0.00652967 0.000324016 0.000635206 0.000635206
0.125 0.00198333 0.000129177 0.000195376 0.000195376
0.195 0.000867097 0.000103846 9.35155e-05 9.35155e-05
0.345 0.000347985 8.72922e-05 4.77492e-05 4.77492e-05
0.495 0.00027334 0.000104966 5.00935e-05 5.00935e-05
0.605 0.000111696 7.40119e-05 4.64765e-05 4.64765e-05
0.72 0.000202344 6.97693e-05 3.27338e-05 3.27338e-05
0.78 0.00027252 0.00013266 3.36227e-05 3.36227e-05
0.89 0.000127333 3.30549e-05 1.88002e-05 1.88002e-05
1.01 0.000123885 5.86884e-05 2.054e-05 2.37966e-05
1.14 3.41512e-05 1.84496e-05 6.31388e-06 9.33237e-06
1.375 3.9183e-05 1.04259e-05 4.31267e-06 5.07086e-06
1.625 1.02456e-05 6.4233e-06 1.2456e-06 1.61019e-06
1.875 9.22849e-06 3.80898e-06 9.35711e-07 1.00995e-06
2.125 5.15477e-06 2.40533e-06 5.15353e-07 5.37675e-07
2.375 1.25625e-06 1.44394e-06 1.27238e-07 1.40518e-07
2.625 1.92682e-06 9.43735e-07 1.88411e-07 1.90954e-07
2.85 3.98184e-06 7.78478e-07 3.87023e-07 3.87324e-07
2.975 6.79484e-06 1.36994e-06 6.60254e-07 6.60365e-07
3.025 8.97987e-06 1.33659e-06 8.72545e-07 8.72593e-07
3.1 1.38405e-05 9.49793e-07 1.34481e-06 1.34483e-06
3.2 5.79006e-06 7.40849e-07 5.626e-07 5.6263e-07
3.3 1.381e-06 5.74393e-07 1.34209e-07 1.34286e-07
3.55 3.60137e-07 1.89713e-07 3.5016e-08 3.50823e-08
4.125 9.28779e-08 6.8461e-08 9.02961e-09 9.05382e-09
4.75 9.23201e-08 4.07791e-08 8.97048e-09 8.97168e-09

Cocktail (PYTHIA for ccbar and bbbar)
See Fig. 27
