system cent eta RpA staterr systerr
pAu 0-5 -1.5 2.05142 0.0425711 0.323064
pAu 0-5 -1.7 2.03469 0.0306024 0.32043
pAu 0-5 -1.9 2.0216 0.0267636 0.318369
pAu 0-5 -2.1 1.89395 0.0253393 0.298265
pAu 0-5 1.5 0.766433 0.0237153 0.106393
pAu 0-5 1.7 0.779096 0.0171929 0.108151
pAu 0-5 1.9 0.694871 0.0125204 0.0964595
pAu 0-5 2.1 0.648199 0.0108962 0.0899806
pAu 0-5 2.3 0.566803 0.0120116 0.0786815
pAu 5-10 -1.5 1.83717 0.0419982 0.289323
pAu 5-10 -1.7 1.78661 0.0297736 0.281361
pAu 5-10 -1.9 1.77325 0.0260811 0.279257
pAu 5-10 -2.1 1.68532 0.0247368 0.26541
pAu 5-10 1.5 0.774892 0.0252104 0.107568
pAu 5-10 1.7 0.852581 0.0192873 0.118352
pAu 5-10 1.9 0.775271 0.014288 0.10762
pAu 5-10 2.1 0.737304 0.0126178 0.10235
pAu 5-10 2.3 0.661709 0.0139696 0.091856
pAu 10-20 -1.5 1.68727 0.0312245 0.265717
pAu 10-20 -1.7 1.67128 0.0225095 0.263198
pAu 10-20 -1.9 1.58271 0.0189871 0.249251
pAu 10-20 -2.1 1.52497 0.0181248 0.240158
pAu 10-20 1.5 0.989877 0.0228017 0.137411
pAu 10-20 1.7 0.97567 0.0163836 0.135439
pAu 10-20 1.9 0.916924 0.0123289 0.127284
pAu 10-20 2.1 0.830882 0.0105609 0.11534
pAu 10-20 2.3 0.77107 0.0118831 0.107037
pAu 20-40 -1.5 1.58733 0.0246058 0.249978
pAu 20-40 -1.7 1.53106 0.0174806 0.241117
pAu 20-40 -1.9 1.43766 0.0146244 0.226408
pAu 20-40 -2.1 1.26568 0.0131362 0.199324
pAu 20-40 1.5 0.942585 0.0182838 0.130846
pAu 20-40 1.7 1.03073 0.0140439 0.143082
pAu 20-40 1.9 0.967412 0.0105162 0.134293
pAu 20-40 2.1 0.923875 0.00928439 0.128249
pAu 20-40 2.3 0.888957 0.0106711 0.123402
pAu 40-60 -1.5 1.33214 0.025785 0.20979
pAu 40-60 -1.7 1.25854 0.017948 0.198199
pAu 40-60 -1.9 1.22066 0.0153171 0.192234
pAu 40-60 -2.1 1.08453 0.0139874 0.170795
pAu 40-60 1.5 0.959115 0.0217613 0.133141
pAu 40-60 1.7 1.08195 0.0167625 0.150193
pAu 40-60 1.9 1.0634 0.0129921 0.147617
pAu 40-60 2.1 1.03134 0.0116336 0.143167
pAu 40-60 2.3 1.03161 0.0137639 0.143204
pAu 60-84 -1.5 1.08235 0.0261332 0.170452
pAu 60-84 -1.7 0.956875 0.0175708 0.150692
pAu 60-84 -1.9 0.951517 0.0151955 0.149848
pAu 60-84 -2.1 0.849342 0.0138792 0.133757
pAu 60-84 1.5 1.02703 0.0260355 0.142568
pAu 60-84 1.7 1.06146 0.0191659 0.147348
pAu 60-84 1.9 1.07322 0.01502 0.14898
pAu 60-84 2.1 1.10336 0.0139159 0.153164
pAu 60-84 2.3 1.07926 0.0161419 0.149819
