centrality v2mean stat-err-low stat-err-high sys-err-low sys-err-high
2.5 0.0165889 0.000114277 0.000104953 0.00171932 0.00178248
7.5 0.0242249 8.42064e-05 7.56442e-05 0.00123099 0.00207571
15 0.0366166 7.74539e-05 0.000178179 0.000626612 0.00310841
25 0.0485424 0 0.000106183 0.000340164 0.00424854
35 0.054779 0.00010754 0 0.000567672 0.00479323
45 0.0554179 3.31863e-05 3.65409e-05 0.0006649 0.0044812

centrality v2sigma stat-err-low stat-err-high sys-err-low sys-err-high
2.5 0.00866978 8.1345e-05 5.63047e-05 0.00089835 0.000931407
7.5 0.0126616 0.000145569 4.07561e-05 0.000642498 0.00105921
15 0.0148105 0.000379929 0.000183041 0.000702668 0.00114608
25 0.0160405 0.000157997 0 0.00121192 0.00178352
35 0.017754 0 0.000158947 0.000862268 0.00186607
45 0.0213117 0.000185802 0.000183641 0.00125618 0.00337128

centrality v2ratio stat-err-low stat-err-high sys-err-low sys-err-high
2.5 0.522625 0.00282056 9.9738e-05 2.1095e-05 2.33452e-05
7.5 0.52267 0.00719183 5.45126e-05 4.3382e-05 0.00121777
15 0.404475 0.0122843 0.00586685 0.0180567 0.0198401
25 0.330444 0.00396897 0 0.0229566 0.0230211
35 0.324101 0 0.00354483 0.0127987 0.0129372
45 0.384563 0.00360393 0.00354616 0.0193682 0.0306834
