Notes - Figure 4 data
Notes - v2(eta) results have both statistical and systematic uncertainties
Notes - systematic uncertainties are type B correlated by the PHENIX convention (see text for details)
Notes - event selection percentiles are based on the BBC charge (not multiplicity in the range measured for dNch/deta) -- (see text for details)
 
=========================================
3He+Au 0-5% at 200 GeV Results
=========================================
Eta , v2 , v2statuncertainty , v2sysuncertainty
-2.9 , 0.0508773 , 0.00482597 , 0.00508773
-2.7 , 0.0527983 , 0.00108592 , 0.00527983
-2.5 , 0.0513478 , 0.000640159 , 0.00513478
-2.3 , 0.0498281 , 0.000503019 , 0.00498281
-2.1 , 0.0493768 , 0.000452274 , 0.00493768
-1.9 , 0.048977 , 0.000439052 , 0.0048977
-1.7 , 0.0487006 , 0.000482016 , 0.00487006
-1.5 , 0.0502469 , 0.000671513 , 0.00502469
-1.3 , 0.0515792 , 0.00109042 , 0.00515792
-1.1 , 0.0438131 , 0.0032218 , 0.00438131
-0.3 , 0.0495664 , 0.000930022 , 0.00495664
-0.1 , 0.0497741 , 0.000851739 , 0.00497741
0.1 , 0.0502042 , 0.000913118 , 0.00502042
0.3 , 0.0486106 , 0.00099979 , 0.00486106
1.1 , 0.0361717 , 0.00243764 , 0.00361717
1.3 , 0.0346573 , 0.00106397 , 0.00346573
1.5 , 0.033738 , 0.000770647 , 0.0033738
1.7 , 0.0328402 , 0.000614171 , 0.00328402
1.9 , 0.0308626 , 0.0005975 , 0.00308626
2.1 , 0.0293382 , 0.000654228 , 0.00293382
2.3 , 0.0258179 , 0.000775685 , 0.00258179
2.5 , 0.0256421 , 0.00108963 , 0.00256421
2.7 , 0.0181612 , 0.00193744 , 0.00181612
2.9 , 0.015832 , 0.00573803 , 0.0015832
=========================================
d+Au 0-5% at 200 GeV Results
=========================================
Eta , v2 , v2statuncertainty , v2sysuncertainty
-2.9 , 0.0487496 , 0.00278993 , 0.00395262
-2.7 , 0.0522198 , 0.000551058 , 0.004234
-2.5 , 0.0525029 , 0.000329734 , 0.00425694
-2.3 , 0.0509757 , 0.000261881 , 0.00413312
-2.1 , 0.0497173 , 0.000231711 , 0.00403109
-1.9 , 0.0485442 , 0.00022252 , 0.00393597
-1.7 , 0.0487768 , 0.000240663 , 0.00395483
-1.5 , 0.049736 , 0.00031543 , 0.00403261
-1.3 , 0.0495913 , 0.000467837 , 0.00402088
-1.1 , 0.049196 , 0.00120401 , 0.00398882
-0.3 , 0.0460107 , 0.000631808 , 0.00373056
-0.1 , 0.045039 , 0.000549303 , 0.00365177
0.1 , 0.0425797 , 0.000501921 , 0.00345237
0.3 , 0.0412033 , 0.000589207 , 0.00334077
1.1 , 0.0362289 , 0.0012611 , 0.00293745
1.3 , 0.0344234 , 0.000522298 , 0.00279106
1.5 , 0.0321308 , 0.000372847 , 0.00260517
1.7 , 0.0307698 , 0.000303701 , 0.00249482
1.9 , 0.0293074 , 0.000292017 , 0.00237625
2.1 , 0.0275659 , 0.000312992 , 0.00223505
2.3 , 0.025568 , 0.000361041 , 0.00207306
2.5 , 0.0239337 , 0.000481529 , 0.00194055
2.7 , 0.0201845 , 0.000796179 , 0.00163656
2.9 , 0.0165209 , 0.00252255 , 0.00133951
=========================================
p+Au 0-5% at 200 GeV Results
=========================================
Eta , v2 , v2statuncertainty , v2sysuncertainty
-2.9 , 0.0487431 , 0.00303136 , 0.00487431
-2.7 , 0.0564158 , 0.000693026 , 0.00564158
-2.5 , 0.0488173 , 0.000384427 , 0.00488173
-2.3 , 0.0440762 , 0.000295235 , 0.00440762
-2.1 , 0.039795 , 0.000251751 , 0.0039795
-1.9 , 0.0359431 , 0.000234972 , 0.00359431
-1.7 , 0.0341203 , 0.000251167 , 0.00341203
-1.5 , 0.0340601 , 0.000330854 , 0.00340601
-1.3 , 0.0336754 , 0.000499738 , 0.00336754
-1.1 , 0.0324614 , 0.00120995 , 0.00324614
-0.3 , 0.0276017 , 0.00073626 , 0.00276017
-0.1 , 0.0292934 , 0.00063629 , 0.00292934
0.1 , 0.0267667 , 0.000630923 , 0.00267667
0.3 , 0.026693 , 0.000778079 , 0.0026693
1.1 , 0.0183726 , 0.00143184 , 0.00183726
1.3 , 0.0177582 , 0.000598645 , 0.00177582
1.5 , 0.0158005 , 0.000411794 , 0.00158005
1.7 , 0.015351 , 0.000322036 , 0.0015351
1.9 , 0.0139866 , 0.000304755 , 0.00139866
2.1 , 0.0127345 , 0.000332004 , 0.00127345
2.3 , 0.0110503 , 0.000392891 , 0.00110503
2.5 , 0.0115577 , 0.000544912 , 0.00115577
2.7 , 0.0107259 , 0.000951051 , 0.00107259
2.9 , 0.0045176 , 0.00263777 , 0.00045176
=========================================
p+Al 0-5% at 200 GeV Results
=========================================
Eta , v2 , v2statuncertainty , v2sysuncertainty
-2.9 , 0.0575397 , 0.00439529 , 0.00575397
-2.7 , 0.056347 , 0.00126166 , 0.0056347
-2.5 , 0.0490632 , 0.00071982 , 0.00490632
-2.3 , 0.0416159 , 0.000534038 , 0.00416159
-2.1 , 0.0366575 , 0.000453713 , 0.00366575
-1.9 , 0.0314681 , 0.000419574 , 0.00314681
-1.7 , 0.0279172 , 0.000440704 , 0.00279172
-1.5 , 0.0271735 , 0.000562948 , 0.00271735
-1.3 , 0.0257666 , 0.000816484 , 0.00257666
-1.1 , 0.0249365 , 0.00188172 , 0.00249365
-0.3 , 0.0185842 , 0.00132638 , 0.00185842
-0.1 , 0.0185577 , 0.00108206 , 0.00185577
0.1 , 0.0155988 , 0.00108766 , 0.00155988
0.3 , 0.0169634 , 0.0012983 , 0.00169634
1.1 , 0.0114713 , 0.00260299 , 0.00114713
1.3 , 0.00835302 , 0.0011522 , 0.000835302
